Year,"Number of persons (1,000) All races \1",White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7","Number of persons below poverty (1,000) All races \1",White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7",Percent of persons below poverty All races \1,White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7","Below 125 percent of poverty level Number (1,000)",Percent of total population
1959,176557.0,156956.0,(NA),18013.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39490.0,28484.0,(NA),9927.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),22.4,18.1,(NA),55.1,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54942.0,31.1
1960,179503.0,158863.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39851.0,28309.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),22.2,17.8,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54560.0,30.4
1961,181277.0,160306.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39628.0,27890.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),21.9,17.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54280.0,30.0
1962,184276.0,162842.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38625.0,26672.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),21.0,16.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53119.0,28.8
1963,187258.0,165309.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36436.0,25238.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),19.5,15.3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),50778.0,27.1
1964,189710.0,167313.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36055.0,24957.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),19.0,14.9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49819.0,26.3
1965,191413.0,168732.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33185.0,22496.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),17.3,13.3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46163.0,24.1
1966,193388.0,170247.0,(NA),21206.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),28510.0,19290.0,(NA),8867.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),14.7,11.3,(NA),41.8,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41267.0,21.3
1967 \8,195672.0,172038.0,(NA),21590.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),27769.0,18983.0,(NA),8486.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),14.2,11.0,(NA),39.3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39206.0,20.0
1968,197628.0,173732.0,(NA),21944.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),25389.0,17395.0,(NA),7616.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12.8,10.0,(NA),34.7,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35905.0,18.2
1969,199517.0,175349.0,(NA),22011.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),24147.0,16659.0,(NA),7095.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12.1,9.5,(NA),32.2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34665.0,17.4
1970,202183.0,177376.0,(NA),22515.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),25420.0,17484.0,(NA),7548.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12.6,9.9,(NA),33.5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35624.0,17.6
1971 \9,204554.0,179398.0,(NA),22784.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),25559.0,17780.0,(NA),7396.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12.5,9.9,(NA),32.5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36501.0,17.8
1972,206004.0,180125.0,(NA),23144.0,(NA),(NA),(NA),(NA),(NA),10588.0,(NA),(NA),24460.0,16203.0,(NA),7710.0,(NA),(NA),(NA),(NA),(NA),2414.0,(NA),(NA),11.9,9.0,(NA),33.3,(NA),(NA),(NA),(NA),(NA),22.8,(NA),(NA),34653.0,16.8
1973,207621.0,181185.0,(NA),23512.0,(NA),(NA),(NA),(NA),(NA),10795.0,170488.0,(NA),22973.0,15142.0,(NA),7388.0,(NA),(NA),(NA),(NA),(NA),2366.0,12864.0,(NA),11.1,8.4,(NA),31.4,(NA),(NA),(NA),(NA),(NA),21.9,7.5,(NA),32828.0,15.8
1974 \10,209362.0,182376.0,(NA),23699.0,(NA),(NA),(NA),(NA),(NA),11201.0,171463.0,(NA),23370.0,15736.0,(NA),7182.0,(NA),(NA),(NA),(NA),(NA),2575.0,13217.0,(NA),11.2,8.6,(NA),30.3,(NA),(NA),(NA),(NA),(NA),23.0,7.7,(NA),33666.0,16.1
1975,210864.0,183164.0,(NA),24089.0,(NA),(NA),(NA),(NA),(NA),11117.0,172417.0,(NA),25877.0,17770.0,(NA),7545.0,(NA),(NA),(NA),(NA),(NA),2991.0,14883.0,(NA),12.3,9.7,(NA),31.3,(NA),(NA),(NA),(NA),(NA),26.9,8.6,(NA),37182.0,17.6
1976,212303.0,184165.0,(NA),24399.0,(NA),(NA),(NA),(NA),(NA),11269.0,173235.0,(NA),24975.0,16713.0,(NA),7595.0,(NA),(NA),(NA),(NA),(NA),2783.0,14025.0,(NA),11.8,9.1,(NA),31.1,(NA),(NA),(NA),(NA),(NA),24.7,8.1,(NA),35509.0,16.7
1977,213867.0,185254.0,(NA),24710.0,(NA),(NA),(NA),(NA),(NA),12046.0,173563.0,(NA),24720.0,16416.0,(NA),7726.0,(NA),(NA),(NA),(NA),(NA),2700.0,13802.0,(NA),11.6,8.9,(NA),31.3,(NA),(NA),(NA),(NA),(NA),22.4,8.0,(NA),35659.0,16.7
1978,215656.0,186450.0,(NA),24956.0,(NA),(NA),(NA),(NA),(NA),12079.0,174731.0,(NA),24497.0,16259.0,(NA),7625.0,(NA),(NA),(NA),(NA),(NA),2607.0,13755.0,(NA),11.4,8.7,(NA),30.6,(NA),(NA),(NA),(NA),(NA),21.6,7.9,(NA),34155.0,15.8
