Age group,Unit,Total,2005.0  Males,Females
Under 5 years,1000.0,20301.446,10381.485,9919.961
5 to 9 years,1000.0,19505.775,9976.552,9529.223
10 to 14 years,1000.0,20823.279,10663.96,10159.319
15 to 19 years,1000.0,20993.786,10764.907,10228.879
20 to 24 years,1000.0,20888.28,10761.177,10127.103
25 to 29 years,1000.0,19868.938,10135.377,9733.561
30 to 34 years,1000.0,19947.731,10070.908,9876.823
35 to 39 years,1000.0,20912.834,10504.019,10408.815
40 to 44 years,1000.0,22800.961,11335.826,11465.135
45 to 49 years,1000.0,22450.997,11084.21,11366.787
50 to 54 years,1000.0,19980.832,9777.902,10202.93
55 to 59 years,1000.0,17340.463,8416.624,8923.839
60 to 64 years,1000.0,12993.075,6196.985,6796.09
65 to 74 years,1000.0,18639.877,8530.065,10109.812
75 to 84 years,1000.0,13055.558,5278.746,7776.812
85 years and over,1000.0,5056.717,1585.914,3470.803
5 to 13 years,1000.0,36026.231,18437.094,17589.137
14 to 17 years,1000.0,17050.74,8736.553,8314.187
18 to 24 years,1000.0,29134.149,14992.949,14141.2
18 years and over,1000.0,222182.132,107909.525,114272.607
55 years and over,1000.0,67085.69,30008.334,37077.356
65 years and over,1000.0,36752.152,15394.725,21357.427
75 years and over,1000.0,18112.275,6864.66,11247.615
Median age (years),Years,36.3,35.0,37.6
