STATE,Post Office Abbreviation,2-DIGIT ANSI  code,Broilers  2006.0,2007.0,2008.0,Turkeys  2006.0,2007.0,2008.0
Alabama,AL,01,5688.4,5624.9,5846.0,(NA),(NA),(NA)
Arkansas,AR,05,6282.6,6232.3,6380.0,543.2,572.3,610.7
California,CA,06,(NA),(NA),(NA),402.3,450.36,435.2
Delaware,DE,10,1613.7,1597.7,1579.9,(NA),(NA),(NA)
Florida,FL,12,442.5,417.8,376.4,(NA),(NA),(NA)
Georgia,GA,13,7065.8,7413.6,7468.8,(NA),(NA),(NA)
Hawaii,HI,15,(NA),(NA),(NA),(NA),(NA),(NA)
Illinois,IL,17,(NA),(NA),(NA),73.7,76.78,(NA)
Indiana,IN,18,(NA),(NA),(NA),458.95,481.44,519.1
Iowa,IA,19,(NA),(NA),(NA),280.56,325.38,360.0
Kentucky,KY,21,1589.5,1668.2,1652.9,(NA),(NA),(NA)
Maryland,MD,24,1606.5,1591.9,1612.4,13.578,13.468,(NA)
Massachusetts,MA,25,(NA),(NA),(NA),1.438,1.569,(NA)
Michigan,MI,26,(NA),(NA),(NA),178.6,191.76,(NA)
Minnesota,MN,27,229.5,242.3,238.0,1197.05,1218.3,1305.6
Mississippi,MS,28,4662.0,4614.4,4876.1,(NA),(NA),(NA)
Missouri,MO,29,(NA),(NA),(NA),618.15,645.75,651.0
Nebraska,NE,31,30.6,27.4,40.2,(NA),(NA),(NA)
New Jersey,NJ,34,(NA),(NA),(NA),0.704,0.821,(NA)
New York,NY,36,(NA),(NA),(NA),14.868,14.742,(NA)
North Carolina,NC,37,5099.3,5390.3,5493.1,1095.2,1147.3,1208.0
North Dakota,ND,38,(NA),(NA),(NA),48.42,52.4,(NA)
Ohio,OH,39,241.7,273.9,327.8,216.92,227.4,230.4
Oklahoma,OK,40,1352.2,1287.9,1260.3,(NA),(NA),(NA)
Pennsylvania,PA,42,828.9,846.7,933.2,202.74,199.1,216.2
South Carolina,SC,45,1408.0,1479.9,1516.2,356.16,381.68,477.5
South Dakota,SD,46,(NA),(NA),(NA),149.6,172.5,189.41
Tennessee,TN,47,1088.9,1050.1,1018.5,(NA),(NA),(NA)
Texas,TX,48,3330.0,3266.4,3460.3,(NA),(NA),(NA)
Utah,UT,49,(NA),(NA),(NA),(NA),(NA),104.96
Vermont,VT,50,(NA),(NA),(NA),1.125,1.193,(NA)
Virginia,VA,51,1332.2,1301.0,1251.5,479.88,482.85,484.2
West Virginia,WV,54,358.8,355.6,351.4,98.04,96.57,102.2
Wisconsin,WI,55,168.5,203.4,217.1,(NA),(NA),(NA)
Other States,(X),(X),4410.3,4445.0,4541.4,792.492,812.652,1027.597
