Field of science or engineering,"Total  1975 (1,000)","1985 (1,000)","1990 (1,000)","1991 (1,000)","1992 (1,000)","1993 (1,000)","1994 (1,000)","1995 (1,000)","1996 (1,000)","1997 (1,000)","1998 (1,000)","1999 (1,000)","2000 (1,000)","2001 (1,000)","2002 (1,000)","2003 (1,000)","2004 (1,000)","2005 (1,000)","2006 (1,000)","Characteristic Female students 1990 (1,000)","1991 (1,000)","1992 (1,000)","1993 (1,000)","1994 (1,000)","1995 (1,000)","1996 (1,000)","1997 (1,000)","1998 (1,000)","1999 (1,000)","2000 (1,000)","2001 (1,000)","2002 (1,000)","2003 (1,000)","2004 (1,000)","2005 (1,000)","2006 (1,000)","Foreign students 1990 (1,000)","1991 (1,000)","1992 (1,000)","1993 (1,000)","1994 (1,000)","1995 (1,000)","1996 (1,000)","1997 (1,000)","1998 (1,000)","1999 (1,000)","2000 (1,000)","2001 (1,000)","2002 (1,000)","2003 (1,000)","2004 (1,000)","2005 (1,000)","2006 (1,000)","Part-time students 1990 (1,000)","1991 (1,000)","1992 (1,000)","1993 (1,000)","1994 (1,000)","1995 (1,000)","1996 (1,000)","1997 (1,000)","1998 (1,000)","1999 (1,000)","2000 (1,000)","2001 (1,000)","2002 (1,000)","2003 (1,000)","2004 (1,000)","2005 (1,000)","2006 (1,000)",Female students 1990 (percent),1991 (percent),1992 (percent),1993 (percent),1994 (percent),1995 (percent),1996 (percent),1997 (percent),1998 (percent),1999 (percent),2000 (percent),2001 (percent),2002 (percent),2003 (percent),2004 (percent),2005 (percent),2006 (percent),Foreign students 1990 (percent),1995 (percent),1996 (percent),1997 (percent),1998 (percent),1999 (percent),2000 (percent),2001 (percent),2002 (percent),2003 (percent),2004 (percent),2005 (percent),2006 (percent),Part-time students 1990 (percent),1991 (percent),1992 (percent),1993 (percent),1994 (percent),1995 (percent),1996 (percent),1997 (percent),1998 (percent),1999 (percent),2000 (percent),2001 (percent),2002 (percent),2003 (percent),2004 (percent),2005 (percent),2006 (percent)
"Engineering, total",66.0,91.2,101.0,106.6,110.8,110.0,106.6,101.0,97.5,95.6,94.4,96.2,98.8,103.9,113.1,119.5,116.5,114.4,116.6,13.8,14.7,16.1,16.6,17.0,17.0,17.2,17.6,17.9,18.8,19.7,21.1,23.4,25.5,25.5,25.2,26.3,36.9,40.2,40.4,38.4,36.2,34.7,34.2,35.6,36.9,40.5,46.3,51.3,57.0,58.5,55.5,52.4,52.9,36.7,37.2,38.1,37.9,36.7,34.7,33.0,31.3,30.5,29.7,28.2,28.2,29.8,31.9,31.9,32.2,31.5,13.6,13.8,14.5,15.1,16.0,16.8,17.6,18.5,19.0,19.5,19.9,20.3,20.7,21.4,21.9,22.0,22.6,36.6,34.3,35.1,37.2,39.0,42.1,46.8,49.4,50.4,49.0,47.6,45.8,45.4,34.9,34.4,34.4,34.4,34.4,33.9,32.7,32.3,30.9,28.5,27.1,26.4,26.7,27.4,28.1,28.1,27.0
Physical sciences,25.3,29.7,32.9,33.4,34.0,34.0,33.2,32.2,31.3,30.1,29.7,29.9,29.6,30.3,31.5,33.5,34.9,35.4,35.9,7.7,8.2,8.4,8.8,8.7,8.7,8.7,8.5,8.4,8.6,8.8,9.0,9.7,10.4,10.9,11.3,11.6,12.2,12.4,12.6,12.0,11.5,11.2,11.0,10.7,10.6,11.0,11.5,12.1,13.0,14.0,14.5,14.5,14.5,3.9,3.7,3.8,3.9,3.7,3.8,3.8,3.6,3.7,3.6,3.5,3.4,3.2,3.4,3.6,3.5,3.6,23.5,24.5,24.7,25.7,26.3,26.9,27.7,28.1,28.4,28.8,29.7,29.9,30.9,31.2,31.3,31.9,32.2,37.0,34.8,35.1,35.6,35.6,36.8,39.0,39.9,41.2,41.8,41.4,40.9,40.5,11.2,11.2,11.3,11.0,11.9,12.1,12.1,12.3,12.0,11.7,11.3,10.3,10.2,10.3,9.9,9.9,9.9
Environmental,11.1,14.3,13.1,13.5,14.2,14.6,14.8,14.5,14.0,13.4,13.2,13.1,13.0,12.9,13.3,13.6,14.1,14.0,14.0,3.8,4.1,4.4,4.6,4.9,5.0,5.0,4.9,5.1,5.3,5.3,5.4,5.8,6.1,6.4,6.4,6.5,2.6,2.8,2.9,2.9,3.2,2.9,2.7,2.5,2.4,2.5,2.6,2.7,2.7,2.7,2.7,2.7,2.7,3.2,3.5,3.6,3.6,3.8,3.7,3.7,3.4,3.1,3.0,2.8,2.8,2.6,2.6,2.9,3.0,2.9,29.1,30.4,31.2,31.8,33.1,34.2,35.3,36.7,38.5,40.3,40.7,42.3,43.5,44.5,45.5,46.1,46.6,19.9,19.9,19.3,18.3,18.4,18.8,20.3,21.0,20.5,20.0,19.4,19.5,19.3,25.8,25.6,24.8,25.4,25.5,26.3,25.1,23.7,22.6,21.3,21.6,19.4,18.7,20.4,21.3,21.2,20.9
Mathematical sciences,15.4,15.9,18.1,18.5,18.9,18.4,18.1,17.1,16.6,15.4,15.0,14.8,14.4,15.3,16.6,17.6,18.3,18.6,19.0,5.6,5.7,5.9,6.0,5.9,5.6,5.6,5.2,5.3,5.4,5.2,5.7,6.1,6.4,6.7,6.6,6.8,6.4,6.4,6.3,6.0,6.0,5.7,5.6,5.4,5.2,5.8,5.9,6.4,6.9,7.2,7.3,7.3,7.4,4.7,4.7,4.6,4.4,4.3,4.1,4.1,3.6,3.7,3.4,3.0,3.3,3.5,3.6,3.9,3.9,4.0,30.6,30.9,31.4,32.3,32.6,33.0,33.6,34.0,35.3,36.3,36.0,36.9,37.0,36.6,36.6,35.8,36.0,35.2,33.4,34.0,35.1,34.9,39.0,41.0,41.5,41.3,41.0,39.7,39.4,38.9,25.2,24.4,23.6,24.0,24.0,24.4,23.4,24.7,22.9,21.1,21.4,20.8,20.6,21.3,21.1,21.0,21.2
Computer sciences,7.5,24.6,29.2,29.7,31.2,31.5,30.2,29.4,30.4,31.4,33.1,36.5,40.3,44.9,48.4,47.1,44.5,43.1,43.0,6.8,6.9,7.0,7.2,7.0,7.0,7.6,8.5,9.2,10.5,11.7,12.8,13.7,12.6,11.7,10.7,10.8,9.7,10.4,11.0,11.0,10.3,10.1,11.0,11.9,13.3,15.6,19.7,23.0,24.3,21.8,19.8,18.7,19.1,14.1,14.5,15.0,15.3,14.4,13.9,14.4,14.5,14.7,15.9,16.7,17.7,18.5,18.8,17.3,16.6,16.1,23.3,23.2,22.5,22.9,23.3,23.8,25.0,27.1,27.7,28.8,29.0,28.6,28.4,26.8,26.2,24.9,25.2,33.1,34.2,36.1,37.8,40.2,42.7,48.9,51.4,50.1,46.3,44.6,43.5,44.4,48.8,48.2,48.6,47.9,47.1,47.2,46.0,44.4,43.7,41.5,39.4,38.3,39.9,38.8,38.4,38.6,37.4
Agricultural sciences,10.4,11.3,11.0,11.2,11.6,11.7,11.9,12.0,11.6,11.5,11.4,11.6,11.3,11.5,11.9,12.5,12.6,12.3,12.1,3.2,3.5,3.7,4.0,4.2,4.3,4.3,4.4,4.6,4.7,4.8,5.0,5.3,5.7,5.8,5.8,5.8,3.2,3.2,3.2,3.2,3.2,3.2,3.0,2.8,2.6,2.5,2.4,2.5,2.6,2.6,2.6,2.6,2.6,2.0,2.1,2.2,2.3,2.5,2.6,2.5,2.5,2.6,2.6,2.4,2.5,2.7,2.9,3.1,3.1,3.2,29.3,30.9,31.9,34.2,35.0,35.7,36.9,38.2,39.8,40.9,42.2,43.6,44.4,45.5,46.3,46.9,48.0,29.3,26.4,25.8,23.9,22.8,21.6,21.0,21.5,21.6,20.6,21.0,21.3,21.4,18.5,18.8,19.7,21.0,21.4,21.3,21.8,23.0,22.8,20.8,21.8,22.7,23.4,24.4,25.1,25.1,26.0
Biological sciences,42.6,42.4,46.7,48.5,50.6,52.7,54.2,54.6,54.2,53.4,53.3,53.6,53.1,54.5,57.8,60.9,62.8,64.5,65.9,21.4,22.4,23.6,25.1,26.0,26.6,26.6,26.5,26.9,27.6,27.8,29.1,31.4,33.5,35.0,36.1,36.9,11.2,12.2,12.5,12.6,12.5,11.9,11.2,10.9,11.1,11.0,11.6,12.2,13.6,14.6,15.6,16.3,16.6,7.2,7.3,7.8,8.0,8.0,8.1,8.3,8.2,8.0,8.2,7.6,7.8,7.7,8.4,8.7,8.7,8.8,45.8,46.2,46.6,47.6,48.0,48.8,49.0,49.7,50.5,51.6,52.4,53.4,54.3,55.0,55.7,55.9,56.0,23.9,21.8,20.7,20.3,20.9,20.5,21.9,22.4,23.5,24.0,24.9,25.2,25.2,15.0,15.5,15.1,14.7,14.8,15.2,15.4,15.1,15.3,14.4,14.3,13.4,13.7,13.8,13.5,13.5,13.3
Psychology,30.5,32.2,38.5,40.5,42.1,42.7,42.8,42.2,41.9,42.5,42.2,41.7,40.3,40.8,41.2,42.1,43.7,46.3,47.2,25.5,27.0,28.5,29.2,29.5,29.3,29.3,29.7,29.6,29.6,29.0,29.7,30.1,31.0,32.5,34.6,35.5,1.7,1.9,1.8,1.8,2.1,2.0,1.8,1.9,2.0,2.0,2.1,2.3,2.6,2.9,2.7,2.8,2.6,12.0,13.0,13.2,13.1,13.0,12.5,11.9,12.2,12.2,12.1,10.8,11.6,11.9,11.8,11.6,13.5,14.3,66.2,66.5,67.7,68.5,68.9,69.4,69.9,69.8,70.2,71.2,72.0,72.8,72.9,73.5,74.3,74.8,75.1,4.4,4.6,4.3,4.4,4.7,4.9,5.2,5.7,6.3,6.8,6.1,6.1,5.6,32.1,31.3,30.7,30.4,29.5,28.4,28.6,28.9,29.0,26.9,28.5,28.8,28.0,26.5,29.2,29.5,30.2
Social sciences,69.8,61.3,70.0,72.6,77.2,80.0,80.2,80.2,79.7,77.1,74.9,75.6,73.9,75.9,79.5,83.3,85.4,87.8,91.2,30.1,31.4,34.2,36.3,36.9,37.6,38.3,37.8,37.3,38.4,38.1,39.2,41.7,44.0,45.3,46.5,48.6,15.0,15.2,15.2,14.8,14.3,14.2,14.6,14.3,14.3,15.2,15.8,16.5,17.5,17.7,17.7,17.4,18.1,23.8,24.5,25.7,27.1,26.8,27.0,25.8,24.6,24.3,25.3,24.3,24.8,25.3,26.2,27.2,28.5,29.3,43.0,43.3,44.3,45.3,46.0,46.9,48.1,49.1,49.7,50.8,51.5,51.6,52.4,52.8,53.0,53.0,53.3,21.4,17.7,18.3,18.5,19.1,20.0,21.4,21.8,22.0,21.3,20.7,19.8,19.8,33.8,33.3,33.9,33.4,33.7,32.3,32.0,32.4,33.4,32.9,32.7,31.8,31.5,31.9,32.5,32.5,32.2
"Health fields, total",23.3,39.6,48.8,51.4,55.0,59.2,63.3,66.3,67.1,67.6,68.6,70.2,68.8,69.6,74.3,80.3,85.9,90.7,97.0,37.6,39.6,42.4,45.3,48.6,51.0,50.8,50.7,51.0,52.3,51.5,52.0,55.4,60.0,65.4,69.6,74.7,4.1,4.4,4.3,4.5,4.3,4.3,4.7,4.7,4.9,5.4,5.4,6.0,6.9,7.1,7.1,7.4,7.9,23.3,24.0,25.6,26.8,28.1,28.7,27.6,26.5,25.9,25.5,24.3,24.6,26.7,28.4,30.6,32.9,35.3,77.1,76.9,77.1,76.6,76.8,76.8,75.7,75.0,74.3,74.4,74.8,74.8,74.6,74.8,76.1,76.7,77.0,8.4,6.4,7.0,6.9,7.2,7.6,7.8,8.7,9.3,8.9,8.3,8.1,8.2,46.6,46.5,45.2,44.4,43.3,41.1,39.2,37.8,36.3,35.4,35.4,36.0,35.3,35.6,36.3,36.5,36.4
