Institution Type,Expected End Year,Age,Learner Region,Timely Cohort,Timely Achievement Rate %,Timely Retention Rate %,Timely Pass Rate %
General FE and Tertiary College,2015/16,16-18,East Midlands,"96,000",78.6,89.5,87.9
General FE and Tertiary College,2015/16,16-18,East of England,"126,930",76.8,89.2,86.0
General FE and Tertiary College,2015/16,16-18,London,"141,970",77.4,89.9,86.0
General FE and Tertiary College,2015/16,16-18,North East,"72,950",79.3,89.2,88.9
General FE and Tertiary College,2015/16,16-18,North West,"171,510",79.2,88.0,90.0
General FE and Tertiary College,2015/16,16-18,Postcode outside England,"6,540",75.8,87.8,86.4
General FE and Tertiary College,2015/16,16-18,South East,"153,400",78.8,88.8,88.7
General FE and Tertiary College,2015/16,16-18,South West,"130,570",79.6,90.2,88.2
General FE and Tertiary College,2015/16,16-18,West Midlands,"143,300",77.9,88.9,87.7
General FE and Tertiary College,2015/16,16-18,Yorkshire and the Humber,"118,030",78.5,88.4,88.8
General FE and Tertiary College,2015/16,19+,East Midlands,"79,800",85.8,91.7,93.6
General FE and Tertiary College,2015/16,19+,East of England,"57,000",83.7,91.6,91.4
General FE and Tertiary College,2015/16,19+,London,"182,550",85.6,92.8,92.3
General FE and Tertiary College,2015/16,19+,No Region for Postcode,-,83.3,100.0,83.3
General FE and Tertiary College,2015/16,19+,North East,"69,040",88.6,93.5,94.8
General FE and Tertiary College,2015/16,19+,North West,"134,580",86.4,91.5,94.3
General FE and Tertiary College,2015/16,19+,Postcode outside England,"4,320",82.9,88.1,94.1
General FE and Tertiary College,2015/16,19+,South East,"86,930",84.5,91.1,92.8
General FE and Tertiary College,2015/16,19+,South West,"65,050",82.5,89.5,92.2
General FE and Tertiary College,2015/16,19+,West Midlands,"112,550",84.5,90.9,93.0
General FE and Tertiary College,2015/16,19+,Yorkshire and the Humber,"91,120",83.6,90.2,92.7
General FE and Tertiary College,2015/16,All Age,East Midlands,"175,800",81.9,90.5,90.5
General FE and Tertiary College,2015/16,All Age,East of England,"183,930",78.9,90.0,87.7
