Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,PATIENT TRANSPORT,ARRIVA TRANSPORT SOLUTIONS,24706201,"£91,729.34",,1006718
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,24634044,"£1,190,943.00",654912228,3015539
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec NHS Trust-Contract Baseline,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,24634068,"£92,501.84",654912228,3015540
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec NHS Trust-Prior Year,MENTAL HEALTH CONTRACTS,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,24634098,"-£48,193.00",654912228,501339
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec NHS Trust-Contract Baseline,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,24917348,"£223,825.41",654912228,3015720
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH CONTRACTS,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,24917388,"£115,444.70",654912228,3015782
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH CONTRACTS,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,24917390,"£1,190,943.00",654912228,3015773
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Independent Sector,PRIMARY CARE INVESTMENTS,BANES ENHANCED MEDICAL SERVICES + LTD,24706275,"£34,760.17",,EHVSOCT18
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-APMS LES Choice & Book,PROGRAMME PROJECTS,BANES ENHANCED MEDICAL SERVICES + LTD,24706282,"£39,291.58",,RSSNOVEMBER18
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-GP PRACTICE REVENUE - PCTF,GP FORWARD VIEW,BANES ENHANCED MEDICAL SERVICES + LTD,24814266,"£69,879.58",,IA3
