Source,Date of Expense,Location,Purpose,Funded,Type of Expenditure,Value
Redfern Travel,1/14/15,Hotel Fee  ,Meetings in Manchester,NICE,Hotels,-£24.44
Redfern Travel,2/11/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£68.18
Redfern Travel,2/24/15,Novotel Barcelona,for EM 039,NICE,Hotels,£98.11
Redfern Travel,3/3/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£91.85
Redfern Travel,3/11/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£91.85
Redfern Travel,4/15/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£314.13
Redfern Travel,4/15/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£91.85
Redfern Travel,4/15/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£34.58
Redfern Travel,4/15/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Redfern Travel,4/15/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£320.84
Expenses,4/23/15,Wellington House,Tube travel to Wellington House,NICE,Underground/Train/Bus,£2.40
Redfern Travel,4/27/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£74.15
Redfern Travel,4/27/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£80.86
Expenses,5/11/15,Warren House,Tube from London NICE office to Norbiton for SMT Away Day,NICE,Underground/Train/Bus,£6.00
Expenses,5/13/15,london skipton house,Meeting in Skipton House,NICE,Underground/Train/Bus,£2.40
Redfern Travel,5/19/15,London Paddington to Bristol Temple Meads,May Board Meeting,NICE,Underground/Train/Bus,£192.80
Redfern Travel,5/20/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£91.85
Redfern Travel,5/20/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£34.58
Expenses,5/20/15,Bristol Old Council House,Return tube fare from London Euston station ,NICE,Underground/Train/Bus,£2.40
Expenses,5/20/15,Bristol Old Council House,Tube fare to London Euston station ,NICE,Underground/Train/Bus,£2.40
Interface event Management,5/20/15,Bristol,May Board Meeting - Dinner,NICE,Subsistence,£30.00
Interface event Management,5/20/15,Bristol,May Board Meeting - Bed and Breakfast,NICE,Hotels,£105.00
Redfern Travel,5/20/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Redfern Travel,5/27/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£91.85
Redfern Travel,5/27/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£34.58
Redfern Travel,5/27/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Redfern Travel,5/31/15,London Heathrow to W'Ington Dulles,Data Palooza Conference in Wasghinton. Part of trade delegation,NICE,Flight,-£326.00
Redfern Travel,5/31/15,Hotel Fee  ,Meetings in Manchester,NICE,Hotels,£0.45
Redfern Travel,5/31/15,London Heathrow to W'Ington Dulles,Data Palooza Conference in Wasghinton. Part of trade delegation,NICE,Flight,£396.35
Redfern Travel,5/31/15,London Heathrow to W'Ington Dulles,Data Palooza Conference in Wasghinton. Part of trade delegation,NICE,Flight,"£2,129.17"
Expenses,5/31/15,Washington,Washington HDP,NICE,Subsistence,£20.00
Expenses,5/31/15,London Heathrow Terminal 5,Taxi to Heathrow airport,NICE,Taxi,£45.00
Corporate Credit Card,5/31/15,Regency Cab,Cab from Dulles Airport to Hotel. Data Palooza Conference in Wasghinton. Part of trade delegation,NICE,Taxi,£44.81
Expenses,6/1/15,Washington,Washington HDP,NICE,Subsistence,£20.00
Expenses,6/2/15,Washington,Washington HDP,NICE,Subsistence,£20.00
Expenses,6/3/15,Washington,Washington HDP,NICE,Subsistence,£20.00
Expenses,6/3/15,Washington,Taxi to Washington Dulles airport with Diarmaid Crean and Will Cavendish,NICE,Taxi,£43.03
Corporate Credit Card,6/4/15,Marriot Hotel,3 Nights Hotel stay for Data Palooza Conference in Wasghinton. Part of trade delegation,NICE,Hotels,£646.35
Redfern Travel,6/10/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£91.85
Redfern Travel,6/10/15,Hotel Fee  ,Meetings in Manchester,NICE,Hotels,£1.40
Redfern Travel,6/10/15,Novotel Manchester,Meetings in Manchester,NICE,Hotels,£76.40
Redfern Travel,6/10/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Expenses,6/10/15,NICE Manchester,Weekly travel to Manchester,NICE,Underground/Train/Bus,£2.40
Expenses,6/10/15,ETC Venues,Panel briefing - FT Digital Health Summit Europe,NICE,Underground/Train/Bus,£2.40
Expenses,6/10/15,ETC Venues,Panel briefing - FT Digital Health Summit Europe,NICE,Underground/Train/Bus,£2.40
Expenses,6/10/15,NICE Manchester,Weekly travel to Manchester,NICE,Subsistence,£20.00
Expenses,6/11/15,NICE Manchester,Weekly travel to Manchester,NICE,Underground/Train/Bus,£2.40
Expenses,6/17/15,The King's Fund Cavendish Square London,Tube fare from Cavendish Square,NICE,Underground/Train/Bus,£2.40
Expenses,6/17/15,The King's Fund Cavendish Square London,Tube fare to Cavendish Square,NICE,Underground/Train/Bus,£2.40
Redfern Travel,6/24/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Expenses,6/24/15,NICE Manchester,Weekly travel to Manchester,NICE,Underground/Train/Bus,£2.40
Expenses,6/24/15,NICE Manchester,Weekly travel to Manchester,NICE,Subsistence,£20.00
Expenses,6/25/15,NICE Manchester,Weekly travel to Manchester,NICE,Underground/Train/Bus,£2.40
Expenses,6/29/15,The King's Fund Cavendish Square London,Tube fare to Cavendish Square,NICE,Underground/Train/Bus,£2.40
Expenses,6/29/15,The King's Fund Cavendish Square London,Tube fare from Cavendish Square,NICE,Underground/Train/Bus,£2.40
Redfern Travel,7/1/15,Novotel Manchester,Meetings in Manchester,NICE,Hotels,£76.40
Redfern Travel,7/1/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Expenses,7/1/15,NICE Manchester,Weekly travel to Manchester,NICE,Underground/Train/Bus,£2.40
Expenses,7/1/15,Imperial Colledge London - St Marys,"Tube fare to Imperial College, Paddington",NICE,Underground/Train/Bus,£2.40
Expenses,7/1/15,Imperial Colledge London - St Marys,"Tube fare from Imperial College, Paddington",NICE,Underground/Train/Bus,£2.40
Expenses,7/1/15,NICE Manchester,Weekly travel to Manchester,NICE,Subsistence,£20.00
Expenses,7/2/15,NICE Manchester,Weekly travel to Manchester,NICE,Underground/Train/Bus,£2.40
Redfern Travel,7/7/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£62.75
Redfern Travel,7/7/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£74.46
Redfern Travel,7/7/15,Mercure Manchester EM 076,Meetings in Manchester,NICE,Hotels,£78.40
Expenses,7/7/15,NICE Manchester,Weekly travel to Manchester,NICE,Underground/Train/Bus,£2.40
Expenses,7/7/15,NICE Manchester,Weekly travel to Manchester,NICE,Subsistence,£20.00
Expenses,7/8/15,NICE Manchester,Weekly travel to Manchester,NICE,Underground/Train/Bus,£2.40
Redfern Travel,7/14/15,London Kings Cross to Haymarket,July Board Meeting,NICE,Underground/Train/Bus,£52.63
Expenses,7/14/15,Guys Hospital,Return tube fare to attend Delivery of Personalised Health and Care 2020,NICE,Underground/Train/Bus,£4.80
Redfern Travel,7/15/15,Haymarket to Manchester Piccadilly,July Board Meeting,NICE,Underground/Train/Bus,£17.52
Redfern Travel,7/15/15,Novotel Manchester EM 079,Meetings in Manchester,NICE,Hotels,£76.40
Interface event Management,7/15/15,Edinburgh,July Board Meeting - Dinner,NICE,Subsistence,£25.00
Interface event Management,7/15/15,Edinburgh,July Board Meeting - Bed and Breakfast,NICE,Hotels,£105.00
Expenses,7/15/15,NICE Manchester,Weekly travel to Manchester from Edinburgh,NICE,Subsistence,£20.00
Redfern Travel,7/16/15,Manchester Piccadilly to London Euston,Meetings in Manchester,NICE,Underground/Train/Bus,£79.89
Expenses,7/16/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
Redfern Travel,7/22/15,Mercure Manchester EM 080,Meetings in Manchester,NICE,Hotels,£78.40
Expenses,7/22/15,NICE Manchester,Weekly travel to Manchester,NICE,Bus/Tube,£2.40
Expenses,7/22/15,NICE Manchester,Weekly travel to Manchester,NICE,24 hr Subsistence ,£20.00
Expenses,7/23/15,NICE Manchester,Weekly travel to Manchester,NICE,Bus/Tube,£2.40
Expenses,7/23/15,NICE Manchester,Weekly travel to Manchester,NICE,10 Hour Allowance Before 7pm,£10.00
Expenses,7/28/15,London Paddington rtn,Meeting in Cerner Office in Paddington,NICE,Bus/Tube,£4.80
Redfern Travel,7/29/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£34.58
Redfern Travel,7/29/15,Hotel Fee  ,Meetings in Manchester,NICE,Hotels,£1.40
Redfern Travel,7/29/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Redfern Travel,8/4/15,Doubletree By Hilton,Meetings in Manchester,NICE,Hotels,£96.40
Redfern Travel,8/4/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Expenses,8/4/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
Expenses,8/4/15,NICE Manchester,Weekly travel to Manchester ,NICE,Subsistence,£10.00
Expenses,8/4/15,NICE Manchester,Weekly travel to Manchester ,NICE,Subsistence,£20.00
Expenses,8/5/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
Redfern Travel,8/26/15,Novotel Manchester,Meetings in Manchester,NICE,Hotels,£76.40
Redfern Travel,8/26/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Expenses,8/26/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
Expenses,8/26/15,NICE Manchester,Weekly travel to Manchester ,NICE,Subsistence,£10.00
Expenses,8/26/15,NICE Manchester,Weekly travel to Manchester ,NICE,Subsistence,£20.00
Expenses,8/27/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
Redfern Travel,9/1/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,-£91.85
Redfern Travel,9/1/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£143.14
Redfern Travel,9/2/15,Doubletree By Hilton,Meetings in Manchester,NICE,Hotels,£95.00
Redfern Travel,9/2/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£161.27
Expenses,9/2/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
Expenses,9/2/15,NICE Manchester,Weekly travel to Manchester ,NICE,Subsistence,£10.00
Expenses,9/2/15,NICE Manchester,Weekly travel to Manchester ,NICE,Subsistence,£20.00
Expenses,9/3/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
Redfern Travel,9/9/15,Novotel Manchester,Meetings in Manchester ,NICE,Hotels,£76.40
Redfern Travel,9/9/15,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£108.41
Expenses,9/9/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
