Self-defined nationality,Time of arrest Apr-Jun 2016,Jul-Sep 2016,Oct-Dec 2016,Jan-Mar 2017,Apr-Jun 2017,Jul-Sep 2017,Oct-Dec 2017,Jan-Mar 2018,Apr-Jun 2018,,Total year ending 30 Jun 2017,30 Jun 2018,,Total since Sep 11 2001
Great Britain,20,32,22,26,26,24,16,19,11,,106,70,,794
Albania,-,-,-,-,-,-,-,-,-,,-,-,,17
Turkey,3,1,-,-,-,-,-,-,-,,1,-,,14
Ireland,-,-,-,1,-,-,-,-,-,,1,-,,13
Netherlands,-,-,-,1,-,-,-,-,-,,1,-,,9
France,-,-,-,-,1,-,1,1,1,,1,3,,8
Germany,-,-,-,-,-,-,-,-,-,,-,-,,6
Romania,-,-,-,-,-,-,-,-,-,,-,-,,4
Ukraine,-,-,-,-,-,-,-,-,-,,-,-,,3
Sweden,-,-,-,-,-,-,-,-,-,,-,-,,2
Italy,-,-,-,1,-,-,-,-,-,,1,-,,2
Belgium,1,-,-,-,-,-,-,-,-,,-,-,,2
Finland,-,-,-,-,-,1,-,-,-,,-,1,,2
Portugal,-,-,-,-,-,-,-,1,-,,-,1,,2
Slovakia,-,-,-,-,-,1,-,-,-,,-,1,,1
Greece,-,-,-,-,-,-,-,-,-,,-,-,,1
Cyprus,-,-,-,-,-,-,-,-,-,,-,-,,1
Russia,-,-,-,-,-,-,-,-,-,,-,-,,1
Norway,-,-,-,-,-,-,-,-,-,,-,-,,1
Serbia,-,-,-,-,-,-,-,-,-,,-,-,,1
Poland,-,-,-,1,-,-,-,-,-,,1,-,,1
Algeria,-,3,-,-,1,-,3,-,-,,4,3,,49
Somalia,-,-,-,-,1,-,1,2,-,,1,3,,25
Libya,-,-,-,-,-,-,-,-,-,,-,-,,8
Sudan,-,-,1,2,-,-,-,-,-,,3,-,,7
Nigeria,-,-,-,-,-,-,-,-,-,,-,-,,4
Ethiopia,-,-,-,-,-,-,-,-,-,,-,-,,4
Eritrea,-,-,1,-,-,-,-,-,-,,1,-,,3
Morocco,-,-,-,-,-,-,-,-,-,,-,-,,3
Ghana,-,-,-,-,-,-,-,-,-,,-,-,,2
Uganda,-,-,-,-,-,-,-,-,-,,-,-,,2
Egypt,-,-,1,-,-,-,-,-,-,,1,-,,2
Burkina,-,-,-,-,-,-,-,-,-,,-,-,,1
Tunisia,-,-,-,-,1,-,-,-,-,,1,-,,1
Tanzania,-,-,-,-,-,-,-,-,-,,-,-,,1
Zimbabwe,-,-,-,-,-,-,-,-,-,,-,-,,1
Gambia,-,-,-,-,-,-,-,-,-,,-,-,,1
South Africa,-,-,-,-,-,-,-,-,-,,-,-,,1
Kenya,-,-,-,-,-,-,-,-,-,,-,-,,1
Mali,-,-,-,-,-,-,-,-,-,,-,-,,1
Brazil,-,-,-,-,-,-,1,-,-,,-,1,,2
Venezuela,-,-,-,-,-,-,-,-,-,,-,-,,1
Jamaica,-,1,-,-,-,-,-,-,-,,1,-,,1
Pakistan,-,1,1,1,3,-,-,-,-,,6,-,,25
India,-,-,-,-,-,-,-,-,-,,-,-,,9
Bangladesh,-,-,-,-,2,1,-,-,-,,2,1,,8
Afghanistan,-,1,-,-,-,-,1,-,-,,1,1,,8
Sri Lanka,-,-,-,-,-,-,-,-,-,,-,-,,3
China,-,-,-,-,-,-,-,-,-,,-,-,,1
Nepal,-,-,-,-,-,-,-,-,-,,-,-,,1
Iraq,1,-,-,-,-,3,2,1,-,,-,6,,22
Iran,-,1,-,1,-,-,-,-,-,,2,-,,8
Syria,-,-,-,1,2,-,-,-,-,,3,-,,6
Palestine,-,-,-,-,-,-,-,-,-,,-,-,,2
Saudi Arabia,-,-,-,-,-,-,-,-,-,,-,-,,1
Jordan,-,-,-,-,-,-,-,-,-,,-,-,,1
Kuwait,-,-,-,-,-,-,-,-,-,,-,-,,1
Kurdistan,1,-,-,-,-,-,-,-,-,,-,-,,1
British dual nationality,-,-,-,-,-,-,-,-,-,,-,-,,10
Other dual nationality,-,-,-,-,-,-,-,-,-,,-,-,,6
Not declared,-,-,-,-,1,-,-,-,1,,1,1,,6
