,,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
TWPV Rider,,281.0,233.0,160.0,136.0,142.0,97.0,111.0,98.0,99.0,101.0,103.0,134.0,129.0,157.0,145.0,144.0,131.0,115.0,114.0,132.0,103.0,90.0,86.0,97.0,81.0,104.0
TWPV Pillion,,22.0,12.0,13.0,10.0,10.0,9.0,12.0,6.0,4.0,5.0,9.0,11.0,16.0,16.0,2.0,9.0,8.0,19.0,2.0,6.0,3.0,3.0,1.0,3.0,4.0,3.0
Car Driver,,993.0,1131.0,1082.0,1274.0,1252.0,1274.0,1246.0,1420.0,1388.0,1500.0,1466.0,1530.0,1440.0,1551.0,1404.0,1361.0,1185.0,1050.0,1014.0,865.0,891.0,697.0,626.0,499.0,448.0,447.0
Car Passenger,,725.0,824.0,731.0,852.0,796.0,792.0,795.0,824.0,946.0,962.0,985.0,985.0,875.0,929.0,843.0,859.0,727.0,755.0,680.0,574.0,606.0,459.0,483.0,354.0,303.0,290.0
Pedestrian,,1081.0,1075.0,963.0,981.0,840.0,784.0,763.0,757.0,737.0,703.0,651.0,672.0,726.0,674.0,662.0,591.0,618.0,509.0,432.0,450.0,397.0,334.0,353.0,304.0,276.0,292.0
Cyclist (Rider Only),,371.0,360.0,323.0,339.0,342.0,281.0,287.0,295.0,300.0,250.0,226.0,259.0,244.0,203.0,192.0,241.0,236.0,222.0,210.0,234.0,243.0,261.0,281.0,197.0,201.0,182.0
PCV Passenger,,141.0,118.0,122.0,117.0,112.0,116.0,121.0,97.0,137.0,161.0,135.0,161.0,166.0,110.0,148.0,104.0,136.0,78.0,120.0,82.0,96.0,53.0,45.0,46.0,26.0,39.0
Total Other Driver,,100.0,84.0,69.0,88.0,85.0,106.0,112.0,87.0,123.0,107.0,91.0,125.0,111.0,85.0,84.0,87.0,92.0,72.0,49.0,53.0,47.0,52.0,39.0,33.0,29.0,31.0
Total Other Passenger,,60.0,32.0,54.0,47.0,50.0,57.0,53.0,57.0,43.0,37.0,35.0,36.0,47.0,35.0,29.0,30.0,40.0,24.0,22.0,32.0,18.0,13.0,18.0,11.0,20.0,11.0
Driver/Rider,,96.0,98.0,78.0,77.0,78.0,79.0,74.0,84.0,75.0,63.0,86.0,72.0,48.0,61.0,56.0,60.0,57.0,55.0,32.0,25.0,32.0,38.0,38.0,23.0,24.0,17.0
Passenger,,157.0,171.0,178.0,189.0,180.0,138.0,165.0,201.0,215.0,238.0,209.0,205.0,214.0,175.0,182.0,161.0,139.0,141.0,122.0,108.0,144.0,108.0,107.0,77.0,50.0,90.0
Pedestrian,,387.0,425.0,345.0,375.0,300.0,279.0,263.0,288.0,280.0,269.0,240.0,228.0,252.0,210.0,237.0,184.0,170.0,145.0,131.0,124.0,111.0,90.0,111.0,89.0,81.0,76.0
  0 – 4,,112.0,131.0,119.0,129.0,98.0,77.0,88.0,94.0,92.0,75.0,70.0,92.0,68.0,74.0,75.0,55.0,45.0,39.0,38.0,45.0,57.0,35.0,39.0,35.0,28.0,37.0
  5 – 9 - pupil to/from school,,24.0,29.0,24.0,33.0,27.0,19.0,24.0,21.0,24.0,32.0,19.0,12.0,22.0,10.0,16.0,14.0,8.0,5.0,7.0,2.0,1.0,0.0,1.0,7.0,4.0,2.0
 5 - 9 pupil not to/from school,,223.0,208.0,196.0,202.0,186.0,161.0,146.0,157.0,155.0,166.0,180.0,136.0,142.0,128.0,124.0,96.0,88.0,96.0,69.0,83.0,63.0,64.0,71.0,56.0,45.0,58.0
10 – 15 - pupil to/from school,,64.0,65.0,62.0,45.0,65.0,48.0,58.0,59.0,76.0,85.0,71.0,68.0,68.0,59.0,75.0,58.0,50.0,25.0,27.0,6.0,10.0,5.0,3.0,19.0,12.0,2.0
10-15 - pupil not to/from school,,217.0,261.0,200.0,232.0,182.0,191.0,186.0,242.0,223.0,212.0,195.0,197.0,214.0,175.0,185.0,182.0,175.0,176.0,144.0,121.0,156.0,132.0,142.0,72.0,66.0,84.0
Fatal,,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Serious,,15.0,17.0,8.0,7.0,14.0,11.0,7.0,6.0,17.0,3.0,7.0,14.0,4.0,11.0,1.0,16.0,15.0,9.0,8.0,9.0,5.0,4.0,5.0,2.0,3.0,7.0
Slight,,100.0,106.0,76.0,71.0,95.0,103.0,78.0,74.0,119.0,111.0,66.0,106.0,103.0,102.0,112.0,86.0,103.0,86.0,77.0,35.0,44.0,44.0,40.0,57.0,27.0,22.0
