col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
KSI,Authorised Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,Automatic Traffic Signals,20.0,18.0,15.0,9.0,14.0,14.0,18.0,12.0,7.0,13.0,6.0,9.0,11.0,15.0,14.0,13.0,14.0
,Stop Sign,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
,Give Way/Uncontrolled,80.0,83.0,63.0,49.0,53.0,51.0,56.0,48.0,47.0,55.0,50.0,58.0,42.0,34.0,36.0,39.0,48.0
All,Authorised Person,1.0,5.0,1.0,1.0,3.0,4.0,2.0,7.0,1.0,4.0,4.0,2.0,1.0,11.0,4.0,0.0,0.0
,Automatic Traffic Signals,175.0,196.0,189.0,185.0,196.0,208.0,225.0,212.0,196.0,190.0,164.0,178.0,170.0,161.0,140.0,103.0,101.0
,Stop sign,15.0,12.0,14.0,14.0,13.0,12.0,8.0,10.0,21.0,10.0,8.0,6.0,6.0,5.0,6.0,5.0,0.0
,Give Way/Uncontrolled,710.0,689.0,695.0,727.0,729.0,690.0,784.0,740.0,627.0,671.0,571.0,587.0,524.0,504.0,455.0,374.0,330.0
KSI,Authorised Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Automatic Traffic Signals,8.0,7.0,8.0,4.0,4.0,3.0,3.0,4.0,7.0,3.0,8.0,6.0,6.0,7.0,3.0,9.0,6.0
,Stop Sign,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,Give Way/Uncontrolled,45.0,47.0,30.0,29.0,20.0,22.0,23.0,25.0,25.0,26.0,32.0,40.0,34.0,33.0,23.0,29.0,29.0
All,Authorised Person,5.0,3.0,2.0,7.0,8.0,1.0,5.0,1.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0
,Automatic Traffic Signals,121.0,93.0,111.0,116.0,111.0,147.0,151.0,149.0,127.0,119.0,114.0,96.0,96.0,96.0,70.0,95.0,48.0
,Stop sign,7.0,4.0,4.0,6.0,13.0,6.0,4.0,9.0,6.0,7.0,3.0,9.0,3.0,2.0,1.0,6.0,1.0
,Give Way/Uncontrolled,454.0,417.0,409.0,441.0,463.0,465.0,484.0,443.0,422.0,426.0,385.0,344.0,333.0,298.0,270.0,239.0,203.0
KSI,Authorised Person,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
,Automatic Traffic Signals,56.0,54.0,53.0,56.0,48.0,42.0,55.0,45.0,55.0,50.0,52.0,63.0,62.0,54.0,44.0,37.0,50.0
,Stop Sign,2.0,6.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0
,Give Way/Uncontrolled,162.0,149.0,143.0,119.0,124.0,117.0,129.0,142.0,126.0,136.0,127.0,113.0,95.0,91.0,99.0,85.0,76.0
All,Authorised Person,13.0,10.0,8.0,11.0,12.0,8.0,6.0,6.0,7.0,11.0,7.0,12.0,9.0,10.0,8.0,5.0,2.0
,Automatic Traffic Signals,687.0,694.0,720.0,672.0,715.0,629.0,725.0,708.0,729.0,664.0,702.0,688.0,581.0,545.0,483.0,474.0,408.0
,Stop sign,37.0,27.0,36.0,27.0,26.0,24.0,21.0,16.0,22.0,18.0,19.0,22.0,23.0,16.0,19.0,13.0,11.0
,Give Way/Uncontrolled,1438.0,1392.0,1390.0,1430.0,1429.0,1392.0,1509.0,1433.0,1435.0,1401.0,1294.0,1199.0,1005.0,948.0,930.0,891.0,740.0
KSI,Authorised Person,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,Automatic Traffic Signals,11.0,5.0,13.0,7.0,4.0,6.0,8.0,9.0,5.0,8.0,11.0,8.0,9.0,6.0,9.0,5.0,8.0
,Stop Sign,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Give Way/Uncontrolled,69.0,50.0,61.0,44.0,32.0,51.0,47.0,47.0,27.0,32.0,41.0,61.0,41.0,44.0,30.0,36.0,37.0
All,Authorised Person,1.0,4.0,1.0,5.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0
,Automatic Traffic Signals,116.0,110.0,111.0,134.0,127.0,131.0,131.0,146.0,107.0,114.0,134.0,127.0,136.0,99.0,101.0,71.0,68.0
,Stop sign,17.0,19.0,14.0,9.0,8.0,8.0,13.0,5.0,6.0,4.0,3.0,5.0,3.0,5.0,1.0,2.0,3.0
,Give Way/Uncontrolled,631.0,631.0,596.0,595.0,570.0,525.0,567.0,539.0,457.0,442.0,506.0,476.0,405.0,365.0,328.0,287.0,268.0
KSI,Authorised Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,Automatic Traffic Signals,6.0,7.0,5.0,5.0,3.0,9.0,3.0,2.0,6.0,3.0,2.0,2.0,5.0,5.0,6.0,4.0,2.0
,Stop Sign,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
,Give Way/Uncontrolled,66.0,50.0,52.0,42.0,32.0,46.0,42.0,33.0,49.0,33.0,40.0,30.0,28.0,36.0,45.0,36.0,21.0
All,Authorised Person,4.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0
,Automatic Traffic Signals,84.0,104.0,83.0,64.0,80.0,101.0,95.0,74.0,78.0,78.0,88.0,97.0,67.0,63.0,57.0,46.0,32.0
,Stop sign,9.0,15.0,9.0,10.0,16.0,21.0,10.0,17.0,13.0,9.0,19.0,23.0,12.0,7.0,4.0,5.0,4.0
,Give Way/Uncontrolled,621.0,583.0,590.0,571.0,560.0,581.0,581.0,568.0,527.0,522.0,474.0,470.0,371.0,352.0,312.0,279.0,249.0
KSI,Authorised Person,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
,Automatic Traffic Signals,15.0,20.0,14.0,11.0,11.0,8.0,20.0,9.0,12.0,17.0,11.0,9.0,10.0,10.0,16.0,12.0,14.0
,Stop Sign,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Give Way/Uncontrolled,82.0,63.0,60.0,55.0,44.0,44.0,44.0,58.0,31.0,44.0,32.0,33.0,36.0,52.0,47.0,29.0,30.0
All,Authorised Person,4.0,1.0,1.0,6.0,3.0,4.0,7.0,9.0,2.0,3.0,5.0,5.0,6.0,2.0,1.0,1.0,0.0
,Automatic Traffic Signals,260.0,240.0,237.0,251.0,214.0,218.0,231.0,183.0,169.0,178.0,160.0,132.0,127.0,126.0,131.0,138.0,97.0
,Stop sign,10.0,16.0,9.0,3.0,5.0,5.0,8.0,6.0,3.0,5.0,2.0,7.0,3.0,3.0,1.0,0.0,0.0
,Give Way/Uncontrolled,714.0,677.0,654.0,681.0,614.0,590.0,586.0,525.0,447.0,506.0,435.0,385.0,328.0,335.0,313.0,287.0,248.0
KSI,Authorised Person,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
