STATE SENATE DISTRICT NO. 18,,,,
36837.0,"Infantine, r","O'Neil, d",Scatter,
Auburn,1279.0,990.0,1.0,
Manchester Ward 5,854.0,1321.0,7.0,
Manchester Ward 6,2069.0,2326.0,6.0,
Manchester Ward 7,1132.0,1689.0,3.0,
Manchester Ward 8,1907.0,2067.0,3.0,
Manchester Ward 9,1377.0,1784.0,13.0,
,,,,
Totals,8618.0,10177.0,33.0,
,,,,
STATE SENATE DISTRICT NO.19,,,,
,"Prescott, r","Woodworth, r",Scatter,Russman
Derry,6387.0,4519.0,36.0,186.0
Hampstead,2272.0,1491.0,,20.0
Kingston,1528.0,1054.0,,68.0
Plaistow,1785.0,1371.0,,2.0
,,,,
Totals,11972.0,8435.0,36.0,276.0
,,,,
STATE SENATE DISTRICT NO. 20,,,,
,"Hunter, r","D'Allesandro, d",Scatter,
Goffstown,3779.0,3442.0,6.0,
Manchester Ward 3,970.0,1614.0,6.0,
Manchester Ward 4,957.0,1597.0,5.0,
Manchester Ward 10,1258.0,2138.0,2.0,
Manchester Ward 11,958.0,1386.0,7.0,
,,,,
Totals,7922.0,10177.0,26.0,
