American Colleges and Universities with Aid for International Students - 2004,,,,,
COLLEGE,STATE,COST OF ATTENDANCE,NUMBER of INTER'L STDS,NUMBER AIDED,AVERAGE AWARD
High Point University,NC,27600.0,93.0,10.0,37800.0
Skidmore College,NY,39735.0,28.0,1.0,37250.0
Mount Holyoke College,MA,40168.0,331.0,241.0,34550.0
Columbia U-Engineering College,NY,40745.0,134.0,35.0,33935.0
Connecticut College,CT,37900.0,140.0,68.0,33747.0
Williams College,MA,38370.0,110.0,101.0,33724.0
Amherst College,MA,40514.0,73.0,52.0,33675.0
Columbia U.-Columbia College,NY,40650.0,202.0,70.0,33300.0
Bates College,ME,39600.0,111.0,76.0,33278.0
Colby College,ME,39520.0,108.0,98.0,33191.0
Swarthmore College,PA,39616.0,86.0,48.0,33090.0
Wesleyan University,CT,40206.0,154.0,47.0,33040.0
Occidental College,CA,38818.0,58.0,32.0,32841.0
St. Lawrence University,NY,37745.0,80.0,77.0,32301.0
Kenyon College,OH,36410.0,35.0,35.0,31938.0
Colgate University,NY,38575.0,138.0,126.0,31898.0
Mass. Inst. Of Technology,MA,41030.0,343.0,326.0,31524.0
Middlebury College,VT,39850.0,191.0,152.0,31471.0
Haverford college,PA,40210.0,30.0,9.0,31036.0
Sara Lawrence College,NY,43086.0,25.0,10.0,30696.0
Harvard/Radcliffe Colleges,MA,41439.0,502.0,349.0,30558.0
Bowdin College,ME,39800.0,54.0,41.0,30475.0
Regis College,MA,31880.0,15.0,1.0,30275.0
Pomona College,CA,39580.0,30.0,16.0,30000.0
Princeton University,NJ,39608.0,347.0,190.0,30000.0
California Inst. of Technology,CA,36627.0,72.0,46.0,29832.0
Brown University,RI,40480.0,346.0,104.0,29670.0
Hampshire College,MA,37931.0,37.0,27.0,29629.0
Bryn Mawr College,PA,38640.0,103.0,81.0,29484.0
Dartmouth College,NH,37996.0,191.0,136.0,29257.0
Trinity College,CT,39947.0,46.0,39.0,29224.0
Harvey Mudd College,CA,39780.0,19.0,11.0,29025.0
Union College,NY,38491.0,46.0,36.0,28965.0
Lafayette College,PA,37771.0,110.0,99.0,28703.0
Vassar College,NY,39200.0,106.0,97.0,28573.0
Lehigh University,PA,36840.0,136.0,24.0,28371.0
Yale University,CT,39520.0,421.0,181.0,28178.0
Providence College,RI,30679.0,27.0,40.0,28000.0
Smith College,MA,41254.0,172.0,114.0,27803.0
University of Pennsylvania,PA,40596.0,896.0,172.0,27714.0
Gettysburg College,PA,37096.0,46.0,40.0,27500.0
Hamilton College,NY,37560.0,62.0,56.0,27467.0
St. John's College,NM,38135.0,8.0,3.0,27256.0
University of the South,TN,32420.0,16.0,15.0,27101.0
Cornell University,NY,40699.0,969.0,47.0,27021.0
University of Scranton,PA,33053.0,22.0,15.0,26896.0
Dickinson College,PA,37915.0,32.0,18.0,26878.0
Georgetown University,DC,40697.0,277.0,20.0,26500.0
Wellesley College,MA,39516.0,156.0,106.0,26202.0
DePauw University,IN,33150.0,35.0,26.0,26159.0
Whitman College,WA,33526.0,29.0,28.0,25900.0
Reed College,OR,40200.0,42.0,32.0,25614.0
University of Chicago,IL,41620.0,334.0,19.0,25572.0
Merrimack College,MA,33725.0,38.0,20.0,25500.0
Fairfield University,CT,40605.0,60.0,25.0,25308.0
St. Mary's College of CA,CA,35730.0,78.0,10.0,25148.0
Wake Forest University,NC,36360.0,35.0,23.0,25069.0
Berea College,KY,6693.0,101.0,101.0,24900.0
Davidson College,NC,35818.0,48.0,38.0,24819.0
Franklin and Marshall College,PA,37330.0,130.0,108.0,24441.0
Colorado College,CO,39598.0,64.0,26.0,24431.0
Tufts University,MA,40205.0,334.0,26.0,24354.0
Oberlin College,OH,38677.0,177.0,145.0,24213.0
Brandeis University,MA,39898.0,186.0,110.0,23905.0
Macalester College,MN,34014.0,266.0,259.0,23614.0
Simon's Rock College of Bard,MA,38805.0,7.0,7.0,23584.0
St. John Fisher College,NY,26450.0,5.0,1.0,23250.0
Hobart & William Smith College,NY,38196.0,33.0,29.0,22919.0
Washington and Lee University,VA,31350.0,67.0,55.0,22768.0
Elmira College,NY,35820.0,67.0,67.0,22650.0
Stanford University,CA,39127.0,334.0,200.0,22363.0
College of the Atlantic,ME,30155.0,30.0,1.0,22266.0
