"PSB - PS Business Parks, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Revenue per Share ($),5.42,5.58,6.56,8.4,8.67,9.63,10.0,11.22,12.55,13.64,12.28,11.22,12.12,14.27,14.49,14.49,,1.24,1.22,1.24,1.91,1.52,1.63,1.66,0.78,1.71,1.81,1.95,1.12,2.22,2.24,2.21,1.73,2.31,2.4,2.26,1.94,2.47,2.36,2.42,2.47,2.45,2.52,2.49,2.55,2.71,2.75,2.86,2.89,3.01,3.11,3.18,3.25,3.41,3.41,3.46,3.36,3.37,3.27,2.95,2.76,2.74,2.82,2.83,2.85,2.97,2.95,3.11,3.09,3.5,3.53,3.58,3.67,3.62,3.6,3.67,3.6
EBITDA per Share ($),3.82,4.07,0.0,6.19,0.0,6.73,6.81,7.44,8.27,9.04,8.13,7.23,7.7,9.22,9.65,9.64,,0.29,0.29,0.28,1.64,1.07,0.38,1.57,0.66,0.42,0.43,0.48,0.0,0.64,0.66,0.67,0.7,1.63,1.73,1.61,0.0,1.7,1.67,1.69,1.71,1.69,1.73,1.69,1.7,1.81,1.82,1.89,1.92,1.99,2.04,2.1,2.15,2.22,2.25,2.27,2.3,2.19,2.17,1.95,1.86,1.69,1.85,1.84,1.86,1.87,1.9,2.05,1.87,2.25,2.29,2.29,2.4,2.31,2.33,2.35,2.65
EBIT per Share ($),2.56,2.55,3.05,3.52,3.46,3.37,3.29,3.46,3.73,4.22,4.29,4.03,4.26,4.72,5.27,5.25,,0.0,0.0,0.0,0.0,0.72,0.0,0.78,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.07,0.9,0.66,0.88,0.84,0.83,0.86,0.83,0.87,0.81,0.79,0.86,0.85,0.87,0.88,0.99,0.9,0.93,0.91,0.99,1.04,1.08,1.12,1.08,1.1,1.06,1.05,0.95,1.1,0.98,1.01,1.03,1.06,1.18,0.98,1.12,1.17,1.18,1.25,1.21,1.24,1.26,1.54
Earnings per Share (diluted) ($),1.6,1.97,1.83,1.93,1.54,1.33,1.47,0.77,0.82,1.13,2.68,1.58,2.12,0.81,1.77,1.758,,0.4,0.4,0.4,0.409,0.4,0.44,0.44,0.698,0.44,0.48,0.45,0.456,0.6,0.44,0.46,0.437,0.27,0.6,0.36,0.31,0.19,0.23,0.13,0.766,0.33,0.26,0.65,0.225,0.23,0.2,0.16,0.171,0.27,0.17,0.2,0.175,0.18,0.22,0.26,0.465,1.6,0.42,0.39,0.094,0.48,0.37,0.39,-1.043,0.67,0.46,0.63,0.363,0.14,0.06,0.21,0.4,0.35,0.36,0.37,0.678
Free Cashflow per Share ($),-1.03,3.94,5.08,4.98,6.07,4.56,4.02,-0.56,0.12,7.46,6.78,-6.43,-6.73,4.17,1.99,2.1599999999999997,,-0.51,1.02,-1.23,-0.3,-0.34,1.23,-0.68,3.75,0.85,1.56,-2.71,5.51,1.37,1.05,2.03,0.52,0.73,-0.74,1.09,1.3,1.36,-0.06,1.27,1.99,1.22,1.28,1.41,0.09,-1.45,-0.47,1.59,-0.22,-3.34,1.52,0.53,1.42,1.96,1.84,1.96,1.71,2.1,1.88,1.63,1.27,-0.98,-1.15,0.02,-4.32,1.5,0.43,1.39,-10.23,1.84,1.38,-0.04,1.0,1.75,1.55,1.13,-2.27
Dividends Per Share,1.0,1.0,1.16,1.16,1.16,1.16,1.16,1.16,1.61,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Book Value Per Share ($),21.11,24.48,27.86,30.8,23.28,23.19,23.05,22.66,20.58,20.26,24.17,24.12,24.06,23.07,26.94,26.94,,20.86,23.3,20.65,27.51,21.32,21.44,21.89,24.48,22.08,22.11,21.44,27.86,22.48,22.63,22.83,30.8,22.73,23.12,23.17,23.28,23.24,22.86,22.74,23.19,23.29,23.13,23.54,23.05,22.79,22.75,22.68,22.66,22.47,22.24,22.03,20.58,20.52,20.34,20.19,20.26,21.56,21.49,24.23,24.17,24.22,24.27,24.22,24.12,24.39,24.41,24.12,24.06,23.78,23.33,23.06,23.07,22.93,22.92,22.9,26.94
Month End Stock Price,22.75,27.8,31.5,31.8,41.26,45.1,49.2,72.32,52.55,44.66,50.05,55.72,55.43,64.98,0.0,85.38,,21.938,24.375,26.0,22.75,20.375,24.0,27.25,27.8,27.15,28.0,27.7,31.5,34.75,34.95,34.0,31.8,29.75,35.3,37.74,41.26,46.35,40.24,39.85,45.1,40.3,44.45,45.8,49.2,55.92,59.0,60.3,72.32,70.52,64.0,56.85,52.55,51.9,53.18,57.6,44.66,36.85,48.44,51.32,50.05,53.4,55.78,56.57,55.72,57.94,55.1,49.54,55.43,65.54,67.72,66.82,64.98,78.92,72.17,74.62,0.0
Return on Equity %,7.3999999999999995,9.1,8.3,8.6,7.3,6.1,6.9,6.1,5.8999999999999995,6.2,6.3,7.1,8.0,6.2,6.0,7.6,,7.6,7.6,7.6,8.0,7.6,8.4,8.0,12.4,8.0,8.4,8.4,8.4,10.0,8.0,8.4,8.0,6.0,10.0,7.199999999999999,6.4,6.0,5.2,4.8,10.4,6.800000000000001,6.0,9.2,6.0,6.0,6.0,5.2,6.4,6.4,5.6000000000000005,5.6000000000000005,5.6000000000000005,6.0,6.0,6.4,6.4,6.4,-1.2,6.4,7.199999999999999,7.6,7.6,6.800000000000001,6.800000000000001,9.2,7.199999999999999,8.799999999999999,6.4,6.800000000000001,6.800000000000001,6.0,6.4,5.6000000000000005,6.0,6.4,7.6
