2014 Webelos Adventure Camp Menu,,,,,,,,,,,
Day 1,,,Day 2,,,Day 3,,,Day 4,,
Breakfast,,,,,,,,,,,
,,,Breakfast Pizza: Sausage (turkey) & Gravy Bagel,,,Pancakes,,,Assorted Yogurt,,
,,,,,,Bacon*,,,Cereal,,
,,,Fruit,,,Fruit,,,Fruit,,
,,,Juice,,,Juice,,,Juice,,
,,,,,,*Turkey Bacon Available,,,,,
Assorted Cereal and Milk availible daily - Coffee available daily for adults,,,,,,,,,,,
Lunch,,,,,,,,,,,
,,,Sub Sandwich,,,Corn Dog,,,,,
,,,Turkey or Turkey Ham,,,Baked Beans,,,,,
,,,Lettuce / Tomato / Pickle,,,Fruit Cup,,,,,
,,,Fruit,,,,,,,,
,,,Chips,,,,,,,,
Water and juice provided -  Salad bar available daily,,,,,,,,,,,
Dinner,,,,,,,,,,,
Spaghetti with Meatballs (Beef),,,Hamburgers,,,Salisbury Steak,,,,,
Roll,,,Lettuce / Tomato / Pickle,,,Gravy,,,,,
Broccoli,,,Potato Wedges,,,Rice,,,,,
Cookies,,,Warm Peach Delight,,,Corn,,,,,
,,,,,,Roll,,,,,
,,,,,,Apple,,,,,
,,,,,,Ice Cream Bar,,,,,
Water and juice provided -  Salad bar available daily,,,,,,,,,,,
