STATE SENATE DISTRICT NO. 3,,,,
36837.0,"Johnson, r","Epstein, i",Scatter,
Albany,101.0,200.0,,
Bartlett,654.0,899.0,,
Brookfield,196.0,137.0,,
Center Harbor,389.0,180.0,1.0,
Chatham,67.0,70.0,,
Conway,1437.0,2527.0,,
Eaton,79.0,154.0,,
Effingham,265.0,302.0,,
Freedom,281.0,502.0,,
Hale's Location,22.0,28.0,,
Hart's Location,14.0,12.0,,
Jackson,208.0,331.0,,
Madison,243.0,780.0,,
Meredith,1953.0,832.0,,
Middleton,281.0,204.0,,
Milton,856.0,575.0,,
Moultonborough,1662.0,858.0,,
Ossipee,956.0,694.0,,
Sandwich,391.0,362.0,,
Tamworth,526.0,725.0,,
Tuftonboro,787.0,471.0,,
Wakefield,1174.0,576.0,,
Wolfeboro,2174.0,1115.0,,
,,,,
Totals,14716.0,12534.0,,
,,,,
,,,,
STATE SENATE DISTRICT NO. 4,,,,
,"Boyce, r","Vachon, d",Scatter,
Alton,1541.0,747.0,1.0,
Barnstead,897.0,816.0,,
Farmington,962.0,1107.0,,
Gilford,2153.0,1533.0,,
Gilmanton,804.0,688.0,,
Laconia Ward 1,840.0,580.0,,
Laconia Ward 2,582.0,506.0,,
Laconia Ward 3,502.0,534.0,,
Laconia Ward 4,577.0,557.0,,
Laconia Ward 5,406.0,464.0,,
Laconia Ward 6,615.0,527.0,2.0,
New Durham,608.0,456.0,,
Pittsfield,706.0,738.0,,
Strafford,876.0,932.0,,
,,,,
Totals,12069.0,10185.0,3.0,
