Daily Price Profile,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HR,,,,,,,,,,,,
100,0.95,0.95,0.919922074055667,0.919922074055667,1.05,0.955,0.955,0.955,0.955,0.919922074055667,0.919922074055667,0.95
200,0.9,0.9,0.8765571553325274,0.8765571553325274,0.85,0.81,0.81,0.81,0.81,0.8765571553325274,0.8765571553325274,0.9
300,0.85,0.85,0.8570697169911102,0.8570697169911102,0.75,0.81,0.81,0.81,0.81,0.8570697169911102,0.8570697169911102,0.85
400,0.85,0.85,0.8519972933970165,0.8519972933970165,0.75,0.81,0.81,0.81,0.81,0.8519972933970165,0.8519972933970165,0.85
500,0.88,0.88,0.8625185192571009,0.8625185192571009,0.815,0.855,0.855,0.855,0.855,0.8625185192571009,0.8625185192571009,0.88
600,1.25,1.25,0.8656770754931219,0.8656770754931219,0.825,0.965,0.965,0.965,0.965,0.8656770754931219,0.8656770754931219,1.25
2300,1.25,1.25,1.406066773253763,1.406066773253763,1.595,1.58,1.58,1.58,1.58,1.406066773253763,1.406066773253763,1.25
2400,1.07,1.07,1.3601913922196933,1.3601913922196933,1.365,1.215,1.215,1.215,1.215,1.3601913922196933,1.3601913922196933,1.07
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bal Mo Curve Shift,,,,,,,,,,,,
,,MW Long,,Days,,Mark,Curve Shift,,P&L,,,
,,,,,,,,,,,,
This Weekend,,150,,2,,13,-7.5,,-36000,,,
,,,,,,,,,,,,
Last 3 Weekend,,300,,3,,15,-5.5,,-79200,,,
,,,,,,,,,,,,
7*8,,200,,14,,9.71,-0.79,,-35392,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Total Curve Shift,,-150592,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2*8,,,1*8,,,2*16,,,,,,
8.5,,,8.5,,,15.25,,,,,,
9.5,,,9.5,,,15.25,,,,,,
10.75,,,10.75,,,15.25,,,,,,
9,,,10.75,,,15.5,,,,,,
8.5,,,9,,,15.75,,,,,,
9.4,,,9.65,,,15.75,,,,,,
9.9,,,10.25,,,15.75,,,,,,
,,,,,,15.75,,,,,,
,,,,,,15.75,,,,,,
,,,,,,15.5,,,,,,
,,,,,,15.5,,,,,,
,,,,,,15,,,,,,
,,,,,,14.5,,,,,,
,,,,,,14.25,,,,,,
,,,,,,,,,,,,
9.364285714285714,,,9.771428571428572,,,15.339285714285714,,,,,,
