,,,,,,,,,,,,,,,,,,,
,Sample #,x (abs.),y (abs),pH,Density,HCO3,SO4,Cl,F,Br,Ca,Mg,Na,K,Sr,Li,B,PO4,SiO2
Salar de Uyuni,100.0,11.8,5.85,7.4,1.204,106.0,3270.0,158000.0,5.8,17.0,329.0,1910.0,97700.0,1950.0,7.8,104.0,75.0,0.38,6.2
Central Traverse,101.0,11.4,5.7,7.34,1.207,159.0,5080.0,157000.0,5.8,27.0,489.0,3080.0,94400.0,3340.0,11.0,134.0,115.0,0.68,5.5
,106.0,10.9,6.5,7.23,1.21,263.0,7720.0,157000.0,7.4,49.0,468.0,5300.0,90300.0,5830.0,18.0,215.0,178.0,0.67,5.9
,108.0,9.2,7.0,7.29,1.21,329.0,7000.0,157000.0,7.4,50.0,512.0,5330.0,91100.0,10000.0,12.0,303.0,169.0,1.3,6.1
,109.0,8.5,7.2,7.03,1.221,570.0,15000.0,157000.0,12.0,86.0,341.0,11500.0,77400.0,11600.0,8.2,512.0,351.0,1.1,6.5
,113.0,5.9,7.95,7.22,1.213,482.0,7420.0,158000.0,9.1,55.0,517.0,7310.0,85500.0,7480.0,22.0,441.0,238.0,1.1,6.5
,115.0,4.25,8.45,7.41,1.205,162.0,4930.0,157000.0,9.1,15.0,647.0,2560.0,96100.0,2790.0,11.0,139.0,82.0,0.73,7.4
,117.0,2.6,8.95,7.34,1.207,178.0,5910.0,157000.0,8.3,14.0,585.0,3480.0,94400.0,3620.0,14.0,193.0,109.0,0.66,7.6
,120.0,2.06,7.3,7.24,1.213,354.0,9150.0,156000.0,12.0,47.0,451.0,7380.0,87000.0,7760.0,13.0,354.0,195.0,0.91,7.5
,122.0,1.5,5.65,7.39,1.211,264.0,8520.0,157000.0,14.0,34.0,484.0,6250.0,88700.0,6660.0,16.0,351.0,174.0,0.76,7.7
,126.0,8.45,6.25,7.05,1.224,515.0,19100.0,155000.0,9.8,90.0,183.0,13800.0,71700.0,14800.0,3.6,817.0,492.0,1.4,7.5
