Chapter  Quota #'s,,,,
# Present,REASON,Required #,,
,,Hands Up,Hands Down,
112,Brother Chapter Transfer,56,56,1/2 vs 1/2
,,,,
,Impeachment (Vote of Confidence),84,28,
,,,,
,Impeachment (Chapter Motion),56,56,
,,,,
,Pledge Vote (1st - 2nd Week),84,28,
,,,,
,Pledge Vote (3rd - 10th Week),93.33333333333334,18.666666666666664,
,,,,
,By-Law Ammendment Reading,74.66666666666666,37.33333333333333,2/3 vs 1/3
,,,,
,By-Law Ammendment Passing,84,28,
,,,,
,Objection Vote,56,56,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
