"NATURAL GAS EXPORTS BY TERM, REGION, AND CUSTOMER TYPE",,,,,,,,,,,,TABLE 2,,,,,,,,
"EXPORTATIONS DE GAZ NATUREL PAR TERME, RÉGION, ET CLIENT",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,AVERAGE PRICE,,,,,,AVERAGE PRICE,,,,,,,,,,
,VOLUME,,,PRIX MOYEN,,,VOLUME,,,PRIX MOYEN,,,,,,,,,,
,(MILLIONS M3),,,($CDN/GJ),,,(MILLIONS M3),,,($CDN/GJ),,,,,,,,,,
,,,% CHANGE,,,% CHANGE,,,% CHANGE,,,% CHANGE,,,,,,,,
,,,VARIATION,,,VARIATION,1999/11,2000/11,VARIATION,1999/11,2000/11,VARIATION,,,,,,,,
,1999-11-01 00:00:00,2000-11-01 00:00:00,EN %,1999-11-01 00:00:00,2000-11-01 00:00:00,EN %,1999-11-01 00:00:00,2000-11-01 00:00:00,EN %,1999-11-01 00:00:00,2000-11-01 00:00:00,EN %,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TERM/TERME,,,,,,,,,,,,,,,,,,,,
LONG-TERM (FIRM)/LONG TERME (GARANTI),2038.4,1974.4,-3.1,3.95,6.26,58.3,2038.4,1974.4,-3.1,3.95,6.26,58.3,,,,,,,,
SHORT-TERM (FIRM)/COURT TERME (GARANTI),3557,4335.9,21.9,3.76,6.8,80.9,3557,4335.9,21.9,3.76,6.8,80.9,,,,,,,,
SHORT-TERM/COURT TERME (INTERRUPTIBLE),2634,2899.3,10.1,3.81,6.96,82.4,2634,2899.3,10.1,3.81,6.96,82.4,,,,,,,,
TOTAL - TERM/TERME,8229.4,9209.5,11.9,3.82,6.73,76,8229.4,9209.5,11.9,3.82,6.73,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REGION/RÉGION,,,,,,,,,,,,,,,,,,,,
CALIFORNIA/CALIFORNIE,1678.8,1523.2,-9.3,3.73,6.86,83.9,1678.8,1523.2,-9.3,3.73,6.86,83.9,,,,,,,,
MIDWEST/MIDWEST,3014.3,3417.4,13.4,3.81,6.32,65.7,3014.3,3417.4,13.4,3.81,6.32,65.7,,,,,,,,
MOUNTAIN/ROCHEUSES,83.3,50,-40,3.31,5.42,63.7,83.3,50,-40,3.31,5.42,63.7,,,,,,,,
NORTHEAST/NORD-EST,2168.1,2984.6,37.7,4.11,7.1,72.8,2168.1,2984.6,37.7,4.11,7.1,72.8,,,,,,,,
PACIFIC NORTHWEST/NORD-OUEST PACIFIQUE,1284.9,1234.4,-3.9,3.53,6.88,94.7,1284.9,1234.4,-3.9,3.53,6.88,94.7,,,,,,,,
TOTAL - REGION/RÉGION,8229.4,9209.5,11.9,3.82,6.73,76,8229.4,9209.5,11.9,3.82,6.73,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CUSTOMER TYPE/CLIENT,,,,,,,,,,,,,,,,,,,,
END-USER/UTILISATEURS ULTIMES,667.2,469.9,-29.6,4,5.94,48.7,667.2,469.9,-29.6,4,5.94,48.7,,,,,,,,
LDC/SDL,2082.7,2200.3,5.6,3.82,6.61,72.8,2082.7,2200.3,5.6,3.82,6.61,72.8,,,,,,,,
MARKETING CO./DISTRIBUTEURS,5185.7,5733.8,10.6,3.83,6.82,78.1,5185.7,5733.8,10.6,3.83,6.82,78.1,,,,,,,,
PIPELINE/PIPELINES,293.8,805.5,174.2,3.36,6.93,106,293.8,805.5,174.2,3.36,6.93,106,,,,,,,,
TOTAL - CUSTOMER TYPE/CLIENT,8229.4,9209.5,11.9,3.82,6.73,76.04,8229.4,9209.5,11.9,3.82,6.73,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTE:,THE AVERAGE PRICE IS THE WEIGHTED AVERAGE,,,,,,NOTA:,LE PRIX MOYEN EST LE PRIX MOYEN PONDÉRÉ,,,,,,,,,,,,
,PRICE AT THE INTERNATIONAL BORDER,,,,,,,À LA FRONTIÈRE INTERNATIONALE,,,,,,,,,,,,
