,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Price Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,
Date,Amerada Hess Exposure,Ameritex,Basic Energy Preferred,Black Bay,Brigham Secured SubDebt,Catalytica,City Forest IPC,Ecogas Loan & Equity,Geo. Pursuit (EBGB),Heartland Common,Heartland Common (Condor),Heartland Loan,Heartland Warrants,Hughes Rawls Loan,Hughes Rawls Note,HV Marine Warrants,Industrial Holdings,Invasion Energy,Juniper,Juniper Committed Exposurer,Keathley Canyon,LSI Preferred,LSI Warrants,Oconto Falls Common,Oconto Falls IPC,Texland,Texland Committed Exposurer,Vastar,Vastar Exposure,Venoco Convertible,WB Oil & Gas,Merlin Credit Derivative,
2000-08-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,373549.5,-373549.5,,,,,,,,
2000-09-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44474.3800000008,,,,,
2000-09-19 00:00:00,,,,-182250,,,,,,,,,,,,,,,,,-303750,,,,,,,,,,,,
2000-09-20 00:00:00,,37184.4299999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
