UNIVERSITY OF MIAMI ACADEMIC CALENDAR FOR 2008-2009,,,,,,
,,,Subject to Change,,,
FALL SEMESTER 2008,,,- 69 Class Days Per Semester -,SPRING SEMESTER 2009,,
"Aug. 12,",Tue.,,Deadline for Readmission,,Jan. 2,Fri.
,,,INTERSESSION,,Jan. 5-16,
"Aug. 22,",Fri.,,International Student Orientation Begins,,"Jan. 13,",Tue.
"Aug. 23,",Sat.,,Housing Available for Students/Orientation Begins,,"Jan. 14,",Wed.
,,,"HOLIDAY (MARTIN LUTHER KING, JR. DAY)",,"Jan. 19,",Mon.
"Aug. 27,",Wed.,,CLASSES BEGIN,,"Jan. 20,",Tues.
"Aug. 28,",Thu.,,Late Registration Fees in Effect,,"Jan. 21,",Wed.
"Sept. 1,",Mon.,,HOLIDAY (LABOR DAY),,,
"Sept. 8,",Mon.,,Last Day for Registration and to Add a Course,,"Jan. 28,",Wed.
"Sept. 12,",Fri.,,"Last Day to Drop a Course Without a ""W""",,"Feb. 4,",Wed.
"Sept. 12,",Fri.,,Last Day to Make a Change in Credit-Only Designation,,"Feb. 4,",Wed.
"Sept. 23,",Tues.,,Last Day to Apply for Graduation,,"Feb. 13,",Fri.
"Sept. 29,",Mon.,,Prestigious Fellowships/Scholarships Due in Honors Program Office,,,
"Oct. 8,",Wed.,,Academic Alert Grades Due in EASY,,"Mar. 2,",Mon.
TBA,,,<FALL RECESS>,,,
,,,<SPRING RECESS/ INTERSESSION >,,Mar. 14-22,
"Oct. 27,",Mon.,,Registration Appointments Available on EASY,,"Mar. 30,",Mon.
"Oct. 30,",Thu.,,Last Day to Drop a Course,,"Mar. 30,",Fri.
"Nov. 10,",Mon.,,Registration for Spring 2009* (Begins),,,
,,,Registration for Fall Semester 2009 & Summer 2009* (Begins),,"Apr. 13,",Mon.
Nov. 27-30,,,<THANKSGIVING RECESS>,,,
"Nov. 21,",Fri.,,Magna/Summa Theses Due in Honors Program Office,,"Apr. 17,",Fri.
"Dec. 1,",Mon.,,Theses/Dissertations Due in Graduate School Office,,"Apr. 24,",Fri.
"Dec. 5,",Fri.,,(11:00 PM) CLASSES END  (11:00 PM),,"May 1,",Fri.
Dec. 6-9,,,Reading Days,,May 2-5,
Dec. 10-17,,,FINAL EXAMS,,May 6-14,
,,,Honors Day Convocation (Spring),,TBA,Thu.
"Dec. 17,",Wed.,,(11:00 PM) SEMESTER ENDS (11:00 PM),,"May 14,",Thu.
TBA,,,FALL COMMENCEMENT EXERCISES,,,
,,,SPRING COMMENCEMENT EXERCISES,,TBA,
"Dec. 18,",Thu.,,Housing Closes at NOON for Non-Commencement Participants,,"May 15,",Fri.
"Dec. 19,",Fri.,,Housing Closes at NOON for Commencement Participants,,"May 16,",Sat.
"Dec. 20,",Sat.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"May 18,",Mon.
"Dec. 24,",Tues.,,Final Grades Available to Students in EASY,,"May 21,",Thu.
,,,,,,
FIRST SUMMER SESSION 2009,,,- 25 Class Days/85 Minutes Per Class -,SECOND SUMMER SESSION 2009,,
Apr. 13 - May 19,,,Registration for Summer Sessions*,,Apr. 13 - Jun. 30,
"May 8,",Fri.,,Deadline for Readmission,,"Jun. 19,",Fri.
"May 19,",Tue.,,Housing Available,,"Jun. 30,",Tue.
"May 19,",Tue.,,Academic Advising for New Students*/Registration,,"Jun. 30,",Tue.
"May 20,",Wed.,,CLASSES BEGIN,,"Jul. 1,",Wed.
,,,HOLIDAY (INDEPENDENCE DAY),,"Jul. 3,",Fri.
"May 22,",Fri.,,Last Day for Registration and to Add a Course,,"Jul. 6,",Mon.
"May 25,",Mon.,,HOLIDAY (MEMORIAL DAY),,,
"May 27,",Wed.,,"Last Day To Drop a Course Without a ""W""",,"Jul. 9,",Thu.
"May 27,",Wed.,,Last Day to Make a Change in Credit-Only Designation,,"Jul. 9,",Thu.
"Jun. 3,",Wed.,,Last Day to Drop a Course,,"Jul. 15,",Wed.
"Jun. 5,",Fri.,,Last Day to Apply for Graduation,,"Jul. 24,",Fri.
"Jun. 15,",Mon.,,Theses/Dissertations Due In The Graduate School Office,,"Jul. 27,",Mon.
"Jun. 17,",Wed.,,Magna/Summa Theses Due in Honors Program Office,,"Jul. 29,",Wed.
"Jun. 24,",Wed.,,CLASSES END,,"Aug. 5,",Wed.
"Jun. 25,",Thu.,,Reading Day,,"Aug. 6,",Thu.
"Jun. 26,",Fri.,,FINAL EXAMS FOR ALL CLASSES - SESSION ENDS,,"Aug. 7,",Fri.
"Jun. 27,",Sat.,,Housing Closes At NOON,,"Aug. 8,",Sat.
"Jun. 29,",Mon.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"Aug. 10,",Mon.
"Jul. 2,",Thu.,,Final Grades Available to Students in EASY,,"Aug. 13,",Thu.
*As Scheduled By Appointment,,,,,,
,,,"Updated November 14, 2003",,,
Most up-to-date calendars available at: http://www.miami.edu/registrar,,,,,,
