Chart 2.1: 16 and 18 year old population of the UK (1000s),,,,,,,,,,,,,,,,,,,,,,,
(Source: ONS & Government Actuaries Department Population Estimates),,,,,,,,,,,,,,,,,,,,,,,
2000 Based,,,,,,,,,,,,,,,,,,,,,,,
mid year,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0
18 year olds,868.7,875.3,831.0,783.7,732.4,707.9,681.7,652.6,663.1,718.1,745.2,743.4,728.7,738.0,738.0,768.0,777.0,785.0,808.0,799.0,803.0,821.0,815.0
16 year olds,827.8,780.0,730.4,709.1,680.5,651.1,662.2,717.4,745.1,741.7,729.7,731.6,726.4,757.0,767.0,775.0,798.0,789.0,793.0,811.0,804.0,775.0,777.0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Chart 2.2:  GCSEs achieved in Mathematics (all boards, UK candidates)",,,,,,,,,,,,,,,,,,,,,,,
"(Source: Joint Council, AQA)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,,,,,,,,,,,,,
A*,0.0,11350.0,12589.0,14418.0,14522.0,14841.0,16194.0,19175.8,19936.0,25525.0,,,,,,,,,,,,,
A,49231.0,43235.0,44534.0,48827.0,51502.0,51885.0,54799.0,54103.15,58417.0,58849.0,,,,,,,,,,,,,
B,59769.0,101030.0,90592.0,99741.0,99962.0,105666.0,111762.0,113685.1,120054.0,124789.0,,,,,,,,,,,,,
C,154553.0,140895.0,156798.0,162095.0,159162.0,144611.0,147253.0,150667.0,155210.0,154568.0,,,,,,,,,,,,,
Other grades,305706.0,344098.0,373932.0,370328.0,361834.0,365145.0,361818.0,347218.95,350631.0,345296.0,,,,,,,,,,,,,
Total,569259.0,640608.0,678445.0,695409.0,686982.0,682148.0,691826.0,684850.0,704248.0,709027.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
