,,Reg As,DSRO,A/O,Adjusted,Net Capital,Excess,Customers',Customers',Excess/Deficient,Funds in Separate,Customer,Excess/Deficient,Total Amount
,Futures Commission Merchant / Retail Foreign Exchange Dealer,,,Date,Net Capital,Requirement,Net Capital,Assets,Seg Required,Funds in Seg,Section 30.7,Amount Pt. 30,Funds in Separate,of Retail Forex
,,,,,,,,in Seg,4d(a)(2),,Accounts,Required,Section 30.7,Obligation
,,,,,,,,,,,,,Accounts,
,,(a),(b),,,(c),(d),(e),(f),(g),(h),(i),(j),(k)
,,,,,,,,,,,,,,
1,ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2013-06-30 00:00:00,438981131,125119181,313861950,2720601655,2465733838,254867817,148377996,105593754,42784242,0
2,ADM INVESTOR SERVICES INC,FCM,CBOT,2013-06-30 00:00:00,271925497,139189496,132736001,3240534700,2996963649,243571051,206042478,135503551,70538927,0
3,ADVANTAGE FUTURES LLC,FCM,CME,2013-06-30 00:00:00,22772553,10505479,12267074,458266191,443152550,15113641,31870674,28559821,3310853,0
4,ALPARI (US) LLC,FCMRFD,NFA,2013-06-30 00:00:00,23321257,20077365,3243892,4094012,1332575,2761437,4103896,2580231,1523665,11547290
5,AMERIPRISE FINANCIAL SERVICES INC,FCM BD,NFA,2013-06-30 00:00:00,136047354,1000000,135047354,0,0,0,0,0,0,0
6,AMP GLOBAL CLEARING LLC,FCM,NFA,2013-06-30 00:00:00,2508979,1500000,1008979,42618086,40997979,1620107,559327,364968,194359,0
7,BARCLAYS CAPITAL INC,FCM BD,NYME,2013-06-30 00:00:00,5993062818,1192813959,4800248859,6297318824,6061103578,236215246,4359729431,4119114747,240614684,0
8,BGC FINANCIAL LP,FCM BD,NFA,2013-06-30 00:00:00,48325117,7487426,40837691,0,0,0,0,0,0,0
9,BNP PARIBAS PRIME BROKERAGE INC,FCM BD,NYME,2013-06-30 00:00:00,3386135246,228410786,3157724460,2494374125,2251596291,242777834,20669559,3220238,17449321,0
10,BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2013-06-30 00:00:00,1400900250,138229988,1262670262,978591048,615566709,363024339,1000000,0,1000000,0
11,BNY MELLON CLEARING LLC,FCM,CME,2013-06-30 00:00:00,287463464,20000000,267463464,255352341,93531405,161820936,34969888,15553793,19416095,0
12,BOCI COMMODITIES & FUTURES USA LLC,FCM,NFA,2013-06-30 00:00:00,4769865,1000000,3769865,0,0,0,0,0,0,0
13,CANTOR FITZGERALD & CO,FCM BD,CBOT,2013-06-30 00:00:00,221804656,9227995,212576661,6212232,1247147,4965085,0,0,0,0
14,CAPITAL MARKET SERVICES LLC,FCM,NFA,2013-06-30 00:00:00,2250260,1000000,1250260,0,0,0,0,0,0,0
15,CHS HEDGING INC,FCM,CBOT,2013-06-30 00:00:00,25745543,9349663,16395880,180747828,156366548,24381280,1447905,454525,993380,0
16,CITADEL SECURITIES LLC,FCM BD,CME,2013-06-30 00:00:00,393089594,1215260,391874334,0,0,0,0,0,0,0
17,CITIGROUP GLOBAL MARKETS INC,FCM BD,CBOT,2013-06-30 00:00:00,5090243714,796530980,4293712734,7512038174,7173583785,338454389,1249835222,972871441,276963781,0
18,CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2013-06-30 00:00:00,6775330708,2076470324,4698860384,8572355980,7177950056,1394405924,3310194016,2683084863,627109153,0
19,CROSSLAND LLC,FCM,CBOT,2013-06-30 00:00:00,9194606,3139575,6055031,85109702,83490249,1619453,18212162,17438071,774091,0
20,CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2013-06-30 00:00:00,2654670,1500000,1154670,58843126,57850926,992200,894232,741875,152357,0
21,CX CAPITAL MARKETS LLC,FCM BD,NFA,2013-06-30 00:00:00,1014164,1000000,14164,0,0,0,0,0,0,0
22,DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2013-06-30 00:00:00,339099150,7339356,331759794,8183026,3546631,4636395,1010107,0,1010107,0
23,DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2013-06-30 00:00:00,7397566133,685244849,6712321284,14168918178,13531238789,637679389,1334841513,1088818794,246022719,0
24,DORMAN TRADING LLC,FCM,CME,2013-06-30 00:00:00,11304554,1251303,10053251,138297442,134866947,3430495,2230646,1854561,376085,0
25,E D & F MAN CAPITAL MARKETS INC,FCM BD,CME,2013-06-30 00:00:00,24942510,5333653,19608857,162479032,153641468,8837564,1907613,1300064,607549,0
26,E TRADE CLEARING LLC,FCM BD,NFA,2013-06-28 00:00:00,687445077,134114006,553331071,49414203,39025119,10389084,1380675,380836,999839,0
27,ENSKILDA FUTURES LTD,FCM,CME,2013-06-28 00:00:00,35076303,16568844,18507459,211053524,199569145,11484379,0,0,0,0
28,FCSTONE LLC,FCM,CME,2013-06-30 00:00:00,106179518,66215840,39963678,1638625455,1617184543,21440912,66130261,56180145,9950116,0
29,FOREX CAPITAL MARKETS LLC,FCMRFD,NFA,2013-06-30 00:00:00,75518635,27052140,48466495,0,0,0,0,0,0,151042804
30,FRIEDBERG MERCANTILE GROUP INC,FCM,NFA,2013-06-30 00:00:00,4626094,1000000,3626094,4655337,4059261,596076,1578004,1518378,59626,0
31,FRONTIER FUTURES INC,FCM,NFA,2013-06-30 00:00:00,1974840,1000000,974840,29420489,28649452,771037,0,0,0,0
32,FXDIRECTDEALER LLC,FCMRFD,NFA,2013-06-30 00:00:00,23747949,20864981,2882968,0,0,0,0,0,0,27299630
33,GAIN CAPITAL GROUP LLC,FCMRFD,NFA,2013-06-30 00:00:00,45390222,24983703,20406519,135169487,129417775,5751712,4187199,2946112,1241087,109674065
34,GH FINANCIALS LLC,FCM,CME,2013-06-30 00:00:00,9550089,1000000,8550089,2526469,1940182,586287,0,0,0,0
35,GLOBAL FUTURES & FOREX LTD,FCMRFD,NFA,2013-06-30 00:00:00,1043005,20000000,-18956995,0,0,0,0,0,0,0
36,GOLDMAN SACHS & CO,FCM BD,CBOT,2013-06-30 00:00:00,13985860536,2019764330,11966096206,18882981406,18360733356,522248050,9726988631,9230038097,496950534,0
37,GOLDMAN SACHS EXECUTION & CLEARING LP,FCM BD,CME,2013-06-30 00:00:00,1950215929,133082105,1817133824,1483675459,895677803,587997656,70899944,24812145,46087799,0
38,GUGGENHEIM SECURITIES LLC,FCM BD,NFA,2013-06-30 00:00:00,76680508,1394797,75285711,0,0,0,0,0,0,0
39,HSBC SECURITIES USA INC,FCM BD,CME,2013-06-30 00:00:00,1059976468,106978911,952997557,882647060,827082633,55564427,95897327,64326041,31571286,0
40,IBFX INC,RFED,NFA,2013-06-30 00:00:00,28612338,23280270,5332068,0,0,0,0,0,0,75605391
41,INSTINET LLC,FCM BD,NFA,2013-06-30 00:00:00,95284044,3160054,92123990,0,0,0,0,0,0,0
42,INSTITUTIONAL LIQUIDITY LLC,FCMRFD,NFA,2013-06-30 00:00:00,33733420,20177695,13555725,0,0,0,0,0,0,13553891
43,INTERACTIVE BROKERS LLC,FCM BD,NFA,2013-06-30 00:00:00,1909626877,251970295,1657656582,2180351545,1954667368,225684177,511510170,373496368,138013802,33093884
44,IRONBEAM INC,FCM,NFA,2013-06-30 00:00:00,2472794,1000000,1472794,43118460,41684094,1434366,111185,4150,107035,0
