U.S. Energy Information Administration,,,,,,,,
March 2014 Monthly Energy Review,,,,,,,,
,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,
,,,,,,,,
"Release Date: March 27, 2014",,,,,,,,
"Next Update: April 25, 2014",,,,,,,,
,,,,,,,,
Table 4.4 Natural Gas in Underground Storage,,,,,,,,
,,,,,,,,
Annual Total,"Natural Gas in Underground Storage, End of Period, Base Gas","Natural Gas in Underground Storage, End of Period, Working Gas","Natural Gas in Underground Storage, End of Period, Total","Change in Working Gas From Same Period Previous Year, Volume","Change in Working Gas From Same Period Previous Year, Percent","Natural Gas Storage Activity, Withdrawals","Natural Gas Storage Activity, Injections","Natural Gas Storage Activity, Net"
,(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet),(Percent),(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet)
1949.0,Not Available,Not Available,Not Available,Not Available,Not Available,106.368,172.051,-65.683
1950.0,Not Available,Not Available,Not Available,Not Available,Not Available,175.26,229.752,-54.492
1951.0,Not Available,Not Available,Not Available,Not Available,Not Available,209.428,347.69,-138.262
1952.0,Not Available,Not Available,Not Available,Not Available,Not Available,221.909,398.593,-176.684
1953.0,Not Available,Not Available,Not Available,Not Available,Not Available,246.802,404.838,-158.036
1954.0,816.664,464.646,1281.31,Not Available,Not Available,330.177,432.283,-102.106
1955.0,863.188,505.079,1368.267,40.433,8.7,437.251,505.185,-67.934
1956.0,918.724,583.31,1502.034,78.231,15.5,452.762,589.232,-136.47
1957.0,1001.177,673.212,1674.389,89.902,15.4,480.981,672.377,-191.396
1958.0,1056.199,707.657,1763.856,34.445,5.1,621.091,704.172,-83.081
1959.0,Not Available,Not Available,1901.198,Not Available,Not Available,668.743,787.485,-118.742
1960.0,Not Available,Not Available,2184.003,Not Available,Not Available,712.658,844.352,-131.694
1961.0,Not Available,Not Available,2344.417,Not Available,Not Available,698.05,843.666,-145.616
1962.0,1571.331,933.113,2504.444,Not Available,Not Available,854.336,940.823,-86.487
1963.0,1737.972,1006.74,2744.712,73.627,7.9,916.72,1047.492,-130.772
1964.0,1781.089,1158.675,2939.764,151.935,15.1,885.307,1014.814,-129.507
1965.0,1847.851,1242.094,3089.945,83.419,7.2,959.865,1077.98,-118.115
1966.0,1957.955,1266.814,3224.769,24.72,2.0,1141.614,1210.469,-68.855
1967.0,2057.887,1318.284,3376.171,51.47,4.1,1132.534,1317.363,-184.829
1968.0,2128.477,1366.267,3494.744,47.983,3.6,1329.536,1425.075,-95.539
1969.0,2180.881,1421.027,3601.908,54.76,4.0,1379.488,1496.407,-116.919
1970.0,2325.656,1678.271,4003.927,257.244,18.1,1458.607,1856.767,-398.16
1971.0,2484.908,1840.008,4324.916,161.737,9.6,1507.63,1839.398,-331.768
1972.0,2750.788,1729.367,4480.155,-110.641,-6.0,1757.218,1892.952,-135.734
1973.0,2864.0,2034.0,4898.0,305.0,17.6,1532.82,1974.324,-441.504
1974.0,2912.0,2050.0,4962.0,16.0,0.8,1700.546,1784.209,-83.663
1975.0,3162.0,2212.0,5374.0,162.0,7.9,1760.0,2104.0,-344.0
1976.0,3323.0,1926.0,5250.0,-286.0,-12.9,1921.0,1756.0,165.0
1977.0,3391.0,2475.0,5866.0,549.0,28.5,1750.0,2307.0,-557.0
1978.0,3473.0,2547.0,6020.0,72.0,2.9,2158.0,2278.0,-120.0
1979.0,3553.0,2753.0,6306.0,207.0,8.1,2047.0,2295.0,-248.0
1980.0,3642.0,2655.0,6297.0,-99.0,-3.6,1910.0,1896.0,14.0
1981.0,3752.0,2817.0,6569.0,162.0,6.1,1887.0,2180.0,-293.0
1982.0,3808.0,3071.0,6879.0,255.0,9.0,2094.0,2399.0,-305.0
1983.0,3847.0,2595.0,6442.0,-476.0,-15.5,2142.027,1700.426,441.601
1984.0,3830.0,2876.0,6706.0,281.0,10.8,2064.292,2252.347,-188.055
1985.0,3842.0,2607.0,6448.0,-270.0,-9.4,2359.405,2127.932,231.473
1986.0,3819.0,2749.0,6567.0,142.0,5.5,1811.697,1952.103,-140.406
1987.0,3792.0,2756.0,6548.0,7.0,0.3,1880.951,1887.11,-6.159
1988.0,3800.0,2850.0,6650.0,94.0,3.4,2243.621,2174.328,69.293
1989.0,3812.0,2513.0,6325.0,-337.0,-11.8,2803.787,2491.283,312.505
1990.0,3868.0,3068.0,6936.0,555.0,22.1,1934.0,2433.0,-499.0
1991.0,3954.138,2823.542,6777.679,-244.458,-8.0,2688.728,2608.373,80.355
1992.0,4043.744,2596.797,6640.542,-226.744,-8.0,2723.774,2555.393,168.381
1993.0,4327.306,2321.78,6649.086,-275.017,-10.6,2717.064,2759.738,-42.674
1994.0,4360.092,2606.056,6966.148,284.276,12.2,2508.151,2796.279,-288.127
1995.0,4349.234,2153.273,6502.507,-452.783,-17.4,2974.102,2565.882,408.22
1996.0,4340.71,2172.551,6513.261,19.278,0.9,2911.327,2905.592,5.735
1997.0,4350.083,2174.52,6524.603,1.968,0.1,2824.245,2800.294,23.95
1998.0,4325.86,2729.704,7055.564,554.218,25.5,2378.656,2904.755,-526.099
1999.0,4383.036,2523.186,6906.222,-206.518,-7.6,2771.535,2597.509,174.025
2000.0,4352.091,1718.926,6071.016,-806.397,-31.9,3498.205,2684.285,813.92
2001.0,4300.737,2903.514,7204.251,1184.588,68.9,2308.687,3464.262,-1155.575
2002.0,4340.234,2375.233,6715.467,-528.281,-18.2,3137.666,2669.844,467.822
2003.0,4303.153,2562.619,6865.772,187.386,7.9,3098.734,3291.714,-192.981
2004.0,4201.124,2696.075,6897.2,133.456,5.2,3036.566,3150.003,-113.437
2005.0,4200.014,2635.36,6835.374,-60.716,-2.3,3056.598,3001.582,55.016
2006.0,4210.95,3069.956,7280.906,434.596,16.5,2492.862,2924.249,-431.387
2007.0,4234.216,2879.259,7113.475,-190.697,-6.2,3325.013,3132.92,192.093
2008.0,4232.293,2840.363,7072.657,-38.896,-1.4,3374.338,3340.365,33.973
2009.0,4276.666,3130.076,7406.742,289.712,10.2,2966.18,3314.99,-348.81
2010.0,4301.362,3111.085,7412.447,-18.991,-0.6,3274.385,3291.395,-17.009
2011.0,4301.752,3462.021,7763.772,350.936,11.3,3074.251,3421.813,-347.562
2012.0,4372.412,3412.91,7785.322,-49.111,-1.4,2818.148,2825.427,-7.279
2013.0,4365.135,2889.591,7254.726,-523.319,-15.3,3699.51,3150.619,548.891
