Sweden,,,,,,,,,,,,,,,,,
"Gross fixed capital Stock (midyear, in 1995 prices), in millions of Kroner",,,,,,,,,,Capital compensation share in GDP,,,,,,,
,IT equipment,Communi-cation equipment,Non-ICT equipment,Transport equipment,Non residential structures,Software,,Total,,IT equipment,Communi-cation equipment,Non-ICT equipment,Transport equipment,Non residential structures,Software,,Total
,,,,,,,,,,,,,,,,,
1980.0,4877.550754170337,32545.244578627942,333949.1749621541,49187.461907884826,1435387.562875168,4716.72865622969,,1860663.723734235,,0.011041766420260089,0.0076970587947175146,0.0867498297126713,0.015523940687763945,0.14917495943933154,0.0024923545193876323,,0.272679909574132
1981.0,5801.829174747585,34705.47418251687,343001.53566839005,49266.53410674595,1487694.5674112292,5392.248990231939,,1925862.1895338616,,0.010395876886816353,0.007402400952400889,0.08722031737948116,0.014120806690126204,0.15371330761053403,0.002730400589803495,,0.27558311010916214
1982.0,6771.903519503878,36924.47366698095,349365.2723317216,49141.24186749772,1535934.2417677734,6146.376640297662,,1984283.5097937754,,0.009838330531753077,0.0076073508461285775,0.08164751690509517,0.013936514950045418,0.16770684284850823,0.0030040051997997207,,0.2837405612813302
1983.0,8234.13187298573,39243.11078386831,356454.41682347516,49409.36975178357,1583463.6092144025,7408.382273045467,,2044213.0207195606,,0.010511928687473604,0.008243490670545122,0.08110235208490635,0.013802214717810839,0.18938411875518213,0.0034669559045441656,,0.3065110608204622
1984.0,10437.151551033554,42377.806208068396,365496.07399889966,50408.38299466678,1629975.4409847748,9209.774635587584,,2107904.6303730304,,0.012279446327928786,0.008852176697045546,0.09381368120326437,0.01511112175481203,0.19582942212288093,0.004191398941808623,,0.33007724704774033
1985.0,13696.04539064251,45649.41717333213,380173.8312168773,52615.14631728706,1676970.1273698094,11901.712254893842,,2181006.2797228424,,0.013309883164269464,0.009310593608749475,0.09763076843786135,0.015392203407211312,0.20034827341067235,0.005110606048675283,,0.34110232807743923
1986.0,17454.400343751182,48099.36043796487,397858.10361657996,55271.77245428781,1725367.3860065055,15470.85567728502,,2259521.8785363743,,0.013481608644935241,0.009529435303577465,0.0943089245091922,0.015045954175020582,0.20053915289366328,0.0063318238115265425,,0.33923689933791534
1987.0,21117.153823722594,50065.13188577476,417706.549331585,58152.155540074586,1774606.8469825017,19115.257571989998,,2340763.0951356487,,0.013640336389882542,0.009813099953113195,0.09837578529176234,0.015544617860780215,0.18656589350362815,0.007594502405416924,,0.3315342354045834
1988.0,25462.079980186747,51745.46434308141,442459.08599867055,61815.23553520183,1823575.8399315989,23231.05698947569,,2428288.762778215,,0.014609287134095893,0.01051649786219429,0.09987136645178668,0.015810572548685134,0.17676509756377698,0.008680820361873051,,0.3262536419224121
1989.0,30317.820590659452,53482.32481748803,474632.9013061336,66613.38119323947,1876175.8444736795,28198.911062775278,,2529421.183443975,,0.015536762914445277,0.01042282755079318,0.10317696906840393,0.01630584841233237,0.1646799780379291,0.01008125405598105,,0.3202036400398849
1990.0,34475.49728301011,55255.540754161615,509952.56923858245,71681.64146616496,1930693.9945089906,32458.93393738693,,2634518.177188297,,0.01578075878074391,0.00942710455556977,0.10374129116127409,0.01638393290909083,0.1450006864690425,0.010916931507962415,,0.3012507053836835
1991.0,37427.55692528507,56574.781856705566,533242.8850389314,74673.98670720574,1977623.4426053315,34896.00101756712,,2714438.6541510266,,0.01578504888395029,0.007746493948481346,0.10071066448040601,0.015811813560783313,0.1331846566555859,0.010372552794192219,,0.2836112303233991
1992.0,39733.94352185633,57637.57993899888,538057.9475793706,74789.5694517741,2013176.724701187,37253.22322043723,,2760648.9884136245,,0.016576806704341796,0.007030071286597426,0.08658833876374358,0.01388379291315125,0.1380553356734051,0.01095418746263443,,0.2730885328038736
1993.0,43105.155767160366,59519.27313352121,526533.4566428073,72712.49999107594,2040083.1595285381,42027.37140516927,,2783980.9164682725,,0.017714185964409275,0.008108737222203032,0.06546755990126675,0.011358628430328747,0.15487547049882952,0.011920128836397367,,0.2694447108534347
1994.0,49296.47930310755,62399.3528419606,515406.393071773,71839.99749277686,2069008.2223485063,48802.10158756767,,2816752.5466456916,,0.01714261872815546,0.009129292893257805,0.0722377314500678,0.011281313386719574,0.15525688299852552,0.012828695267935938,,0.2778765347246621
1995.0,58421.6101864338,66334.42076442589,521068.2656079555,73539.29397065358,2105255.574264385,56155.38727979249,,2880774.5520736463,,0.017455415334103604,0.010193582414052667,0.08834344210816032,0.012774285998375295,0.15289072046759733,0.014426980721718384,,0.2960844270440076
1996.0,69710.31371065037,70176.21572772169,540198.494410394,77215.704539847,2141631.291531306,64002.53891096261,,2962934.558830882,,0.019102439718664238,0.010640309068440695,0.0884270163786711,0.013391534407715738,0.14881104430521927,0.0161186770858855,,0.2964910209645965
1997.0,84207.69265346759,72967.77078915134,562926.1171492592,82826.39125455217,2172036.246034975,73071.63814619173,,3048035.8560275976,,0.018628923873591254,0.010057713172167585,0.0836122437481024,0.014174544926612331,0.14391567805120514,0.018000297079978276,,0.288389400851657
1998.0,108368.7242862759,75880.1703003213,586713.5184169584,89924.18108143454,2199528.2348491643,86320.5695210356,,3146735.39845519,,0.01766867681855374,0.010745815605944104,0.08283506348165606,0.0154897031852562,0.1460339193977224,0.02025087016261088,,0.2930240486517434
1999.0,144239.539319142,80433.99201206092,612991.6811997199,102519.6321673131,2225233.9779385217,105083.53231497873,,3270502.354951736,,0.017287304788770906,0.011287866424222722,0.08374179931964265,0.017101746546609554,0.14884751025387521,0.022663185639505486,,0.30092941297262654
2000.0,184690.99016298784,88772.59245732965,638342.486412347,120805.39027622323,2248877.5765262507,127376.63833500302,,3408865.6741701416,,0.016519471835813173,0.010561905819098636,0.08207487963982144,0.018913047832063584,0.14124494573716334,0.025016030078061476,,0.2943302809420216
2001.0,228316.59717622245,98179.28096534812,662851.2877205072,135660.8828895751,2274416.999833574,148002.09205808945,,3547427.1406433163,,0.016144960088753477,0.009992076299556032,0.07759478994162879,0.020112763022357264,0.11568850545038939,0.027542333174030872,,0.2670754279767158
,,,,,,,,,,,,,,,,,
Average growth rates,,,,,,,,,,,,,,,,,
80-90,0.19556056487915707,0.05293373584259934,0.04233289092749288,0.037659591657248775,0.029644462952403076,0.19288602412009045,,0.034776704552638274,,,,,,,,,
90-95,0.10548740215960377,0.036548061768545574,0.004312668261551344,0.005117041377469055,0.01731147035739946,0.10962938036274364,,0.01787177787308843,,,,,,,,,
95-01,0.22717456517386111,0.06534771260180229,0.04011160028957666,0.10205639806528549,0.012881147172620726,0.16151729802981776,,0.034693898655567344,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Timmer, Ypma and van Ark (2003)",,,,,,,,,,,,,,,,,
