analytica 2012 - List of exhibitors,,,,,
,,,,,
,Search by application area (53 Entries):,,,,
,Microsystems-/ nanotechnology,,,,
,,,,,
No.,Company,Country,City,Zipcode,Hall/Booth
1.0,ALS Automated Lab Solutions GmbH,Germany,Jena,07747,A3.254
2.0,Anopoli Biomedical Systems,Austria,Eichgraben,3032,A3.254
3.0,Bartels Mikrotechnik GmbH,Germany,Dortmund,44227,A3.113
4.0,Beckman Coulter GmbH,Germany,Krefeld,47807,A3.201/302
5.0,BioFluidix GmbH,Germany,Freiburg,79110,B1.523
6.0,Bronkhorst High-Tech B.V.,Netherlands,Ruurlo,7261 AK,A1.113
7.0,Brookhaven Instruments Corp.,USA,Holtsville,NY 11742,A1.429
8.0,Bruker Corporation,USA,Billerica,MA 01821,A2.331/432
9.0,Büchi Labortechnik GmbH,Germany,Essen,45127,A2.405
10.0,"CAN GmbH
Center for Applied Nanotechnology
Centrum für Angewandte Nanotechnologie",Germany,Hamburg,20146,A3.532
11.0,"cetoni GmbH
Automatisierung und Mikrosysteme",Germany,Korbussen,07554,A3.123
12.0,DURATEC Analysentechnik GmbH,Germany,Hockenheim,68766,A1.111
13.0,European Biotech Network,Belgium,Dolembreux,4140,A3.254
14.0,Fachhochschule Jena,Germany,Jena,07745,A3.371
15.0,Filtrop AG,Liechtenstein,Balzers,9496,A1.511
16.0,"GeSiM Gesellschaft für
Silizium-Mikrosysteme mbH",Germany,Großerkmannsdorf,01454,A3.300
17.0,"Hamamatsu Photonics
Deutschland GmbH",Germany,Herrsching,82211,A2.415/514
18.0,"Hitachi High-Technologies
Europe GmbH",Germany,Krefeld,47807,A2.214
19.0,"Hosokawa
Alpine Aktiengesellschaft",Germany,Augsburg,86199,B1.411
20.0,ibidi GmbH,Germany,Planegg/Martinsried,82152,A2.219
21.0,IDEX Health & Science,Germany,Wertheim,97877,A3.221/320
22.0,"IMM Institut für Mikrotechnik
Mainz GmbH",Germany,Mainz,55129,A3.130
23.0,"Institut für Photonische
Technologien e.V. Jena",Germany,Jena,07745,A3.371
24.0,"Universität Freiburg,
Institut für Mikrosystemtechnik (IMTEK)",Germany,Freiburg,79110,B1.523A
25.0,Jeol (Germany) GmbH,Germany,Eching,85386,A2.324
26.0,Laser Components GmbH,Germany,Olching,82140,A2.400A
27.0,"LEE Hydraulische
Miniaturkomponenten GmbH",Germany,Sulzbach,65843,A2.506
28.0,"Louwers Glass and
Ceramic Technologies",Netherlands,Hapert,5527 AH,A1.416
29.0,L.U.M. GmbH,Germany,Berlin,12489,A1.526
30.0,"L&W Co., Ltd.",China,Guangzhou,510095,A1.241B
31.0,Malvern Instruments GmbH,Germany,Herrenberg,71083,A1.320
32.0,microfluidic ChipShop GmbH,Germany,Jena,07747,A3.500
33.0,Micronit Microfluidics B.V.,Netherlands,Enschede,7521 PV,A3.514
34.0,nB nanoScale Biomagnetics,Spain,Zaragoza,50018,B2.532
35.0,Neaspec GmbH,Germany,Planegg,82152,A2.516
36.0,Optophase,France,Lyon,69008,A2.533
37.0,Physical Electronics GmbH,Germany,Ismaning,85737,A2.333
38.0,Porex Technologies GmbH,Germany,Aachen,52070,A3.563
39.0,Postnova Analytics GmbH,Germany,Landsberg,86899,A2.323
40.0,Prior Scientific Instruments GmbH,Germany,Jena,07745,A2.424
41.0,Renishaw GmbH,Germany,Pliezhausen,72124,A2.520
42.0,Rowiak GmbH,Germany,Hannover,30419,A2.546
43.0,SOLITON GmbH,Germany,Gilching,82205,A1.402
44.0,"SPI GmbH
Scientific Precision Instruments GmbH",Germany,Oppenheim,55276,B2.526
45.0,Surface Measurement Systems (SMS) Ltd.,Germany,Dietenhofen,90597,A1.121
46.0,"TESCAN, a.s.",Czech Republic,Brno,623 00,A2.522
47.0,Thermo Scientific,Germany,Dreieich,63303,B1.101/202
48.0,Thölen Pumpen GmbH,Germany,Kevelaer,47626,B2.316
49.0,TSI GmbH,Germany,Aachen,52068,B1.144
50.0,Ultra-Violet Products Ltd.,United Kingdom,Cambridge,CB4 1TG,A3.120
51.0,ULVAC GmbH,Germany,Garching / Munich,85748,B2.409
52.0,WITec GmbH,Germany,Ulm,89081,A2.406
53.0,Zinsser Analytic GmbH,Germany,Frankfurt,60489,B1.511
