IGS Daily Update,,,,,,,,36938.0,,,,,IGS Daily Update,,,,,,,,,36938.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,36938.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Scheduled California Sendout (Dth),,,,,,,,,,,,,,,,,,,,
,,"as of  February 16,  2001",,,,,,,,,,,,,,,,,,,,
,,,,,Total,,Total,,Weekly Report,,,,,,,,,,,,,
,,,PG&E,SoCal,36938.0,,36937.0,Change,36930.0,,,,,,,,,,,,,
,Pipeline/Source of Gas:,,,,,,,,,,,,,,,,,,,,,
,California Production,,186100.0,343900.0,530000.0,,528800.0,1200.0,526000.0,,,,,,,,,,,,,
,El Paso Natural Gas:,,,,,,,,,,,,,,,,,,,,,
,Topock,,665100.0,430400.0,1095500.0,,1206500.0,-111000.0,1262100.0,,,,,,,,,,,,,
,Ehrenberg,,,1190400.0,1190400.0,,1168000.0,22400.0,1252300.0,,,,,,,,,,,,,
,Kern/Mojave,,45800.0,535400.0,581200.0,,495400.0,85800.0,550600.0,,,,,,,,,,,,,
,PG&E-GT Northwest to PG&E,,1758400.0,,,,,,,,,,,,,,,,,,,
,PG&E to SoCal (KRS),,-299000.0,299000.0,,,,,,,,,,,,,,,,,,
,Total PG&E-GT Northwest,,1758400.0,,1758400.0,,1843800.0,-85400.0,1842800.0,,,,,,,,,,,,,
,Transwestern **,,227800.0,785300.0,1013100.0,,1075300.0,-62200.0,1073700.0,,,,,,,,,,,,,
,Wild Goose-Net (Inj.)/Withdrawal,,55900.0,,55900.0,,0.0,55900.0,26400.0,,,,,,,,,,,,,
,Storage-Net (Injection)/Withdrawal,,238000.0,792000.0,1030000.0,,1187100.0,-157100.0,1191500.0,,,,,,,,,,,,,
,Total,,2878100.0,4376400.0,7254500.0,,7504900.0,-250400.0,7725400.0,,,,,PG&E System Status 2/16 = Low Inventory; 2/17 = Low Inventory; 2/18 = Within Limits; 2/19 = Within Limits;,,,,,,,,
,,*Total is reduced by the amount of Net Injection.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Nuclear: (Selected Plants of NRC Region 4): Palo Verde 3 at 99%; San Onofre 3 at 0% (Cold shutdown/Maint. outage); all other selected plants at 100%.,,,,,,,,
,,"Available Capacities (Dth) as of  February 16,  2001",,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimated,,,,,,,,,,,,,,
,,,,,Available,,Scheduled,Available,,,,,,,,,,,,,,
,,,,,Capacity,,Volume,Capacity,,,,,,,,,,,,,,
,,El Paso Natural Gas:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,1146000.0,,665100.0,480900.0,,,,,,,,,,,,,,
,,SoCal:,,,,,,,,,,,,,,,,,,,,
,,Topock,,,542200.0,,430400.0,111800.0,,,,,,,,,,,,,,
,,Ehrenberg,,,1275000.0,,1190400.0,84600.0,,,,,,,,,,,,,,
,,PG&E-GT NW/Malin,,,1896000.0,,1758400.0,137600.0,,,,,,,,,,,,,,
,,Transwestern:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,407000.0,*,227800.0,179200.0,,,,,,,,,,,,,,
,,SoCal,,,816000.0,,785300.0,30700.0,,,,,,,,,,,,,,
,,Kern Pipeline:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,306000.0,*,45800.0,260200.0,,,,,,,,,,,,,,
,,SoCal,,,540500.0,,535400.0,5100.0,,,,,,,,,,,,,,
,,California Production:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,,,186100.0,,,,,,,,,,,,,,,
,,SoCal (Incl Elk Hills),,,,,343900.0,,,,,,,,,,,,,,,
,,Storage:,,,,,,,,,,,,,,,,,,,,
,,PG&E & Wild Goose,,,,,293900.0,,,,,,,,,,,,,,,
,,SoCal,,,,,792000.0,,,,,,,,,,,,,,,
,,Total,,,,,7254500.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Line 300 *,,,1161000.0,,938700.0,222300.0,,,,,,,,,,,,,,
