Sweden,,,,,,,,,,,,,,,
Basic data for growth accounting,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total hours,Annual hours,Total number,,GDP in,,Share in GDP of,,,,Capital service growth rate of,,,,TFP
,(in millions),per worker,of workers,,1995 prices,,Labour,IT-capital,Non-IT,,,,All asset,,growth
,,,(thousands),,(millions of,,,,Capital,,IT,NON-IT,types,,
,,,,,Krones),,,,,,,,,,
,,,,,,,,,,,,,,,
1980.0,6352.046802677305,1503.087269918908,4226.0,,1186533.7432828117,,0.727320090425868,0.021231179734365235,0.2514487298397668,,0.12428930711526152,0.03318429978141452,0.040277843227378256,,0.0028020969414896835
1981.0,6306.270013515253,1494.7309821083793,4219.0,,1180945.687976691,,0.7244168898908379,0.020528678429020737,0.2550544316801414,,0.12885276857852007,0.030806404539129546,0.038110053437286136,,-0.009983675160496811
1982.0,6354.50981850946,1508.309949800489,4213.0,,1194517.3057151309,,0.7162594387186698,0.020449686577681377,0.2632908747036488,,0.11666686982027383,0.025892148569706723,0.03243444407503613,,-0.0032345159343096265
1983.0,6401.704042991376,1517.7107735873342,4218.0,,1218905.6738350615,,0.6934889391795378,0.022222375262562894,0.2842886855578993,,0.14420751681645277,0.026297026593479884,0.034845661524023096,,0.00439927936149782
1984.0,6457.629543699317,1519.7998455399663,4249.0,,1277675.9443189246,,0.6699227529522597,0.025323021966782953,0.30475422508095734,,0.17785432496519166,0.027306493071990713,0.03885629266642226,,0.028436661620097746
1985.0,6542.4375086883765,1523.9779894452308,4293.0,,1307626.9971496584,,0.6588976719225608,0.027731082821694224,0.313371245255745,,0.20264641941724806,0.032543408483203945,0.04637251575145049,,-0.0012434556124743309
1986.0,6582.787724546272,1521.6800102973352,4326.0,,1346895.821051111,,0.6607631006620847,0.02934286776003925,0.3098940315778761,,0.18498351780991146,0.03463981449641828,0.04764404668192731,,0.009363178379454471
1987.0,6647.610791607672,1531.7075556699704,4340.0,,1396692.8885793698,,0.6684657645954166,0.031047938748412662,0.3004862966561707,,0.14809131538528286,0.03603736815089144,0.046531138382510634,,0.01432757920472971
1988.0,6840.509428497875,1551.1359248294502,4410.0,,1436222.9103308541,,0.673746358077588,0.03380660535816323,0.2924470365642488,,0.14119794146086742,0.03941540482042135,0.04996217459218884,,-0.007663182326238936
1989.0,6943.9414699446515,1549.9869352555024,4480.0,,1478621.3086287675,,0.6797963599601151,0.03604084452121951,0.2841627955186654,,0.13899934639837058,0.04625590054003421,0.05669473287849885,,0.0007376206483728706
1990.0,6978.592070794181,1546.331059338396,4513.0,,1495189.924121609,,0.6987492946163165,0.036124794844276095,0.26512591053940743,,0.10716882413691715,0.04828253928855221,0.055343950004850595,,-0.009007392731897127
1991.0,6818.006572145706,1533.1699060368128,4447.0,,1473737.1934599695,,0.7163887696766009,0.03390409562662386,0.24970713469677525,,0.06579109033925222,0.03341086151456984,0.03728173211878448,,-0.008347706992355122
1992.0,6613.367246428112,1550.6136568412924,4265.0,,1441443.310621874,,0.7269114671961264,0.03456106545357365,0.23852746735029995,,0.05318537324346272,0.013666015214021133,0.01866743766671582,,-0.005102392682824128
1993.0,6313.6108034496065,1567.4306860599818,4028.0,,1409510.1121423312,,0.7305552891465653,0.03774305202300968,0.231701658830425,,0.08320586731096717,0.0013761001131301128,0.012838582158505044,,0.008024955315849267
