Table 4.,"Harmonized Indexes of Consumer Prices (HICP), 1996-2013",,,,,,,,,,,,,,,
,"Annual indexes, 2005 = 100",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,United States,Austria,Belgium,Denmark,Euro Area,European Union,France,Germany,Italy,Japan,Nether-lands,Norway,Spain,Sweden,Switzer-land,United Kingdom
Year,,,,,,,,,,,,,,,,
1996.0,NA,87.21,85.25,84.3,84.6,84.91,86.64,88.6,81.8,101.795,80.43,84.3,77.92,87.51,NA,88.1
1997.0,NA,88.22,86.53,85.9,85.94,86.38,87.75,90.0,83.3,103.39,81.92,86.5,79.39,89.09,NA,89.7
1998.0,84.078,88.95,87.32,87.0,86.87,87.49,88.34,90.5,85.0,104.088,83.38,88.2,80.79,90.01,NA,91.1
1999.0,85.782,89.41,88.31,88.8,87.85,88.53,88.84,91.1,86.4,103.689,85.07,90.0,82.59,90.51,NA,92.3
2000.0,88.669,91.16,90.67,91.2,89.69,90.21,90.46,92.4,88.6,102.792,87.06,92.8,85.47,91.67,NA,93.1
2001.0,90.752,93.25,92.88,93.3,91.8,92.19,92.07,94.1,90.7,101.894,91.51,95.3,87.88,94.12,NA,94.2
2002.0,91.582,94.83,94.32,95.6,93.86,94.11,93.86,95.4,93.1,100.698,95.05,96.1,91.04,95.94,NA,95.4
2003.0,93.67,96.06,95.75,97.5,95.81,95.95,95.89,96.4,95.7,100.399,97.18,97.9,93.86,98.18,NA,96.7
2004.0,96.286,97.94,97.53,98.3,97.86,97.88,98.14,98.1,97.8,100.399,98.52,98.5,96.73,99.18,NA,98.0
2005.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006.0,103.209,101.69,102.33,101.8,102.18,102.2,101.91,101.8,102.2,100.299,101.65,102.5,103.56,101.5,101.0,102.3
2007.0,105.922,103.93,104.19,103.5,104.36,104.59,103.55,104.1,104.3,100.399,103.26,103.2,106.51,103.2,101.8,104.7
2008.0,110.625,107.28,108.87,107.3,107.78,108.42,106.82,107.0,108.0,101.994,105.54,106.7,110.91,106.65,104.2,108.5
2009.0,109.679,107.71,108.86,108.4,108.09,109.49,106.93,107.2,108.8,100.499,106.57,109.2,110.64,108.72,103.4,110.8
2010.0,112.445,109.53,111.4,110.8,109.84,111.77,108.79,108.4,110.6,99.701,107.56,111.8,112.9,110.8,104.1,114.5
2011.0,116.823,113.42,115.14,113.8,112.83,115.23,111.28,111.1,113.8,99.402,110.23,113.1,116.35,112.31,104.2,119.6
2012.0,119.432,116.34,118.16,116.5,115.64,118.28,113.75,113.5,117.5,99.402,113.34,113.6,119.18,113.36,103.4,123.0
2013.0,120.958,118.8,119.57,117.0,117.2,120.06,114.88,115.3,119.0,99.9,116.24,115.8,121.0,113.86,103.5,126.1
,,,,,,,,,,,,,,,,
Note: The HICP is an internationally comparable measure of consumer price inflation.,,,,,,,,,,,,,,,,
Underlying HICPs are from the national statistical agencies of the countries compared and from the European Commission (Eurostat).,,,,,,,,,,,,,,,,
NA means data not available.,,,,,,,,,,,,,,,,
"For more information, see Technical Notes and",,,,Country Notes,,,,,,,,,,,,
"Source: The Conference Board, International Labor Comparisons program",,,,,,,,,,,,,,,,
