,,2010/11,,,,,,,,,,,,,,,,,,
,Total Adjusted Revenues,46865588.559999995,,,,,,,,,,,,,,,,,,
,Administrative $,,,,,,,,,,,,,,,,,,,
,Facility $ (prior yr facilities allocation),4206660,,,,,,,,,,,,,,,,,,
,Instructional Funding,20319210.11,,,,,,,,,,,,,,,,,,
,Inst. Overhead Factor,1.0994383309716165,,,,,,,,,,,,,,,,,,
,,,,,,,,Not Needed,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"2010/11
Expenditures","2010/11
Instructional Compensation","2011/12
Total Credits",Instructional Cost per Credit,Departmental Cost per Credit,Institutional Cost per Credit,Departmental Overhead %,Calculated Faculty FTE,Actual Faculty FTE,Faculty Instructional Hours,IH_Cost,Department IH_Cost,Institutional IH_Cost,Revenue per Credit Hour,Instructional Break-Even Class Size,Departmental Break-Even Class Size,Institutional Break-Even Class Size,Restricted Class Size,Cost Factor
,Agriculture,609114.74,404624.43,5882,68.790280516831,103.5557191431486,217.40884616045736,0.5053830041848932,8.96729535643835,3.219,77.256,5237.449906803355,13121.817981774877,27548.447642970794,235.66000000000003,22.224602846487965,55.68114224635015,116.89912434427052,,1
,Art & Music,1224074.26,1124676.93,5672,198.28577750352608,215.80998942172073,453.0797639985396,0.08837856218852114,12.757079704118702,18,432,2603.418819444444,5436.924050925926,11414.486755095366,235.66000000000003,11.047351351287634,23.07105173099349,48.43625033987679,,1
,Biology,1166095.81,996802.07,11227,88.78614678899082,103.865307740269,218.05880832808367,0.16983686641019924,15.933371061079294,15.125,363,2746.011212121212,5958.396363636363,12509.285716940076,235.66000000000003,11.652428125779561,25.283868130511596,53.08192190842771,,1
,Chemistry & Biochemistry,593342.58,514254.34,5122,100.4010816087466,115.84197188598203,243.20307611276704,0.15379207105962367,7.984640018944304,8.875,213,2414.339624413146,5199.9855399061025,10917.048962977007,235.66000000000003,10.24501240945916,22.065626495400586,46.325422061346885,,1
,"Communication, Mass Media, & Theatre",1270127.6099999999,981628.61,9897,99.18446094776195,128.3346074568051,269.43059408501244,0.29389832066936195,14.181244830438379,13.11,314.64,3119.846840833969,7156.611428934655,15024.864353774967,235.66000000000003,13.238762797394418,30.36837574868308,63.756532096134116,,1
