Fletch Sturm VaR Scenarios,,,,,,,
,,,,,,,
,,,95,99,10d-99,,
Portfolio #1,,,,,,,
,a),,83261,117561,371760.52400705486,,
,b),,208152,293903,929402.8911564673,,
,c),,416305,587806,1858805.7823129345,,
,,,,,,,
Portfolio #2,,,492083,675387,2135761.222068141,,Gas Shorts are driving risk
,,,632595,906235,2865766.6953626913,,Gas alone w/o power
,,,,,,,
Portfolio #2a,,,361103,501913,1587188.267248092,,"20,000/day"
,,,,,,,
Portfolio #3,,,274451,377110,1192526.5284260977,,
,,,,,,,
Portfolio #4,,,195842,274774,868911.6817951063,,
,,,,,,,
Portfolio #5,,,1293548,1815823,5742136.5077199275,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
500 N-Q02 Cin,,,416305,416305,416305,,
30K/d J-V02 NX,,,-632595,-400000,-427937,,
NG-R4,,,0.6,0.6,0.6,,
,,,,,,,
Combined,,,507408.448175629,365353.8736964479,377699.81950220733,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
