,,,,,,,,,,Libor +,,,Disc,Notional,400 bp
Counterparty,Deal Date,Tagg Num,Pub Code,Price Code,Fin / Phy,Period,Notional,Delta,Disc. Rate,400 bp,Fixed,Mid,MtM Value,MtM Value,MtM Value
DKR Sells 100 Dec,,,,,,,,,,,,,,,
AIGCOMARB,2001-09-20 00:00:00,Y46459.1,NX1,NG,F,2001-12-01 00:00:00,770000,769024.7022,0.9987333794805195,2.799464961170147,2.79,2.925000000003901,103818.3348,103950.00000300385,291004.38272204594
AARB,2001-09-20 00:00:00,Y46459.2,NX1,NG,F,2001-12-01 00:00:00,230000,229708.6773,0.9987333795652175,2.799464961170147,2.79,2.9249999998454563,31010.6714,31049.99996445495,86923.38694482594
,,,,,,,1000000,998733.3795,,#N/A,,,134829.0062,134999.9999674588,
DKR Sells 100 Jan Nymex NG,,,,,,,,,,#N/A,,,,,
AIGCOMARB,2001-09-28 00:00:00,Y68116.1,NX1,NG,F,2002-01-01 00:00:00,770000,767656.0345,0.9969558889610389,2.78372231112359,2.87,3.10499999999023,180399.1681,180949.99999247704,503714.55217687174
AARB,2001-09-28 00:00:00,Y68118.1,NX1,NG,F,2002-01-01 00:00:00,230000,229299.8545,0.9969558891304348,2.78372231112359,2.87,3.104999999967292,53885.4658,54049.99999247712,150460.19089528843
,,,,,,,1000000,996955.889,,#N/A,,,234284.63390000002,234999.99998495416,
DKR Buys 100 Dec Nymex NG/Sells 100 Jan Nymex NG,,,,,,,,,,#N/A,,,,,
AIGCOMARB,2001-10-02 00:00:00,Y73882.1,NX1,NG,F,2001-12-01 00:00:00,-770000,-769024.7022,0.9987333794805195,2.799464961170147,2.66,2.925000000022106,-203791.5461,-204050.0000170216,-571230.8253744199
AARB,2001-10-02 00:00:00,Y73882.2,NX1,NG,F,2001-12-01 00:00:00,-230000,-229708.6773,0.9987333795652175,2.799464961170147,2.66,2.925000000067477,-60872.7995,-60950.00001551967,-170627.38942676721
,,,,,,,-1000000,-998733.3795,,#N/A,,,-264664.3456,-265000.0000325413,
AIGCOMARB,2001-10-02 00:00:00,Y73883.1,NX1,NG,F,2002-01-01 00:00:00,770000,767656.0345,0.9969558889610389,2.78372231112359,2.88,3.10500000004885,172722.6078,173250.00003761443,482279.89050687006
AARB,2001-10-02 00:00:00,Y73883.2,NX1,NG,F,2002-01-01 00:00:00,230000,229299.8545,0.9969558891304348,2.78372231112359,2.88,3.105000000163541,51592.4673,51750.00003761449,144057.62970535408
,,,,,,,1000000,996955.889,,#N/A,,,224315.0751,225000.00007522892,
DKR Buys 100 Dec Nymex/Sells 100 Jan Nymex,,,,,,,,,,#N/A,,,,,
AIGCOMARB,2001-10-17 00:00:00,YB1706.1,NX1,NG,F,2001-12-01 00:00:00,-770000,-769024.7022,0.9987333794805195,2.799464961170147,2.93,2.925000000014304,3845.1235,3849.9999889860924,10777.940069672017
AARB,2001-10-17 00:00:00,YB1706.2,NX1,NG,F,2001-12-01 00:00:00,-230000,-229708.6773,0.9987333795652175,2.799464961170147,2.93,2.92499999994123,1148.5434,1150.0000135171495,3219.3847431864556
,,,,,,,-1000000,-998733.3795,,#N/A,,,4993.6669,5000.000002503242,
AIGCOMARB,2001-10-17 00:00:00,YB1709.1,NX1,NG,F,2002-01-01 00:00:00,770000,767656.0345,0.9969558889610389,2.78372231112359,3.11,3.1049999999641766,-3838.2802,-3850.000027583893,-10717.33097461172
AARB,2001-10-17 00:00:00,YB1709.2,NX1,NG,F,2002-01-01 00:00:00,230000,229299.8545,0.9969558891304348,2.78372231112359,3.11,3.1049999998800697,-1146.4993,-1150.0000275839418,-3201.2807345781625
,,,,,,,1000000,996955.889,,#N/A,,,-4984.779500000001,-5000.000055167835,
DKR Buys 200 Dec Nymex NG,,,,,,,,,,#N/A,,,,,
AIGCOMARB,2001-10-24 00:00:00,YD7372.1,NX1,NG,F,2001-12-01 00:00:00,-1540000,-1538049.4043,0.9987333794155845,2.799464961170147,2.8925,2.9249999999741556,-49986.6056,-50049.99996019952,-140113.22119514583
AARB,2001-10-24 00:00:00,YD7372.2,NX1,NG,F,2001-12-01 00:00:00,-460000,-459417.3545,0.9987333793478261,2.799464961170147,2.8925,2.9249999999537457,-14931.064,-14949.999978722994,-41852.001109929464
,,,,,,,-2000000,-1997466.7588,,#N/A,,,-64917.6696,-64999.99993892251,
DKR Sells 300 Dec Nymex NG/Buys 300 Jan Nymex NG,,,,,,,,,,#N/A,,,,,
