City of Pasadena,,,,,,,,,,,,,,,
Jan 2001 Invoice,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gas Daily,Gas Daily,Gas Daily,Gas Daily
,,,,,,,Gas Daily,SoCal,Pasadena,,Pasadena,Purchases,Purchases,Sales,Sales
NGI SoCal,16.32,,,,,Date,Mid,Usage,Net Nom,APEA,Imbalance,from EPMI,from EPMI,to EPMI,to EPMI
IFGMR EP San Juan,8.8,,,,,,$/MMBtu,MMBtu,MMBtu,MMBtu,MMBtu,MMBtu,$,MMBtu,$
,,,,,,2001-01-01 00:00:00,14.33,3955,6967.741935483871,3000,-6012.741935483871,0,0,-6012.741935483871,-86162.59193548387
,,,,Amount,,2001-01-02 00:00:00,14.33,8484,6967.741935483871,3000,-1483.7419354838712,0,0,-1483.7419354838712,-21262.021935483874
,Border,Basin,,Due,,2001-01-03 00:00:00,12.44,10407,6967.741935483871,3000,439.2580645161288,439.2580645161288,5464.370322580642,0,0
Pasadena,MMBtu,MMBtu,$/MMBtu,$,,2001-01-04 00:00:00,11.74,10990,6967.741935483871,3000,1022.2580645161288,1022.2580645161288,12001.309677419353,0,0
Nomination,279000,,,,,2001-01-05 00:00:00,11.38,10195,6967.741935483871,3000,227.2580645161288,227.2580645161288,2586.196774193546,0,0
Fixed Price Nomination,30000,,,,,2001-01-06 00:00:00,10.6,7992,6967.741935483871,3000,-1975.7419354838712,0,0,-1975.7419354838712,-20942.864516129033
APEA Nomination,93000,,,,,2001-01-07 00:00:00,10.6,8103,6967.741935483871,3000,-1864.7419354838712,0,0,-1864.7419354838712,-19766.264516129035
Net Nomination,216000,,,,,2001-01-08 00:00:00,10.6,13665,6967.741935483871,3000,3697.258064516129,3697.258064516129,39190.93548387096,0,0
,,,,,,2001-01-09 00:00:00,10.97,15600,6967.741935483871,3000,5632.258064516129,5632.258064516129,61785.87096774194,0,0
Usage,426553,,,,,2001-01-10 00:00:00,9.995,19852,6967.741935483871,3000,9884.258064516129,9884.258064516129,98793.1593548387,0,0
Less APEA Usage,93000,,,,,2001-01-11 00:00:00,11.25,22578,6967.741935483871,3000,12610.258064516129,12610.258064516129,141865.40322580645,0,0
Net Usage,333553,,,,,2001-01-12 00:00:00,11.392,16212,6967.741935483871,3000,6244.258064516129,6244.258064516129,71134.58787096773,0,0
,,,,,,2001-01-13 00:00:00,11.45,16271,6967.741935483871,3000,6303.258064516129,6303.258064516129,72172.30483870966,0,0
Gas Supply,,,,,,2001-01-14 00:00:00,11.45,14401,6967.741935483871,3000,4433.258064516129,4433.258064516129,50760.80483870967,0,0
NGI Purchases,186000,,16.305,3032730,,2001-01-15 00:00:00,11.45,19350,6967.741935483871,3000,9382.258064516129,9382.258064516129,107426.85483870967,0,0
Fixed Price Purchases,30000,,21.5,645000,,2001-01-16 00:00:00,11.45,24037,6967.741935483871,3000,14069.258064516129,14069.258064516129,161093.00483870966,0,0
,,,,,,2001-01-17 00:00:00,11.14,25090,6967.741935483871,3000,15122.258064516129,15122.258064516129,168461.95483870967,0,0
Gas Daily Purchases from Enron,136548.193548387,,11.786575029163764,1609435.5283548387,,2001-01-18 00:00:00,11.71,22997,6967.741935483871,3000,13029.258064516129,13029.258064516129,152572.61193548387,0,0
Gas Daily Sales to Enron,-18995.1935483871,,13.333535869005912,-253273.09451612906,,2001-01-19 00:00:00,11.375,20836,6967.741935483871,3000,10868.258064516129,10868.258064516129,123626.43548387097,0,0
,333552.99999999994,,,,,2001-01-20 00:00:00,15.12,12413,6967.741935483871,3000,2445.258064516129,2445.258064516129,36972.30193548387,0,0
,,,,,,2001-01-21 00:00:00,15.12,8576,6967.741935483871,3000,-1391.7419354838712,0,0,-1391.7419354838712,-21043.13806451613
Kern River Station Purchases,124129,,16.305,-2023923.345,,2001-01-22 00:00:00,15.12,11135,6967.741935483871,3000,1167.2580645161288,1167.2580645161288,17648.94193548387,0,0
Total Purchases,124129,,,,,2001-01-23 00:00:00,16.585,12581,6967.741935483871,3000,2613.258064516129,2613.258064516129,43340.884999999995,0,0
El Paso Capacity Reimbursement,,,,,,2001-01-24 00:00:00,15.96,12742,6967.741935483871,3000,2774.258064516129,2774.258064516129,44277.15870967742,0,0
Fixed,121363,,7.1376,-866240.5488,,2001-01-25 00:00:00,15.97,12297,6967.741935483871,3000,2329.258064516129,2329.258064516129,37198.25129032258,0,0
Variable,121363,,0.026,-3155.4379999999996,,2001-01-26 00:00:00,15.185,12704,6967.741935483871,3000,2736.258064516129,2736.258064516129,41550.078709677415,0,0
,,,,,,2001-01-27 00:00:00,13.42,4291,6967.741935483871,3000,-5676.741935483871,0,0,-5676.741935483871,-76181.87677419354
Net Due,,,,2140573.1020387094,,2001-01-28 00:00:00,13.42,9378,6967.741935483871,3000,-589.7419354838712,0,0,-589.7419354838712,-7914.336774193552
,,,,,,2001-01-29 00:00:00,13.42,13342,6967.741935483871,3000,3374.258064516129,3374.258064516129,45282.54322580645,0,0
El Paso Capacity Reimbursement,$/MMBtu,,,,,2001-01-30 00:00:00,13.27,13059,6967.741935483871,3000,3091.258064516129,3091.258064516129,41020.99451612903,0,0
,,,,,,2001-01-31 00:00:00,10.88,13020,6967.741935483871,3000,3052.258064516129,3052.258064516129,33208.56774193548,0,0
NGI SoCal,16.32,,,,,Totals,12.723172413793103,426553,216000.00000000015,93000,117552.99999999988,136548.193548387,1609435.5283548387,-18995.1935483871,-253273.09451612906
IFGMR San Juan,8.8,,,,,,,,,,,,,,
Spread,7.52,,,,,,,,,,,,,,
,-0.015,,,,,,,,,,,,,,
Less Fuel,-0.34144,,,,,,,,,,,,,,
Less Variable,-0.026,,,,,,,,,,,,,,
Net Reservation Value,7.1376,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
