FTES = Full Time Equiv. Student (525 contact hrs.),CREDIT FTES (1),,,,,,,,,,,,,,,,,
Click Back to Subject Totals,MSJC MVC Total by Course,,,,,,,,,,,,,,,,,
Course,AY07-08,,,AY08-09,,,AY09-10,,,AY10-11,,,AY11-12,,,AY12-13,,
Accounting,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
ACCT-075,,4.4,3.0000000000000013,,6.099999999999994,4.799999999999999,,5.099999999999998,5.999999999999995,,,,,,,,,
ACCT-076,,,,,,,,,,,5.699999999999996,5.299999999999997,,6.299999999999994,4.899999999999999,,4.968399999999997,4.899999999999999
ACCT-077,,,,,,,,,,,,1.8000000000000005,,2.2000000000000006,2.2000000000000006,,1.8860000000000006,3.087
ACCT-080,,,,,,,,,,,0.9600000000000003,,,,,,,
ACCT-081,,,,,,,,,,,,,,,,,,
ACCT-082,,,,,,,,,,,,,,,,,,
ACCT-124,,10.29999999999998,9.89999999999998,,12.099999999999973,11.999999999999973,,10.799999999999978,12.199999999999973,,12.199999999999973,10.999999999999977,,11.799999999999974,11.499999999999975,,11.799999999999974,16.499999999999964
ACCT-124H,,0.2,0.30000000000000004,,,0.2,,,0.2,,,,,0.2,0.30000000000000004,,0.30000000000000004,0.1
ACCT-125,,1.7000000000000004,1.7000000000000004,,1.2,1.4000000000000001,,2.0000000000000004,3.1000000000000014,,2.3000000000000007,3.3000000000000016,,2.1000000000000005,3.0000000000000013,,5.1999999999999975,6.399999999999993
ACCT-125H,,0.1,,,0.0897,,,,,,,,,,,,,
ACCT-126,,,,,,,,,,,,,,,,,,2.3000000000000007
ACCT-127,,,,,,,,,,,,2.2661000000000002,,,,,,
Alcohol/Drug Studies,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
ADS-090,,0.244,0.9149999999999994,,0.8747999999999997,0.9149999999999994,,0.9149999999999994,0.7920000000000005,0.6402999999999999,0.8250000000000005,,,,,,,
ADS-101,,,,,,,,,1.3,,,4.200000000000001,,3.1000000000000014,3.3000000000000016,,,
ADS-102,,,,,,,,,,,,,,,,,,
ADS-103,,,,,,,,,,,,,,,,,1.6000000000000003,
ADS-104,,,,,,,,,,,,,,,,,,3.900000000000002
ADS-105,,,,,,,,,,,,,,1.0999999999999999,,,,2.2000000000000006
ADS-110,,,,,,,,,,2.052599999999999,,,,,,,,2.0000000000000004
ADS-115,,,,,,1.1124,,,0.9999999999999999,,,3.1000000000000014,,0.7999999999999999,,,,
ADS-116,,,,,,,,,,,,,,,,,,
ADS-118,,,,,,,,,,,,,,,,,,
ADS-120,,,,,,,,,,,,1.9000000000000006,,2.1000000000000005,,,,1.5000000000000002
ADS-149,,,,,,,,,0.4,,0.4,0.4,,1.6000000000000003,1.0999999999999999,,0.7999999999999999,0.7
ADS-150,,,,,,0.6,,,,,0.4,,,,0.9999999999999999,,0.7999999999999999,0.6
Allied Health,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
AH-072,,2.1000000000000005,1.2,,2.600000000000001,2.600000000000001,,2.9000000000000012,3.3000000000000016,,2.700000000000001,2.500000000000001,,,,,,
AH-073,,3.400000000000001,4.200000000000001,,4.000000000000001,5.600000000000002,,5.8000000000000025,7.200000000000004,,5.000000000000002,4.200000000000001,,,,,,
AH-078,,,,,,3.0000000000000013,,2.3000000000000007,3.700000000000002,,2.3000000000000007,2.260900000000001,,,,,,
AH-082,,8.55000000000001,4.35,,4.35,3.449999999999999,,3.8999999999999986,4.049999999999999,4.114800000000002,3.8999999999999986,4.5,,,,,,
AH-095,2.5592,8.699999999999985,9.799999999999981,2.1609000000000003,3.3000000000000016,3.700000000000002,,5.699999999999996,4.300000000000001,3.1899,4.4,2.700000000000001,,2.400000000000001,3.0000000000000013,,,
AH-120,11.396000000000008,35.0944,46.8755000000001,11.655000000000008,50.65200000000013,44.85600000000007,6.993000000000003,42.33600000000005,38.05200000000001,9.5652,38.55600000000001,38.808000000000014,,40.81100000000004,38.14439999999998,6.475000000000002,30.99599999999995,24.19199999999998
AH-120B,,3.3003,5.133799999999999,,,,,5.133799999999999,,,,,,,,,,
