IGS Daily Update,,,,,,,,36936.0,,,,,IGS Daily Update,,,,,,,,,36936.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,36936.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Scheduled California Sendout (Dth),,,,,,,,,,,,,,,,,,,,
,,"as of  February 14,  2001",,,,,,,,,,,,,,,,,,,,
,,,,,Total,,Total,,Weekly Report,,,,,,,,,,,,,
,,,PG&E,SoCal,36936.0,,36935.0,Change,36930.0,,,,,,,,,,,,,
,Pipeline/Source of Gas:,,,,,,,,,,,,,,,,,,,,,
,California Production,,186100.0,339700.0,525800.0,,529300.0,-3500.0,526000.0,,,,,,,,,,,,,
,El Paso Natural Gas:,,,,,,,,,,,,,,,,,,,,,
,Topock,,698700.0,523200.0,1221900.0,,1201700.0,20200.0,1262100.0,,,,,,,,,,,,,
,Ehrenberg,,,1212400.0,1212400.0,,1227900.0,-15500.0,1252300.0,,,,,,,,,,,,,
,Kern/Mojave,,18300.0,560100.0,578400.0,,557900.0,20500.0,550600.0,,,,,,,,,,,,,
,PG&E-GT Northwest to PG&E,,1837700.0,,,,,,,,,,,,,,,,,,,
,PG&E to SoCal (KRS),,-295900.0,295900.0,,,,,,,,,,,,,,,,,,
,Total PG&E-GT Northwest,,1837700.0,,1837700.0,,1853000.0,-15300.0,1842800.0,,,,,,,,,,,,,
,Transwestern **,,293900.0,785300.0,1079200.0,,1083100.0,-3900.0,1073700.0,,,,,,,,,,,,,
,Wild Goose-Net (Inj.)/Withdrawal,,37600.0,,37600.0,,61000.0,-23400.0,26400.0,,,,,,,,,,,,,
,Storage-Net (Injection)/Withdrawal,,238000.0,1465000.0,1703000.0,,1844200.0,-141200.0,1191500.0,,,,,,,,,,,,,
,Total,,3014400.0,5181600.0,8196000.0,,8358100.0,-162100.0,7725400.0,,,,,PG&E System Status 2/14 = Low Inventory; 2/15 = Low Inventory; 2/16 = Within Limits; 2/17 = Within Limits;,,,,,,,,
,,*Total is reduced by the amount of Net Injection.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Nuclear: (Selected Plants of NRC Region 4): Diablo Canyon 2 = 99%; San Onofre 3 = 0% (Cold shutdown/Maint. outage)  South Texas 2 = 99%;  Waterford 3 = 0% (Hot standby/automatic reactor trip during turbine valve testing) all other selected plants at 100%.,,,,,,,,
,,"Available Capacities (Dth) as of  February 14,  2001",,,,,,,,,,,,,SoCAL System:  90% delivery requirements have been declared starting Feb. 15th.,,,,,,,
,,,,,,,,Estimated,,,,,,,,,,,,,,
,,,,,Available,,Scheduled,Available,,,,,,,,,,,,,,
,,,,,Capacity,,Volume,Capacity,,,,,,,,,,,,,,
,,El Paso Natural Gas:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,1205000.0,,698700.0,506300.0,,,,,,,,,,,,,,
,,SoCal:,,,,,,,,,,,,,,,,,,,,
,,Topock,,,542200.0,,523200.0,19000.0,,,,,,,,,,,,,,
,,Ehrenberg,,,1266300.0,,1212400.0,53900.0,,,,,,,,,,,,,,
,,PG&E-GT NW/Malin,,,1896000.0,,1837700.0,58300.0,,,,,,,,,,,,,,
,,Transwestern:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,407000.0,*,293900.0,113100.0,,,,,,,,,,,,,,
,,SoCal,,,816000.0,,785300.0,30700.0,,,,,,,,,,,,,,
,,Kern Pipeline:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,306000.0,*,18300.0,287700.0,,,,,,,,,,,,,,
,,SoCal,,,542000.0,,560100.0,-18100.0,,,,,,,,,,,,,,
,,California Production:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,,,186100.0,,,,,,,,,,,,,,,
,,SoCal (Incl Elk Hills),,,,,339700.0,,,,,,,,,,,,,,,
,,Storage:,,,,,,,,,,,,,,,,,,,,
,,PG&E & Wild Goose,,,,,275600.0,,,,,,,,,,,,,,,
,,SoCal,,,,,1465000.0,,,,,,,,,,,,,,,
,,Total,,,,,8196000.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Line 300 *,,,1161000.0,,1010900.0,150100.0,,,,,,,,,,,,,,
