APPENDIX B: Income and Expenditure 2011 -2015,,,,,,,,,,,,,,
FA Women's Super League:,Income and Expenditure in £,,,,,,,,,,,,,
Club Name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INCOME,2011,,,2012,,,2014,,,2015,,,Explanatory Notes / Comment (Please extend if necessary),
,Cash,ViK,CDF,Cash,ViK,CDF,Cash,ViK,CDF,Cash,ViK,CDF,,
Infrastructure/Facilities,0,0,0,0,0,0,0,0,0,0,0,0,,
Kit Sponsor,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
Total Sport,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Subscription/Membership,0,0,0,0,0,0,0,0,0,0,0,0,,
Commercial income,0,0,0,0,0,0,0,0,0,0,0,0,,
Merchandise,0,0,0,0,0,0,0,0,0,0,0,0,,
Sponsoring & Advertisement,0,0,0,0,0,0,0,0,0,0,0,0,,
Match-day Income,0,0,0,0,0,0,0,0,0,0,0,0,,
Ticketing,0,0,0,0,0,0,0,0,0,0,0,0,,
Programme Sales,0,0,0,0,0,0,0,0,0,0,0,0,,
Hospitality,0,0,0,0,0,0,0,0,0,0,0,0,,
Other,0,0,0,0,0,0,0,0,0,0,0,0,,
Funding/Grant/Donation,0,0,0,0,0,0,0,0,0,0,0,0,,
Related parties,0,0,0,0,0,0,0,0,0,0,0,0,,
Third parties,0,0,0,0,0,0,0,0,0,0,0,0,,
FA,0,0,0,0,0,0,0,0,0,0,0,0,,
Funding (CDF),0,0,0,0,0,0,0,0,0,0,0,0,,
Prize Money,0,0,0,0,0,0,0,0,0,0,0,0,,
Other,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
Total Admin,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
Subtotal,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
TOTAL INCOME,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
EXPENSES,2011,,,2012,,,2014,,,2015,,,Explanatory Notes / Comment,
,Cash,ViK,CDF,Cash,ViK,CDF,Cash,ViK,CDF,Cash,ViK,CDF,,
Infrastructure/Facilities,0,0,0,0,0,0,0,0,0,0,0,0,,
Kit & Equipment,0,0,0,0,0,0,0,0,0,0,0,0,,
Team Staff,0,0,0,0,0,0,0,0,0,0,0,0,,
Coaches,0,0,0,0,0,0,0,0,0,0,0,0,,
Medical and Physio Supply,0,0,0,0,0,0,0,0,0,0,0,0,,
Player,0,0,0,0,0,0,0,0,0,0,0,0,,
Salaries,0,0,0,0,0,0,0,0,0,0,0,0,,
Expenses,0,0,0,0,0,0,0,0,0,0,0,0,,
Reserve team,0,0,0,0,0,0,0,0,0,0,0,0,,
"Team Operation (travelling, accomodation)",0,0,0,0,0,0,0,0,0,0,0,0,,
Match Officials,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
Total Sport,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Office costs,0,0,0,0,0,0,0,0,0,0,0,0,,
Staff Salaries,0,0,0,0,0,0,0,0,0,0,0,0,,
Marketing Expenses,0,0,0,0,0,0,0,0,0,0,0,0,,
Merchandise,0,0,0,0,0,0,0,0,0,0,0,0,,
Sponsoring & Advertisement,0,0,0,0,0,0,0,0,0,0,0,0,,
Matchday costs,0,0,0,0,0,0,0,0,0,0,0,0,,
Ticketing Expenses,0,0,0,0,0,0,0,0,0,0,0,0,,
Programme Costs,0,0,0,0,0,0,0,0,0,0,0,0,,
Hospitality,0,0,0,0,0,0,0,0,0,0,0,0,,
Match organisation,0,0,0,0,0,0,0,0,0,0,0,0,,
Funding,0,0,0,0,0,0,0,0,0,0,0,0,,
League Dues,0,0,0,0,0,0,0,0,0,0,0,0,,
Ambassadors,0,0,0,0,0,0,0,0,0,0,0,0,,
Other,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
Total Admin,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
Subtotal,0,0,0,0,0,0,0,0,0,0,0,0,,
Control,,0,0,,0,0,,0,0,,0,0,,
TOTAL EXPENSES,,,0,,,0,,,0,,,0,,
Profit / Deficit,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
