,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Package 1 Volume (Mcf/d),Contract Number,Package 2 Volume (Mcf/d),Contract Number,
Old Shipper's Legal Name,,,,,,
,,,,,,
"Misako Resources, Inc.",,N/A,,3000,1966,
"Petro-Canada Hydrocarbons, Inc.",,N/A,,3000,,
Patina Oil & Gas Corporation,,700,1922,3000,1979,
J.M. Huber Corporation,,700,,3000,,
Cannon-Interests Houston,,700,1904,3000,1953,
FM Weld LLC,,700,1911,3000,1965,
Kennedy Oil Corporation,,700,1914,3000,1969,
,,,,,,
,,,,,,
New Shipper's Legal Name,,,,,,
,,,,,,
Enron North America Corp.,,,,,,
,,,,,,
