STATE SENATE DISTRICT NO. 21,,,
36837.0,"Townsend, r","Wheeler, d",Scatter
Dover Ward 1,691.0,1256.0,3.0
Dover Ward 2,520.0,1142.0,2.0
Dover Ward 3,982.0,1658.0,
Dover Ward 4,732.0,1296.0,
Dover Ward 5,559.0,1252.0,2.0
Dover Ward 6,672.0,1190.0,2.0
Durham,1415.0,3441.0,12.0
Lee,719.0,1293.0,1.0
Madbury,319.0,516.0,
Rollinsford,501.0,804.0,4.0
,,,
Totals,7110.0,13848.0,26.0
,,,
STATE SENATE DISTRICT NO. 22,,,
,"Klemm, Jr., r","Hatem, d",Scatter
Atkinson,2664.0,1665.0,3.0
Pelham,2671.0,2065.0,2.0
Salem,6065.0,5121.0,3.0
Windham,3589.0,1679.0,7.0
,,,
Totals,14989.0,10530.0,15.0
