2012 High-Priority Occupations for Chester County Workforce Investment Area,,,,,,,,,
,,,,,,,,,
,,,Wages (2011),,,Employment,,,
SOC Code,SOC Title,Educational Attainment,Annual Average,Entry Level,Exper. Level,Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,140830,64250,179120,1830,1680,-0.0819,44
11-2022,Sales Managers,BD+,139210,71580,173020,740,720,-0.027000000000000003,17
11-3051,Industrial Production Managers,BD+,107690,71990,125540,300,280,-0.0666,10
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1022,Wholesale & Retail Buyers,LT OJT,54620,39690,62080,190,170,-0.1052,4
13-1023,Purchasing Agents,LT OJT,63120,45560,71900,580,570,-0.0172,13
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,64740,43630,75290,470,430,-0.0851,12
13-1051,Cost Estimators,BD,61620,46640,69100,480,520,0.0833,14
13-1081,Logisticians,BD+,77420,59330,86460,420,520,0.23800000000000002,16
13-1111,Management Analysts,BD+,106100,62750,127770,2640,2900,0.0984,71
13-1151,Training & Development Specialists,BD,64710,41400,76370,N/A,N/A,N/A,N/A
13-1161,Market Research Analysts & Marketing Specialists,BD,69530,37920,85340,N/A,N/A,N/A,N/A
13-2011,Accountants & Auditors,BD,77380,48250,91950,2640,2740,0.0378,56
13-2072,Loan Officers,MT OJT,80100,51770,94270,720,710,-0.0138,8
15-1061,Database Administrators,BD,N/A,N/A,N/A,370,410,0.1081,8
15-1121,Computer Systems Analysts,BD,84090,57600,97330,N/A,N/A,N/A,N/A
15-1131,Computer Programmers,BD,73310,50400,84760,N/A,N/A,N/A,N/A
15-1132,"Software Developers, Applications",BD,96120,67880,110240,N/A,N/A,N/A,N/A
15-1133,"Software Developers, Systems Software",BD,113590,76810,131970,N/A,N/A,N/A,N/A
15-1142,Network & Computer Systems Administrators,BD,89880,66560,101540,N/A,N/A,N/A,N/A
15-1150,Computer Support Specialists,PS,59390,36840,70660,N/A,N/A,N/A,N/A
17-2051,Civil Engineers,BD,82330,52390,97300,740,750,0.013500000000000002,21
17-2071,Electrical Engineers,BD,84580,58030,97850,190,180,-0.0526,4
17-2112,Industrial Engineers,BD,86150,60380,99040,400,450,0.125,15
17-2141,Mechanical Engineers,BD,90310,59360,105780,380,380,N/A,8
17-3011,Architectural & Civil Drafters,AD,47120,33050,54160,290,250,-0.1379,8
17-3013,Mechanical Drafters,AD,65770,47250,75030,170,160,-0.0588,5
17-3024,Electro-Mechanical Technicians,AD,52510,44050,56730,10,10,N/A,0
17-3026,Industrial Engineering Technicians,AD,48970,34990,55960,100,100,N/A,2
19-1012,Food Scientists & Technologists,BD,N/A,N/A,N/A,10,10,N/A,0
19-4021,Biological Technicians,BD,45740,33660,51780,130,140,0.07690000000000001,6
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,45650,34610,51170,640,790,0.2343,28
21-1014,Mental Health Counselors,MD,42870,26810,50890,610,700,0.1475,21
21-1015,Rehabilitation Counselors,MD,35710,29850,38640,270,300,0.11109999999999999,8
21-1021,"Child, Family & School Social Workers",BD,N/A,N/A,N/A,390,400,0.0256,9
21-1022,Healthcare Social Workers,MD,48290,37190,53850,280,310,0.10710000000000001,9
