Week,Date,Topic,Homework,Portfolio Assignment
1.0,35801.0,"First Day of Class - Review Green Sheet, Bingo Game",,
,35803.0,Lecture - What is Archaeology?,,
,,"Video: ""Iceman""",Chpt. 1 (BtoE); Article 1 (A.E.),
,,,,
2.0,35808.0,"Lecture - Archaeology, Anthropology & Culture",,
,,"Video: ""Myths and the Moundbuilders""",Artices 2 & 18 (A.E.),#1: Video Review
,35810.0,Lecture - Goals of Modern Archaeology,Chpt. 2 (BtoE),
,,Keyword/Definition Worksheet,*Bring object from home,
,,,,
3.0,35815.0,QUIZ 1: Chapters 1 & 2 & Articles,,
,,Lecture & Student Discussion - Material Culture,,
,35817.0,Lecture - Research Design,Chpt. 3 (BtoE);,
,,Discussion - Site Report (handouts & examples),Develop 3 research questions for,
,,"Group Session - Research topics, hypotheses, questions",Site Report,#2: Research Questions
,,,,
4.0,35822.0,"Lecture - Theories & Perspectives, Part I","Articles 6, 13, 15 (A.E.)",
,,(each student pick theory for group session),Collage (due 1/30),#3: Theory Collage
,35824.0,"Lecture - Theories & Perspectives, Part II",,
,,Group Session - Theory Collage,Chpt. 4 (BtoE),
,,,,
5.0,35829.0,QUIZ 2: Chapters 1-3 & Articles,Articles 22 & 23 (A.E.),
,,Lecture - Site Sampling & Recording,Chpt. 5 pgs. 113-139 (BtoE),
,35831.0,Lecture - Excavation Techniques,Chpt. 5 pgs. 139-160 (BtoE);,
,,"Group Session - ""when to use and when not to use…""",Articles 24 & 27 (A.E.),#4: Excavation Form
,,,,
6.0,35836.0,Lecture - Dating Methods,,
,,Video on Guatemala,,
,35838.0,Guest Speaker - Dan Cearley,,
,,"""Excavating Mass Burials in Guatemala""",,#5: Speaker Evaluation
Week,Date,Topic,Homework,Portfolio Assignment
7.0,35843.0,"Lecture - Prehistoric Artifacts, Part I",,
,,"Guest Demo - Alan Leventhal ""Flint Knapping""",Chpt. 7 (BtoE),#6: Speaker Evaluation
,35845.0,"Lecture - Prehistoric Artifacts, Part II",,
,,Group Session - Artifact Analysis/Drawing (Site Report),Chpt. 8 (BtoE),#7: Artifact Sheet
,,,,
8.0,35850.0,"QUIZ 3: Chapters 1-7, Articles, Guest Speakers",,
,,"Lecture - Historic Artifacts, Part I",,
,,"Video - ""Slavery's Buried Past""",Articles 28 & 29 (A.E.),#8: Video Review
,35852.0,"Lecture - Historic Artifacts, Part II",,
,,Group Session - Artifact Analysis/Drawing (Site Report),Chpt. 9 (BtoE),#9: Skeleton Diagram
,,,,
9.0,35857.0,Lecture - Organic Materials/Burial Archaeology,Article 14 (A.E.),
,,,Read articles on Reserve,
,,,"(titled ""Mammalian Osteology"")",
,35859.0,Lecture - Faunal Analysis,Article 32 (A.E.),
,,Group Session - Bone Identification & Analysis,Read articles on Reserve,#10:  Animal Bones
,,,"(titled ""Forensics"")",
,,,,
10.0,35864.0,Lecture -  Forensic Anthropology,Chpt. 10 (BtoE),
,,"Video - ""Dead Men Do Talk""","Articles 34, 39, 40 (A.E.)",#11: Video Review
,,,Write 1 page - your views on site,#12: Personal Statement
,,,preservation and looting,
,35866.0,Lecture - Ethics in Archaeology,,
,,"Guest Speaker - Paul Aguilar ""The Native American Perspective""",,#13: Speaker Evaluation
,,,,
11.0,35871.0,Dead Week - Review,DUE: Site Report & Portfolio,
,35873.0,Dead Week - Review,,
,,,,
12.0,35880.0,FINAL EXAM 12noon - 1:50pm,,
