Total Incidents By District Council,,,,,,,,,,,,,,,,,,
"April 28 - May 5, 2011",,,,,,,,,,,,,,,,,,
,Battle Creek,Greater East Side,West Side,Dayton's Bluff,Payne-Phalen,North End,Thomas Dale,Summit-University,West 7th,Como,Hamline-Midway,St. Anthony Park,Union Park,Mac-Groveland,Highland,Summit Hill,Downtown,Citywide
Crime By Council,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,Total
Agg. Assault,,2.0,,1.0,2.0,,2.0,1.0,,,,,,,,,,8.0
Agg. Assault Dom.,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,6.0
Auto Theft,2.0,2.0,,3.0,7.0,5.0,3.0,5.0,,,3.0,1.0,1.0,,,,,32.0
Burglary,6.0,5.0,6.0,8.0,7.0,6.0,6.0,8.0,5.0,,,1.0,4.0,3.0,4.0,,2.0,71.0
Discharge,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,14.0
Graffiti,,,3.0,1.0,8.0,1.0,,,1.0,,,1.0,5.0,,1.0,,,21.0
Narcotics,4.0,5.0,,7.0,6.0,3.0,4.0,5.0,1.0,2.0,4.0,,,,3.0,2.0,9.0,55.0
Other Asasult Dom.,3.0,3.0,,3.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,30.0
Rape,,,,,,,1.0,,,,1.0,,,,,1.0,,3.0
Robbery,2.0,1.0,1.0,1.0,5.0,2.0,1.0,,,,,,1.0,,1.0,,,15.0
Theft,11.0,17.0,9.0,15.0,24.0,16.0,4.0,13.0,2.0,5.0,14.0,6.0,35.0,7.0,10.0,3.0,15.0,206.0
Vandalism,2.0,2.0,,6.0,9.0,5.0,6.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,,50.0
Grand Total,31.0,38.0,20.0,50.0,76.0,45.0,31.0,39.0,15.0,9.0,25.0,12.0,49.0,12.0,26.0,7.0,26.0,511.0
