2008 Rank,NAME OF EMPLOYER,EMPLOYEES(1),BUSINESS,2007 Rank
1,HARVARD UNIVERSITY,11315,HIGHER EDUCATION,1
2,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,7820,HIGHER EDUCATION,2
3,CITY OF CAMBRIDGE(2),2820,GOVERNMENT,3
4,MT. AUBURN HOSPITAL,1969,MEDICAL,4
5,NOVARTIS INSTITUTE FOR BIOMEDICAL RESEARCH,1629,BIOTECHNOLOGY,8
6,BIOGEN IDEC,1596,BIOTECHNOLOGY,5
7,CAMBRIDGE HEALTH ALLIANCE,1413,MEDICAL,6
8,GENZYME CORPORATION,1391,BIOTECHNOLOGY,9
9,FEDERAL GOVERNMENT,1286,GOVERNMENT,7
10,DRAPER LABORATORY,1175,RESEARCH & DEVELOPMENT,10
11,VERTEX PHARMACEUTICALS,1051,BIOTECHNOLOGY,13
12,COMMONWEALTH OF MASSACHUSETTS,957,GOVERNMENT,11
13,QUEST DIAGNOSTICS,853,CLINICAL TESTING SERVICES,14
14,MILLENIUM PHARMACEUTICALS,776,BIOTECHNOLOGY,12
15,"CAMP, DRESSER & MCKEE",687,ENGINEERING CONSULTANTS,16
16,EF INTERNATIONAL,680,TRAVEL & EXCHANGE PROGRAMS,18
17,WHOLE FOODS,655,SUPERMARKET,22
18,WYETH CAMBRIDGE,629,BIOTECHNOLOGY,15
19,AKAMAI,608,INTERNET NETWORK SERVICES,20
20,FORRESTER RESEARCH,552,BUSINESS SERVICES,23
21,LESLEY UNIVERSITY,519,HIGHER EDUCATION,21
22,ITA SOFTWARE(3),441,SOFTWARE,29
23,BBN TECHNOLOGIES,439,RESEARCH & DEVELOPMENT,24
24,YOUVILLE HOSPITAL & REHABILITATION CENTER,420,MEDICAL,17
25,MONITOR GROUP,394.5,MANAGEMENT CONSULTING,25
