2012 High-Priority Occupations for Central Workforce Investment Area,,,,,,,,,
,,,,,,,,,
,,,Wages (2011),,,Employment,,,
SOC Code,SOC Title,Educational Attainment,Annual Average,Entry Level,Exper. Level,Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,90750,49770,111250,1510,1370,-0.09269999999999999,36
11-2022,Sales Managers,BD+,102350,57850,124600,290,270,-0.069,6
11-3051,Industrial Production Managers,BD+,85390,53520,101320,340,290,-0.1471,12
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-9021,Construction Managers,AD+,70980,50800,81080,260,290,0.1154,7
13-1022,Wholesale & Retail Buyers,LT OJT,44810,28260,53080,160,150,-0.0625,4
13-1023,Purchasing Agents,LT OJT,52310,37170,59870,630,580,-0.0794,13
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,65230,47200,74240,80,70,-0.125,2
13-1051,Cost Estimators,BD,47890,33230,55210,460,490,0.06520000000000001,13
13-1081,Logisticians,BD+,71860,46720,84440,70,70,N/A,2
13-1111,Management Analysts,BD+,91160,50480,111500,690,690,N/A,12
13-1151,Training & Development Specialists,BD,38340,17800,48600,N/A,N/A,N/A,N/A
13-1161,Market Research Analysts & Marketing Specialists,BD,52090,32740,61770,N/A,N/A,N/A,N/A
13-2011,Accountants & Auditors,BD,59820,37600,70920,1610,1700,0.0559,36
13-2072,Loan Officers,MT OJT,52750,36900,60670,580,550,-0.051699999999999996,6
15-1121,Computer Systems Analysts,BD,78420,46620,94320,N/A,N/A,N/A,N/A
15-1131,Computer Programmers,BD,57200,38790,66410,N/A,N/A,N/A,N/A
15-1132,"Software Developers, Applications",BD,77220,53700,88980,N/A,N/A,N/A,N/A
15-1133,"Software Developers, Systems Software",BD,78500,50140,92680,N/A,N/A,N/A,N/A
15-1142,Network & Computer Systems Administrators,BD,58400,39120,68040,N/A,N/A,N/A,N/A
15-1150,Computer Support Specialists,PS,43550,29100,50780,N/A,N/A,N/A,N/A
17-2051,Civil Engineers,BD,66780,50840,74750,580,600,0.0345,17
17-2112,Industrial Engineers,BD,66980,41610,79660,420,440,0.047599999999999996,12
17-2141,Mechanical Engineers,BD,74510,52210,85650,180,160,-0.11109999999999999,4
17-2151,Mining & Geological Engineers,BD,N/A,N/A,N/A,30,40,0.3333,1
17-3011,Architectural & Civil Drafters,AD,42410,29840,48700,220,190,-0.1364,6
17-3013,Mechanical Drafters,AD,40630,28070,46900,200,170,-0.15,6
17-3023,Electrical & Electronic Engineering Technicians,AD,45240,30710,52500,440,420,-0.0455,9
17-3025,Environmental Engineering Technicians,AD,43550,27850,51400,30,30,N/A,1
17-3026,Industrial Engineering Technicians,AD,44790,33120,50620,350,270,-0.2286,7
19-2042,Geoscientists,BD,70650,49190,81370,40,30,-0.25,1
19-4021,Biological Technicians,BD,38310,26000,44460,40,40,N/A,1
19-4041,Geological & Petroleum Technicians,AD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,38160,26390,44050,190,220,0.1579,7
21-1014,Mental Health Counselors,MD,40450,28430,46460,440,510,0.1591,16
21-1015,Rehabilitation Counselors,MD,34280,24710,39060,210,220,0.047599999999999996,5
21-1021,"Child, Family & School Social Workers",BD,34630,22990,40450,980,1030,0.051000000000000004,26
21-1022,Healthcare Social Workers,MD,36110,23180,42570,480,510,0.0625,13
21-1023,Mental Health & Substance Abuse Social Workers,BD,46140,31550,53430,470,530,0.1277,16
23-2011,Paralegals & Legal Assistants,AD,43090,30240,49520,190,200,0.0526,4
25-1011,"Business Teachers, Postsecondary",PhD,N/A,N/A,N/A,440,520,0.1818,16
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,79460,49260,94560,230,270,0.1739,8
25-1081,"Education Teachers, Postsecondary",PhD,84230,55980,98350,300,360,0.2,11
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,46270,35130,51840,200,220,0.1,5
25-2011,Preschool Teachers,AD,26560,16940,31380,590,650,0.1017,16
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,59740,43720,67750,170,150,-0.1176,5
25-2053,"Special Education Teachers, Middle School",BD,56690,35970,67050,N/A,N/A,N/A,N/A
25-2054,"Special Education Teachers, Secondary School",BD,57120,43400,63980,N/A,N/A,N/A,N/A
25-9041,Teacher Assistants,ST OJT,29580,16810,35960,2700,2770,0.0259,51
27-2022,Coaches & Scouts,LT OJT,41440,17340,53490,500,510,0.02,14
29-1031,Dietitians & Nutritionists,BD,47070,30290,55460,230,230,N/A,7
29-1051,Pharmacists,PROF,106030,89060,114510,470,570,0.21280000000000002,18
29-1111,Registered Nurses,AD,60480,43440,69000,6240,7220,0.15710000000000002,201
29-1122,Occupational Therapists,MD,62620,42560,72650,180,200,0.11109999999999999,6
29-1126,Respiratory Therapists,AD,57770,45820,63750,180,220,0.22219999999999998,7
29-2011,Medical & Clinical Laboratory Technologists,BD,53330,41410,59290,350,350,N/A,5
29-2012,Medical & Clinical Laboratory Technicians,AD,39870,26020,46800,310,340,0.0968,8
29-2021,Dental Hygienists,AD,52730,47740,55230,340,380,0.1176,10
29-2031,Cardiovascular Technologists & Technicians,AD,47570,31020,55840,120,140,0.16670000000000001,4
29-2032,Diagnostic Medical Sonographers,AD,63090,50280,69500,110,120,0.0909,3
29-2037,Radiologic Technologists & Technicians,AD,53980,41640,60140,N/A,N/A,N/A,N/A
29-2041,Emergency Medical Technicians & Paramedics,PS,28110,18350,33000,690,720,0.043500000000000004,12
29-2052,Pharmacy Technicians,MT OJT,25990,19180,29400,490,650,0.3265,32
29-2055,Surgical Technologists,PS,40350,33600,43720,150,180,0.2,8
29-2056,Veterinary Technologists & Technicians,AD,28610,20520,32660,130,170,0.3077,8
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,40040,32670,43720,1940,2040,0.051500000000000004,63
29-2071,Medical Records & Health Information Technicians,PS,30190,21140,34720,380,410,0.07890000000000001,13
31-1012,"Nursing Aides, Orderlies & Attendants",PS,26460,20420,29480,3760,4130,0.0984,71
31-2011,Occupational Therapy Assistants,AD,40700,30670,45710,80,90,0.125,2
31-2021,Physical Therapist Assistants,AD,40630,30090,45900,120,140,0.16670000000000001,5
31-9091,Dental Assistants,PS,30440,24100,33610,480,540,0.125,14
33-3012,Correctional Officers & Jailers,MT OJT,49350,36120,55960,1520,1460,-0.0395,35
33-3051,Police & Sheriff's Patrol Officers,MT OJT,51060,31560,60800,1340,1350,0.0075,37
37-2021,Pest Control Workers,MT OJT,31020,26250,33400,110,110,N/A,3
39-9021,Personal Care Aides,ST OJT,20130,16720,21830,1280,1500,0.17190000000000003,45
41-1011,Supervisors - Retail Sales Workers,WK EXP,39940,26830,46500,2140,2170,0.014000000000000002,48
41-2022,Parts Salespersons,MT OJT,27550,17620,32510,510,480,-0.0588,6
41-3021,Insurance Sales Agents,MT OJT,72140,29250,93590,960,900,-0.0625,21
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,70740,34790,88710,190,200,0.0526,6
41-4011,"Sales Representatives, Technical & Scientific Products",BD,83540,40310,105160,230,220,-0.043500000000000004,5
41-4012,Sales Representatives,MT OJT,57750,30220,71510,2580,2610,0.0116,60
41-9022,Real Estate Sales Agents,LT OJT,43540,27710,51460,510,470,-0.0784,8
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,45160,29750,52870,1650,1570,-0.04850000000000001,34
43-3011,Bill & Account Collectors,MT OJT,31190,24040,34770,370,400,0.08109999999999999,9
43-3021,Billing & Posting Clerks,ST OJT,31280,24140,34840,870,800,-0.0805,11
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,33050,22150,38510,3050,3100,0.0164,53
43-4051,Customer Service Representatives,ST OJT,29950,21340,34260,3920,4350,0.1097,152
43-4111,Interviewers,ST OJT,31450,22900,35730,410,440,0.0732,14
43-4131,Loan Interviewers & Clerks,ST OJT,28180,20100,32220,250,200,-0.2,4
43-5011,Cargo & Freight Agents,ST OJT,32100,23360,36470,20,20,N/A,1
