"Workers who use an official language most often or regularly at work, by province and territory, (2006 Census)",,,,,,
,English,,,French,,
,Total %,Most often %,Regularly %,Total %,Most often %,Regularly %
,,,,,,
Canada,85,78.3,6.7,25.7,21.7,4
Newfoundland and Labrador,99.8,99.5,0.3,1.5,0.4,1
Prince Edward Island,99.6,98.7,0.9,5.5,1.8,3.7
Nova Scotia,99.5,98.4,1.2,4.6,1.8,2.8
New Brunswick,88.1,76,12.1,37.5,26.8,10.7
Quebec,40.4,17.1,23.2,94.3,86.7,7.6
Ontario,98.6,97,1.6,5.8,2,3.8
Manitoba,98.8,97.2,1.7,3.6,1.4,2.3
Saskatchewan,99.4,98.6,0.8,1.2,0.4,0.8
Alberta,99.3,98.6,0.7,1.5,0.4,1.1
British Columbia,98,96.5,1.5,1.5,0.4,1.1
Yukon,99.3,98.5,0.8,4,1.1,2.9
Northwest Territories,99.2,97.5,1.8,2.7,0.8,1.8
Nunavut,91.2,70.7,20.5,2.4,0.6,1.9
Canada except Quebec,98.4,96.7,1.7,5,2.1,2.9
Notes: ,,,,,,
- All mother tongues (multiple responses included). ,,,,,,
"- Population 15 years and older who had worked between January 1,2005 and May 16,2006, regardless of whether or not they were in the labour force in the reference week of May 16,2006.",,,,,,
"Source: Statistics Canada, Census of Population.",,,,,,
Last modified: 2009-10-05.,,,,,,
,,,,,,
