3. Households net acquisition of financial assets,,,,,,,,,
Instrument,Year,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008
Assets and liabilities total,2 484,2 569,3 521,6 009,7 149,9 116,8 501,6 766,4 473
Currency,202,-358,110,229,296,523,51,499,299
Transferable deposits,-40,1 531,822,2 779,2 137,2 176,359,784,2 403
Other deposits,490,494,53,-79,-322,2 927,1 288,5 619,5 176
Bonds,-271,941,133,-682,785,385,1 404,-673,665
Loans,65,40,55,104,51,145,275,-903,174
Quoted shares,-1 038,273,630,80,242,-398,10,-1 123,-93
Unquoted shares,-2 463,-3 715,-586,427,-113,-2 016,-700,-1 042,-1 277
Mutual funds shares,1 805,834,564,1 305,1 497,2 877,3 862,786,-4 334
Insurance technical reserves,3 043,2 268,1 555,2 264,2 090,3 108,1 649,2 061,1 404
Other accounts receivable and payable,379,-20,-174,-718,257,-741,151,498,161
,,,,,,,,,
"Source: Financial Accounts, Statistics Finland",,,,,,,,,
"Inquiries: Matti Okko +358-9-1734 3341, rahoitus.tilinpito@stat.fi",,,,,,,,,
Director in charge: Ari Tyrkkö,,,,,,,,,
