Expenditures on environmental protection by industry and activity ,,,,,
"(Operating: monitoring, assessments, reclamation, and wildlife)",,,,,
,2006  Operating expenditures,,,,
,Total $ millions,Environmental monitoring $ millions,Environmental assessments and audits $ millions,Reclamation and decommissioning $ millions,Wildlife and habitat protection $ millions
"Total, all industries","4,769.0",244.3,116.1,533.6,106.7
Logging,62.6,2.6,2.5,6.5,32.2
Oil and gas extraction,"1,082.6",50.5,43.3,344.1,16.4
Mining,277.0,20.8,8.3,49.8,2.1
"Electric power generation, transmission and distribution",381.2,37.9,13.5,58.8,14.5
Natural gas distribution,22.4,0.8,3.4,1.2,0.1
Food,317.9,10.8,4.7,F,x
Beverage and tobacco products,15.5,0.2,x,F,x
Wood products,181.8,4.1,2.4,12.4,F
Paper manufacturing,508.5,31.1,x,7.8,x
Petroleum and coal products,297.1,7.6,2.0,6.1,x
Chemicals,280.5,18.8,5.5,10.1,x
Non-metallic mineral products,73.0,6.2,1.5,2.8,0.1
Primary metals,610.9,34.5,8.6,16.8,1.4
Fabricated metal products,68.5,2.4,2.9,2.1,F
Transportation equipment,142.1,3.6,4.0,x,x
Other manufacturing industries,379.0,9.6,5.5,F,F
Pipeline transportation,68.3,2.6,2.7,6.6,2.0
x : suppressed to meet the confidentiality requirements of the Statistics Act,,,,,
F : too unreliable to be published.,,,,,
"Note: North American Industry Classification System (NAICS), 2007.",,,,,
"Source: Statistics Canada, CANSIM, table (for fee) 153-0052 and Catalogue no. 16F0006XIE.",,,,,
Last modified: 2010-02-11.,,,,,
,,,,,
