3.7 Part-time employed persons by sex 2010/02 - 2009/02,,,,,,
,Year/Month,,,Change 2010/02 - 2009/02 Per cent (%),,
,2010/02 1000 persons,2010/01 1000 persons,2009/02 1000 persons,,,
,,,,,,
Sex,,,,,,
Both sexes,373,357,368,"1,4",,
Males,132,127,118,"12,3",,
Females,241,230,250,"-3,7",,
,,,,,,
"Source: Labour force survey 2010, February. Statistics Finland",,,,,,
"Inquiries: Heidi Melasniemi-Uutela (09) 1734 2523, Kalle Sinivuori (09) 1734 3524, Juha Martikainen (09) 1734 3225, tyovoimatutkimus@stat.fi",,,,,,
Director in charge: Riitta Harala,,,,,,
