"8 Bankruptcies in private limited companies and public limited companies, by county and share capital (in NOK). 1st quarter 2009 and 2010",,,,,,,,,,,,
,1st quarter 2009,,,,,,1st quarter 2010,,,,,
,Total,50000,51 000-100 000,101 000-250 000,251 000-500 000,>500 000,Total,50000,51 000-100 000,101 000-250 000,251 000-500 000,>500 000
Total, 943,1, 491, 164, 104, 183, 740,-, 422,97,79, 142
Østfold,50,-,29,8,5,8,41,-,28,4,5,4
Akershus,80,-,50,14,4,12,69,-,49,7,3,10
Oslo, 131,-,78,9,10,34, 107,-,72,12,6,17
Hedmark,23,1,10,7,2,3,31,-,16,5,4,6
Oppland,38,-,17,10,4,7,27,-,12,4,5,6
Buskerud,52,-,31,9,7,5,48,-,29,8,4,7
Vestfold,61,-,31,6,7,17,51,-,30,4,5,12
Telemark,23,-,6,4,7,6,17,-,7,3,-,7
Aust-Agder,20,-,10,4,3,3,22,-,12,2,3,5
Vest-Agder,47,-,23,10,2,12,28,-,15,4,2,7
Rogaland,60,-,21,13,9,17,45,-,23,10,4,8
Hordaland,97,-,54,16,10,17,78,-,51,7,8,12
Sogn og Fjordane,23,-,9,3,6,5,16,-,6,2,3,5
Møre og Romsdal,58,-,21,10,10,17,44,-,16,10,8,10
Sør-Trøndelag,74,-,48,17,4,5,32,-,19,2,4,7
Nord-Trøndelag,24,-,9,7,4,4,17,-,9,1,4,3
Nordland,43,-,25,8,5,5,37,-,15,6,6,10
Troms,25,-,11,6,4,4,20,-,7,5,4,4
Finnmark,14,-,8,3,1,2,10,-,6,1,1,2
