Table 9. Numbers of outgoing short messages and multimedia messages from mobile phones in 2002-2008,,,,,
Year,"Short messages, thousands 1)","Change, %",Short messages/ subscription,"Multimedia messages, thousands","Change, %"
2002,1 324 668,,293,,
2003,1 647 218,"24,3",347,2 314,
2004,2 193 498,"33,2",439,7 386,"219,2"
2005,2 728 230,"24,4",507,15 993,"116,5"
2006,3 087 998,"13,2",544,21 568,"34,9"
2007,3 182 362,"3,1",524,28 682,"33,0"
2008,3 566 523,"12,1",517,37 801,"31,8"
"1) Including service requests in short message format, i.e. special SMS services subject to charge, such as ring tones, screen logos or news updates.",,,,,
,,,,,
"Source: Telecommunications 2008, Statistics Finland",,,,,
"Inquiries: Mervi Niemi (09) 1734 3263, Kari-Pekka Niemi (09) 1734 3399, tiede.teknologia@stat.fi",,,,,
Director in charge: Leena Storgårds,,,,,
