"Population aged 15 or over by level of education and gender, 2008",,,,,,
,"Population,",,Men,,Women,
, total,%, total,%, total,%
Total                                                                                                          ,"4,435,152",100,"2,156,478",100,"2,278,674",100
Basic education or less (ISCED 2 or less),"1,531,994",34.5,"752,984",34.9,"779,010",34.2
Population with educational qualifications,"2,903,158",65.5,"1,403,494",65.1,"1,499,664",65.8
Upper secondary education/Post-secondary non tertiary education (ISCED 3/4),"1,709,962",38.6,"884,436",41,"825,526",36.2
Tertiary level (ISCED 5/6),"1,193,196",26.9,"519,058",24.1,"674,138",29.6
    ISCED 5 B programmes,482.084,10.9,"187,807",8.7,"294,277",12.9
    ISCED 5 A Medium programmes (Bachelor level),"356,420",8,"162,178",7.5,"194,242",8.5
    ISCED 5 A Long/very long programmes (Master level),"321,172",7.2,"148,701",6.9,"172,471",7.6
    Second stage of tertiary Education (ISCED 6),"33,520",0.8,"20,372",0.9,"13,148",0.6
      Licentiate's degree,"9,590",0.2,"5,725",0.2,"3,865",0.2
      Doctor's degree,"23,930",0.6,"14,647",0.7,"9,283",0.4
,,,,,,
,,,,,,
Source: Education Statistics. Statistics Finland,,,,,,
"Inquiries: Ms Aila Repo +358 9 1734 3271, koulutustilastot@stat.fi",,,,,,
Director in charge: Mr Jari Tarkoma,,,,,,
