"Table 1. Prevalence of innovation activity by size category of personnel, 2006–2008, share of enterprises",,,,,,
,Product innovations (goods and services) %,Process innovations %,Product or process innovations %,Innovation projects %,Innovation activity %,All elements %
Total,31,36,45,26,48,14
"Manufacturing,",34,40,50,31,54,16
total 1),,,,,,
10 - 19,23,33,40,19,43,10
20 - 49,33,39,50,32,54,15
50 - 99,39,41,54,32,60,14
100 - 249,50,51,63,42,68,26
250 - 499,66,64,80,70,86,44
500 -,82,73,91,85,96,63
"Services,",29,32,39,22,43,13
total,,,,,,
10 - 19,22,25,32,19,36,10
20 - 49,36,39,46,21,48,15
50 - 99,26,26,35,20,40,6
100 - 249,44,48,59,35,62,21
250 - 499,40,44,51,38,54,28
500 -,58,56,66,57,69,43
"1) Including mining and quarrying (05–09), electricity, gas, steam and air conditioning supply (35), water supply; sewerage, waste management and remediation activities (36–39).",,,,,,
,,,,,,
"Source: Innovation 2008, Statistics Finland",,,,,,
"Inquiries: Mervi Niemi (09) 1734 3263, tiede.teknologia@stat.fi",,,,,,
Director in charge: Leena Storgårds,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
