"Age-standardized mortality rates by selected causes, by sex ",,,,,
(Both sexes),,,,,
,"2001 Both sexes rate per 100,000 population","2002 Both sexes rate per 100,000 population","2003 Both sexes rate per 100,000 population","2004 Both sexes rate per 100,000 population","2005 Both sexes rate per 100,000 population"
All causes of death [A00-Y89],600.8,598.2,586.9,571.9,563.7
Septicaemia [A40-A41],3.8,3.9,4,4,4.1
Viral hepatitis [B15-B19],0.9,1,1,1,1
Human immunodeficiency virus [HIV] disease [B20-B24],1.3,1.2,1.3,1.2,1.3
Malignant neoplasms [C00-C97],178.7,178.2,175.6,173.7,170.3
"  Malignant neoplasms of colon, rectum and anus [C18-C21]",18.4,19.1,18.3,18.7,18.6
  Malignant neoplasm of pancreas [C25],8.9,8.7,9.1,9.3,8.8
"  Malignant neoplasms of trachea, bronchus and lung [C33-C34]",47.3,47.8,47,46.6,46.2
  Malignant neoplasm of breast [C50],13.9,13.5,13.3,12.8,12.5
  Malignant neoplasm of prostate [C61]1,…,…,…,…,…
Diabetes mellitus [E10-E14],19.3,20.9,20.5,19.6,19.1
Alzheimer's disease [G30],13.9,13.7,13.1,12.7,12.7
"Diseases of heart [I00-I09, I11, I13, I20-I51]",143.1,138.6,133.3,126.8,121.5
  Ischaemic heart diseases [I20-I25],110.6,105.8,102.4,96.2,91
  Other heart diseases [I26-I51],29.8,29.7,27.8,27.7,27.7
Cerebrovascular diseases [I60-I69],40.4,39.5,37.7,34.9,32.5
Influenza and pneumonia [J10-J18],12.2,11.9,12,13.4,13.2
  Influenza [J10-J11],0.2,0.6,0.5,0.7,1.5
  Pneumonia [J12-J18],12,11.3,11.5,12.7,11.7
Chronic lower respiratory diseases [J40-J47],26.3,25.9,25.8,24.8,25.1
"Chronic liver disease and cirrhosis [K70, K73-K74]",6.5,6.6,6.4,6,6.1
  Alcoholic liver disease [K70],3.2,3.2,3.1,3,3
  Other chronic liver disease and cirrhosis [K73-K74],3.3,3.3,3.2,3,3
Renal failure [N17-N19],8.3,8.6,8.5,8.3,8.3
Certain conditions originating in the perinatal period [P00-P96],4,4,4.2,4.3,4.4
"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",3.3,3.3,3.3,3.1,3.2
"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",25.1,26,25.5,24.7,25.6
  Motor vehicle accidents2,8.3,9.2,9,8.7,9.2
  Falls [W00-W19],4.6,4.6,5,5.4,5.4
  Accidental poisoning and exposure to noxious substances [X40-X49],3,3.1,2.7,2.8,3
"Intentional self-harm (suicide) [X60-X84, Y87.0]",11.4,11.2,11.3,10.8,10.9
"Assault (homicide) [X85-Y09, Y87.1]",1.5,1.5,1.5,1.7,1.9
Notes: ,,,,,
1. This rate applies for males only.,,,,,
"2. Motor vehicle accidents include the following codes: V02 to V04, V09.0, V09.2, V12 to V14, V19.0 to V19.2, V19.4 to V19.6, V20 to V79, V80.3 to V80.5, V81.0 to V81.1, V82.0 to V82.1, V83 to V86, V87.0 to V87.8, V88.0 to V88.8, V89.0, V89.2.",,,,,
"Source: Statistics Canada, CANSIM, table 102-0552 and Catalogue no. 84F0209X.",,,,,
Last modified: 2010-04-13.,,,,,
,,,,,
