"Household size, by census metropolitan area (2006 Census) ",,,,
"(St. John's, Halifax, Moncton, Saint John)",,,,
,2006,,,
,St. John's (N.L.) (number),Halifax (N.S.) (number),Moncton (N.B.) (number),Saint John (N.B.) (number)
Total households1,"70,660","155,125","51,595","49,120"
1-person households,"15,780","43,025","12,590","12,520"
2-person households,"24,135","55,145","19,925","17,525"
3-person households,"14,140","25,720","8,885","8,245"
4-person households,"12,055","21,735","7,255","7,355"
5-person households,"3,525","7,325","2,220","2,690"
6-or-more person households,"1,025","2,175",715,785
Total persons in households,"178,715","367,975","123,725","120,175"
Average number of persons in household,2.5,2.4,2.4,2.4
"Source: Statistics Canada, 2006 Census of Population.",,,,
Last modified: 2009-06-29.,,,,
,,,,
