5.1 Fixed-term vacancies by province 2009/IV - 2008/IV,,,,,,,
,Year/Quarter,,,,,Change 2009/IV - 2008/IV,Change (%) 2009/IV - 2008/IV
,   2009/IV,   2009/III,   2009/II,   2009/I,   2008/IV,,
Province,,,,,,,
Total,9 100,12 400,24 100,26 700,10 400,-1 300,-12
Uusimaa,3 600,4 600,6 700,10 500,1 700,1 900,114
Southern Finland (excl. Uusimaa),1 800,1 400,3 500,2 700,1 500,300,17
Western Finland,2 100,3 000,8 600,9 600,3 700,-1 700,-45
Eastern Finland,700,1 600,1 900,2 200,900,-300,-27
Oulu+Lapland,1 000,1 700,3 400,1 700,2 500,-1 500,-59
,,,,,,,
"Source: Job vacancy survey 2009, 4th quarter 2009. Statistics Finland.",,,,,,,
Inquiries: Juha Martikainen (09) 1734 3225,,,,,,,
Director in charge: Riitta Harala,,,,,,,
