Table 4. Patents granted in Finland by IPC section in 2008,,,,
Industry,Patents granted in Finland,,European patents validated in Finland,
,Total,Finnish assignees,Total,Finnish assignees
Total of patents granted,998,729,5210,143
A: Human necessities,121,58,1109,24
"B: Performing operations, transporting",195,179,840,21
"C: Chemistry, metallurgy",127,47,1251,23
"D: Textiles, paper",119,99,212,11
E: Fixed constructions,31,27,201,9
F: Mechanical engineering,78,69,244,5
G: Physics,137,118,463,18
H: Electricity,190,132,890,32
,,,,
Source: Patenting 2008. Statistics Finland,,,,
"Inquiries: Ari Leppälahti (09) 1734 3237, tiede.teknologia@stat.fi",,,,
Director in charge: Leena Storgårds,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
