TABLE 10.1 MATHEMATICS LEARNING DIFICULTIES      ZOU867WS.TXT  Apr 14  8:24 2018,,,,,,,,,,,
INPUT: 153 Person  24 Item  REPORTED: 149 Person  24 Item  2 CATS  WINSTEPS 3.73,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,
Person: REAL SEP.: .85  REL.: .42 ... Item: REAL SEP.: 2.12  REL.: .82,,,,,,,,,,,
 ,,,,,,,,,,,
         Item STATISTICS:  MISFIT ORDER,,,,,,,,,,,
 ,,,,,,,,,,,
-------------------------------------------------------------------------------------------,,,,,,,,,,,
,ENTRY   TOTAL  TOTAL                         MODEL,   INFIT            ,  OUTFIT  ,PT-MEASURE ,EXACT MATCH,      ,,,,,
,NUMBER  SCORE  COUNT  MEASURE  S.E. ,MNSQ  ZSTD,MNSQ  ZSTD,CORR.  EXP., OBS%  EXP%, Item ,,,,,
,------------------------------------+----------+----------+-----------+-----------+------,,,,,,,,,,
,     5     37    153    1.24     .20,1.14   1.4,1.24   1.7,A .02   .25, 74.5  76.0, N5   ,,,,,
,     2     44    153     .99     .19,1.05    .6,1.17   1.5,B .16   .26, 70.6  71.8, N2   ,,,,,
,    16     51    153     .76     .18,1.13   1.9,1.17   1.8,C .07   .27, 62.7  68.2, N16  ,,,,,
,     4     61    153     .45     .17,1.05    .9,1.13   1.7,D .19   .28, 64.1  64.1, N4   ,,,,,
,     9     38    153    1.21     .19,1.09   1.0,1.12    .9,E .10   .25, 72.5  75.4, N9   ,,,,,
,     3     62    153     .43     .17,1.09   1.7,1.10   1.4,F .15   .28, 59.5  63.8, N3   ,,,,,
,    20     62    153     .43     .17,1.09   1.7,1.10   1.4,G .15   .28, 59.5  63.8, N20  ,,,,,
,     7     28    153    1.62     .21,1.03    .3,1.06    .4,H .17   .22, 81.0  81.7, N7   ,,,,,
,    12     70    153     .19     .17,1.06   1.2,1.05    .9,I .21   .29, 59.5  62.0, N12  ,,,,,
,     1     48    153     .86     .18,1.00    .1,1.05    .6,J .24   .27, 73.9  69.7, N1   ,,,,,
,     6     28    153    1.62     .21,1.01    .1,1.04    .3,K .19   .22, 82.4  81.7, N6   ,,,,,
,    10     59    153     .51     .17,1.03    .6,1.04    .5,L .23   .28, 64.1  64.9, N10  ,,,,,
,    24     37    153    1.24     .20,1.03    .3, .99    .0,l .22   .25, 75.8  76.0, N24  ,,,,,
,    14     32    153    1.44     .20,1.02    .2, .94   -.3,k .23   .23, 79.7  79.1, N14  ,,,,,
,    11     50    153     .79     .18,1.00    .0,1.01    .1,j .27   .27, 68.6  68.7, N11  ,,,,,
