#,,,
# station 3,,,
# time 20150330 03:38:13.451 UTC,,,
# unix 1427686693.000451,,,
# tag 1273,,,
# prf 532.0,,,
# len 1400,,,
# maxamp 4537.667237,,,
# snr 15.658653,,,
# peak 560,,,
# infl 544.23,,,
# freq 29850000,,,
# gate 67,,,
# chans 1,,,
# vel 25.25,,,
# idc ,347,,
# qdc ,698,,
# phase +0.00,,,
#,,,
# pulse     i0     q0   amp0   phs0,,,
      0   1085   ,121   1092   ,6.4,
      1   ,110    106    153 +136.1,,
      2     29    217    219  +82.4,,,
      3    725    193    750  +14.9,,,
      4  ,1316   ,225   1335 ,170.3
      5   ,308   ,669    736 ,114.7
      6    274   ,367    458  ,53.3,
      7   ,432   ,354    559 ,140.7
      8   ,466   ,372    596 ,141.4
      9    ,96   ,445    455 ,102.2
     10   ,532    546    762 +134.3,,
     11   ,206   ,202    289 ,135.6
     12     21   ,339    340  ,86.5,
     13    ,34    327    329  +95.9,,
     14   ,770   ,938   1214 ,129.4
     15   ,441    818    929 +118.3,,
     16   1048    965   1425  +42.6,,,
     17    203  ,1186   1203  ,80.3,
     18     27   ,609    610  ,87.5,
     19   ,235    ,22    236 ,174.7
     20   ,557    337    651 +148.8,,
     21   ,735   ,792   1081 ,132.9
     22   ,908    ,19    908 ,178.8
     23    123   ,219    251  ,60.7,
     24   ,237    ,98    256 ,157.5
     25   ,488    703    856 +124.8,,
     26   ,157   1020   1032  +98.8,,
     27   ,306    ,99    322 ,162.1
     28   ,663    286    722 +156.7,,
     29    172    256    308  +56.1,,,
     30   ,189   ,602    631 ,107.4
     31   ,287    276    398 +136.1,,
     32   ,475   ,496    687 ,133.8
     33   ,176    133    221 +142.9,,
     34    229    293    372  +52.0,,,
     35   ,593   ,663    890 ,131.8
     36    ,61   ,998   1000  ,93.5
     37    269   ,896    936  ,73.3,
     38    ,72    168    183 +113.2,,
     39   ,549   ,130    564 ,166.7
     40   ,551     39    552 +176.0,,
     41   ,262     30    264 +173.5,,
     42     49    141    149  +70.8,,,
     43   ,572    184    601 +162.2,,
     44    399    144    424  +19.8,,,
     45    422   ,544    688  ,52.2,
     46    371   ,482    608  ,52.4,
     47    100   ,966    971  ,84.1,
     48   ,722   1245   1439 +120.1,,
     49  ,1006   ,447   1101 ,156.0
     50    543   ,212    583  ,21.3,
     51    170    ,24    172   ,8.0,
     52    ,21    ,44     49 ,115.5
     53     25    157    159  +81.0,,,
     54   ,521    165    547 +162.4,,
     55    321   ,167    362  ,27.5,
     56   ,368    609    712 +121.1,,
     57   ,917   ,833   1239 ,137.7
     58   ,261   ,708    755 ,110.2
     59  ,1038    318   1086 +163.0,,
     60   ,457   ,613    765 ,126.7
     61    884   ,225    912  ,14.3,
     62    ,97    881    886  +96.3,,
     63   ,318    279    423 +138.7,,
     64   ,400     80    408 +168.7,,
     65    417   ,626    752  ,56.3,
     66   ,165   ,439    469 ,110.6
     67    411    489    639  +50.0,,,
     68   ,128   ,146    194 ,131.2
     69    212    218    304  +45.8,,,
     70    491    520    715  +46.6,,,
     71   ,310    734    797 +112.9,,
     72    ,94    ,38    101 ,158.0
     73    705     11    705   +0.9,,,
     74   ,724    795   1075 +132.3,,
     75   ,465    732    867 +122.4,,
     76    123     61    137  +26.4,,,
     77   ,423   ,412    590 ,135.8
     78     42   ,875    876  ,87.3,
     79   ,584   ,996   1155 ,120.4
     80   ,586    228    629 +158.7,,
     81   ,784    ,12    784 ,179.1
     82   ,505    342    610 +145.9,,
     83    499    671    836  +53.4,,,
     84     14   ,551    551  ,88.5,
     85     17    365    365  +87.3,,,
     86   ,157   ,242    288 ,123.0
     87   ,114   ,603    614 ,100.7
     88   ,184   ,452    488 ,112.2
     89    103     12    104   +6.6,,,
     90    198   ,511    548  ,68.8,
     91    383      1    383   +0.1,,,
     92    591   ,146    609  ,13.9,
     93   ,249    737    778 +108.7,,
     94   ,147   ,353    382 ,112.6
     95  ,1151    688   1341 +149.1,,
     96   ,792   ,704   1060 ,138.4
