,Single Phase Analysis Version 8.0: Basic Format,,,,,,,,,,,,,,,
,Source File: C:\Users\elsabe\Desktop\Dropbox\UCT-DataGathered\April2018\11April\050717.120218.100418.5Cycles3%.2.uvc,,,,,,,,,,,,,,,
,Operator: Elsabe,,,,,,,,,,,,,,,
,Sample ID: ,11,,,,,,,,,,,,,,
,Bar Code: ,1000,,,,,,,,,,,,,,
,File Comments: Run diam & basic tensile 1 cycle,,,,,,,,,,,,,,,
,Lower Area Filter: ,0,,,,,,,,,,,,,,
,Upper Area Filter: ,2000,,,,,,,,,,,,,,
,RECORD,MEAN AREA,ESTIMATED_LENGTH,GRADIENT,CORRECTED_EMOD,DECRIMPING_WORK,EXTENSION_WORK,START_X,START_Y,END_X,END_Y,ANALYSIS_WORK,BREAK_STRAIN,CORRECTED_BREAK_STRAIN,BREAK_LOAD,TENSILE_STRENGTH
,,sq. micron,mm,MPa/% Strain,Pascals,Joules,Joules,% Strain,MPa,% Strain,MPa,Joules,%_STRAIN,%_STRAIN,MPa,MPa
120218,1,6763.1,31.40,12.37,3.88E+08,2.45E-07,2.82E-06,31.42,0.29,31.63,2.81,2.17E-06,,,,
120218,2,,,,,,,,,,,,,,,
120218,3,6246.2,31.135,13.71,4.27E+08,1.06E-07,1.17E-05,31.18,0.62,31.47,4.57,4.82E-06,,,,
120218,4,5118.9,31.14,13.04,4.06E+08,1.63E-07,8.95E-06,31.18,0.53,31.51,4.71,4.55E-06,,,,
120218,5,4506.3,31.195,14.78,4.61E+08,8.00E-08,6.93E-06,31.23,0.51,31.46,3.90,2.28E-06,,,,
,,,,,,,,,,,,,,,,
050717,6,4006.7,30.794,12.62,3.89E+08,2.01E-08,1.76E-05,30.84,0.58,31.17,4.78,3.63E-06,,,,
050717,7,3848.4,30.613,13.63,4.17E+08,-4.91E-10,2.35E-05,30.62,0.09,30.94,4.41,2.83E-06,,,,
050717,8,3788.7,30.75,13.53,4.16E+08,4.66E-09,1.93E-05,30.77,0.27,31.16,5.46,4.31E-06,,,,
050717,9,3600.6,30.674,14.88,4.57E+08,1.96E-09,2.23E-05,30.68,0.10,31.04,5.37,3.59E-06,,,,
050717,10,3038.7,30.71,15.15,4.65E+08,4.91E-10,1.78E-05,30.71,0.00,31.06,5.18,2.76E-06,,,,
,,,,,,,,,,,,,,,,
100418,11,4111.7,31.316,1.737,5.44E+07,2.87E-07,3.72E-07,31.46,0.25,31.63,0.55,2.43E-07,,,,
100418,12,5804.6,31.291,2.647,8.28E+07,4.08E-07,9.98E-07,31.40,0.29,31.61,0.87,5.87E-07,,,,
100418,13,4473.2,31.409,7.777,2.44E+08,3.45E-07,1.12E-06,31.47,0.47,31.62,1.65,6.68E-07,,,,
100418,14,5468.6,31.099,10.8,3.36E+08,3.62E-07,9.15E-06,31.16,0.65,31.62,5.42,7.76E-06,,,,
100418,15,5097.6,31.194,11.78,3.68E+08,1.73E-07,6.46E-06,31.24,0.54,31.59,4.49,4.60E-06,,,,
