Industry,1997 NAICS    code \1,"Full-time equivalent (FTE) employees 2000   (1,000)","2001   (1,000)","2002   (1,000)","2003  (1,000)","2004  (1,000)","2005  (1,000)","2006  (1,000)","2007  (1,000)",Wage and salary accruals (million dollars) 1998 (million dollars),1999   (million dollars),2000   (million dollars),2001   (million dollars),2002   (million dollars),2003  (million dollars),2004  (million dollars),2005  (million dollars),2006  (million dollars),2007  (million dollars),Wage and salary accruals Per-Full-Time Equivalent Employee 1998 (dollars),1999   (dollars),2000   (dollars),2001   (dollars),2002   (dollars),2003  (dollars),2004  (dollars),2005  (dollars),2006  (dollars),2007  (dollars)
Manufacturing,31-33,16947.0,16190.0,15056.0,14306.0,14117.0,14041.0,13977.0,13692.0,674309.0,697647.0,749335.0,708759.0,675460.0,668860.0,686924.0,704029.0,731204.0,745987.0,39147.0,40930.0,44216.0,43778.0,44864.0,46753.0,48659.0,50140.0,52315.0,54482.0
Percent of all industries,(X),13.58945367942457,12.937096464872466,12.157328230097784,11.601278038178958,11.34460534563397,11.071859451019973,10.83563969579273,10.509026157435834,16.103739848426734,15.584259796413047,15.50188339189281,14.324327765560572,13.546213674243504,13.029596426532954,12.754695064073903,12.388194115005566,12.115825464800588,11.724282197388803,111.5,111.6,114.1,110.7,111.42736507463428,112.31142500240223,112.42837338262477,111.88717559636711,111.81524782525061,111.56114341878943
Durable goods,(X),10713.0,10193.0,9374.0,8856.0,8809.0,8870.0,8880.0,8703.0,443143.0,462858.0,503564.0,469519.0,441025.0,434330.0,450081.0,464614.0,487979.0,496807.0,41110.0,43240.0,47007.0,46063.0,47047.0,49046.0,51096.0,52383.0,54953.0,57083.0
Wood products,321.0,606.0,576.0,566.0,544.0,556.0,566.0,566.0,523.0,16919.0,17832.0,18408.0,17650.0,17573.0,17479.0,18827.0,19864.0,20010.0,18900.0,28340.0,28858.0,30360.0,30644.0,31058.0,32124.0,33866.0,35094.0,35381.0,36120.0
Nonmetallic mineral products,327.0,545.0,535.0,511.0,492.0,495.0,495.0,505.0,498.0,18602.0,19599.0,21186.0,20974.0,20666.0,20493.0,21267.0,22212.0,23296.0,23460.0,35012.0,36641.0,38879.0,39230.0,40481.0,41657.0,42935.0,44899.0,46101.0,47121.0
Primary metals,331.0,611.0,560.0,498.0,467.0,458.0,461.0,457.0,447.0,26677.0,27096.0,27962.0,25643.0,23208.0,22630.0,23693.0,24286.0,25384.0,25836.0,42674.0,44464.0,45745.0,45799.0,46575.0,48499.0,51715.0,52666.0,55528.0,57736.0
Fabricated metal products,332.0,1738.0,1645.0,1527.0,1457.0,1469.0,1503.0,1525.0,1530.0,60245.0,61360.0,65509.0,62803.0,59782.0,58784.0,61580.0,64668.0,68727.0,71839.0,34871.0,35487.0,37688.0,38169.0,39147.0,40335.0,41918.0,43020.0,45063.0,46948.0
Machinery,333.0,1420.0,1348.0,1209.0,1136.0,1125.0,1147.0,1164.0,1173.0,62997.0,62811.0,66549.0,62040.0,56984.0,55613.0,58041.0,60761.0,64268.0,67085.0,42596.0,43846.0,46882.0,46022.0,47117.0,48976.0,51593.0,52965.0,55203.0,57176.0
Computer and electronic products,334.0,1813.0,1728.0,1479.0,1336.0,1300.0,1296.0,1288.0,1256.0,98102.0,106880.0,129408.0,113215.0,98128.0,94418.0,96759.0,101109.0,107153.0,109020.0,53572.0,59829.0,71372.0,65528.0,66344.0,70695.0,74417.0,78032.0,83186.0,86792.0
"Electrical equipment, appliances, and components",335.0,568.0,548.0,491.0,455.0,440.0,429.0,429.0,423.0,21050.0,22199.0,24287.0,22388.0,20646.0,20028.0,20656.0,20674.0,21633.0,22214.0,37228.0,40204.0,42732.0,40861.0,42051.0,43983.0,46935.0,48159.0,50439.0,52555.0
"Motor vehicles, bodies and trailers, and parts",3361-3363,1283.0,1198.0,1143.0,1106.0,1106.0,1094.0,1058.0,983.0,57396.0,61653.0,63816.0,58394.0,58720.0,59947.0,60436.0,59142.0,59673.0,57069.0,45235.0,47838.0,49727.0,48732.0,51390.0,54204.0,54649.0,54042.0,56405.0,58061.0
Other transportation equipment,3364-3365,736.0,714.0,673.0,642.0,648.0,671.0,688.0,709.0,39139.0,38992.0,38735.0,39376.0,38984.0,38424.0,40577.0,43055.0,47221.0,49714.0,49443.0,50723.0,52612.0,55175.0,57952.0,59859.0,62606.0,64162.0,68597.0,70115.0
Furniture and related products,337.0,664.0,630.0,593.0,559.0,561.0,555.0,549.0,520.0,17059.0,18161.0,19683.0,18848.0,18271.0,17942.0,18537.0,18846.0,19290.0,19019.0,26778.0,27631.0,29660.0,29911.0,30823.0,32088.0,33062.0,33976.0,35162.0,36607.0
Miscellaneous manufacturing,339.0,728.0,711.0,685.0,662.0,650.0,652.0,651.0,641.0,24957.0,26274.0,28021.0,28188.0,28063.0,28572.0,29706.0,30001.0,31324.0,32651.0,34414.0,36135.0,38504.0,39630.0,40973.0,43153.0,45696.0,45998.0,48144.0,50952.0
Nondurable goods,(X),6235.0,5997.0,5681.0,5451.0,5309.0,5172.0,5097.0,4989.0,231166.0,234791.0,245771.0,239240.0,234435.0,234530.0,236843.0,239415.0,243225.0,249180.0,35863.0,37030.0,39420.0,39895.0,41264.0,43028.0,44615.0,46293.0,47719.0,49945.0
Food and beverage and tobacco products,311-312,1719.0,1718.0,1702.0,1670.0,1648.0,1628.0,1632.0,1636.0,53307.0,54788.0,58651.0,59611.0,60437.0,61424.0,62024.0,62964.0,64689.0,67016.0,31253.0,31933.0,34110.0,34702.0,35482.0,36788.0,37622.0,38659.0,39647.0,40955.0
Textile mills and textile product mills,313-314,584.0,521.0,474.0,436.0,405.0,374.0,345.0,321.0,16737.0,16527.0,16947.0,15386.0,14527.0,13597.0,13236.0,12545.0,11944.0,11464.0,25138.0,26671.0,29018.0,29537.0,30632.0,31219.0,32673.0,33545.0,34621.0,35716.0
Apparel and leather and allied products,315.0,538.0,486.0,408.0,359.0,333.0,301.0,280.0,253.0,14904.0,13767.0,13336.0,11943.0,10749.0,9997.0,9816.0,9373.0,9130.0,8789.0,22873.0,23115.0,24769.0,24568.0,26365.0,27883.0,29516.0,31161.0,32654.0,34714.0
Paper products,322.0,596.0,564.0,528.0,502.0,485.0,469.0,458.0,447.0,25924.0,26486.0,27165.0,26445.0,25610.0,25172.0,24874.0,24852.0,24874.0,24921.0,42087.0,43652.0,45578.0,46911.0,48497.0,50192.0,51338.0,52983.0,54255.0,55758.0
Printing and related support activities,323.0,767.0,764.0,705.0,675.0,663.0,641.0,635.0,625.0,28058.0,28764.0,29874.0,28644.0,27063.0,26565.0,26895.0,26857.0,27313.0,27568.0,36271.0,37138.0,38966.0,37476.0,38384.0,39353.0,40537.0,41887.0,43034.0,44078.0
Petroleum and coal products,324.0,120.0,118.0,116.0,114.0,109.0,111.0,110.0,113.0,7849.0,7506.0,7506.0,7658.0,7654.0,7831.0,8211.0,9003.0,9639.0,10627.0,60920.0,59769.0,62310.0,64768.0,65972.0,68709.0,75222.0,81403.0,87360.0,93651.0
Chemical products,325.0,968.0,946.0,913.0,891.0,872.0,861.0,853.0,848.0,53550.0,55415.0,58984.0,58050.0,57306.0,58977.0,60247.0,62083.0,63137.0,66780.0,55421.0,57284.0,60928.0,61393.0,62782.0,66223.0,69092.0,72126.0,73993.0,78717.0
Plastics and rubber products,326.0,942.0,880.0,835.0,806.0,793.0,787.0,784.0,744.0,30837.0,31537.0,33308.0,31503.0,31089.0,30965.0,31540.0,31738.0,32499.0,32014.0,32868.0,33718.0,35375.0,35794.0,37212.0,38433.0,39764.0,40341.0,41451.0,43008.0
