Metropolitan Statistical Area,"Population characteristics, 2008 Total  persons (July 1, 2008)",Number of persons by age group Under 18 years,18 to 44 years,45 to 64 years,65 to 74 years,75 years and over,Percent distribution Under 18 years,18 to 44 years,45 to 64 years,65 to 74 years,75 years and over
"Abilene, TX",159521.0,39714.0,60881.0,36539.0,11305.0,11082.0,24.895781746603895,38.16488111283154,22.905448185505357,7.086841230935112,6.947047724124096
"Akron, OH",698553.0,160475.0,250446.0,193089.0,48245.0,46298.0,22.97248741326714,35.852111436068554,27.641281334415567,6.906419412700253,6.627700403548478
"Albany, GA",164919.0,42972.0,60305.0,41650.0,10792.0,9200.0,26.05642770087134,36.56643564416471,25.254822064164834,6.543818480587441,5.578496110211679
"Albany-Schenectady-Troy, New York",853919.0,180903.0,324169.0,232529.0,57078.0,59240.0,21.185030430286712,37.96249995608483,27.23080292158858,6.684240542721264,6.937426149318612
"Albuquerque, New Mexico",845913.0,211097.0,315855.0,216064.0,54093.0,48804.0,24.954930353357852,37.33894620368761,25.54210657597176,6.394629234921322,5.769387632061453
"Alexandria, LA",153105.0,39341.0,54264.0,38729.0,11223.0,9548.0,25.69543777146403,35.44234348976193,25.295712093008067,7.330263544626236,6.236243101139741
"Allentown-Bethlehem-Easton, Pennsylvania-New Jersey",808210.0,182515.0,284675.0,220527.0,56897.0,63596.0,22.582620853491047,35.222899988864285,27.285853924103886,7.039878249464866,7.868746984075921
"Altoona, PA",125174.0,26402.0,42311.0,34813.0,10153.0,11495.0,21.092239602473356,33.80174796683017,27.811686132902995,8.11110933580456,9.183216961988911
"Amarillo, TX",243838.0,64968.0,93194.0,57953.0,14258.0,13465.0,26.643919323485264,38.21963762826139,23.767009243842224,5.847324863228865,5.52210894118226
"Ames, Iowa",86754.0,15909.0,45594.0,16316.0,4240.0,4695.0,18.338059340203333,52.55550176360744,18.80720197339604,4.887382714341702,5.411854208451484
"Anchorage, AK",364701.0,94706.0,147368.0,96468.0,16301.0,9858.0,25.968121831308387,40.40789578312097,26.451257331348145,4.4696888684154965,2.7030361858070036
"Anderson, IN",131501.0,29819.0,45915.0,34871.0,10724.0,10172.0,22.675873187276142,34.916084288332414,26.51766906715538,8.155071064098372,7.735302393137694
"Anderson, SC",182825.0,43340.0,63391.0,49151.0,14756.0,12187.0,23.705729522767673,34.67304799671817,26.884178859565154,8.071106249145357,6.665937371803637
"Ann Arbor, MI",347376.0,74386.0,156121.0,84353.0,18098.0,14418.0,21.413684307493895,44.94294366910783,24.282909585002994,5.209916632121966,4.150545806273318
"Anniston-Oxford, AL",113419.0,26279.0,39692.0,30296.0,9094.0,8058.0,23.169839268552888,34.99590015782188,26.711573898553155,8.018056939313519,7.104629735758559
"Appleton, WI",219720.0,54936.0,80898.0,58270.0,13170.0,12446.0,25.002730748225016,36.818678317859096,26.520116511924268,5.99399235390497,5.664482068086656
"Asheville, NC",408436.0,86489.0,137849.0,111073.0,35910.0,37115.0,21.17565542704365,33.750452947340584,27.19471349244435,8.79207513539453,9.087102997776885
"Athens-Clarke County, GA",189264.0,41222.0,90578.0,39045.0,9987.0,8432.0,21.780158931439683,47.85801842928396,20.629913771240172,5.276756276946488,4.4551525910896945
"Atlanta-Sandy Springs-Marietta, Georgia",5376285.0,1443448.0,2132294.0,1352577.0,265548.0,182418.0,26.84842786422223,39.66110427553598,25.15820868871349,4.939247082325434,3.3930120892028603
"Atlantic City, NJ",270681.0,64306.0,97521.0,70368.0,19397.0,19089.0,23.75711631034317,36.02801822070999,25.996652886608224,7.165999830058261,7.05221275228036
"Auburn-Opelika, AL",133010.0,29738.0,63212.0,28217.0,6842.0,5001.0,22.357717464852268,47.524246297270885,21.21419442147207,5.143974137282911,3.7598676791218706
"Augusta-Richmond County, GA-SC",534218.0,135645.0,191605.0,141226.0,35755.0,29987.0,25.391319648532996,35.86644403595536,26.43602424478396,6.692960551684893,5.613251519042787
"Austin-Round Rock, Texas",1652602.0,430116.0,728027.0,369444.0,69757.0,55258.0,26.02659321482123,44.05337764325591,22.355291836751984,4.221040516712433,3.343696788458443
"Bakersfield, California",800458.0,238789.0,328053.0,161938.0,38745.0,32933.0,29.831546439663292,40.98316213967503,20.23066794260286,4.840353897393742,4.114269580665069
"Baltimore-Towson, Maryland",2667117.0,629656.0,986295.0,721951.0,174317.0,154898.0,23.608113179886747,36.97981753331406,27.06859129164562,6.535783769515922,5.807694225637645
