Item,1975.0,1980.0,1985.0,1990.0,1995.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Male,5.0,6.4,4.9,4.1,5.4,4.1,4.7,5.3,3.0,3.9,4.9,3.37566,3.9,2.8
Female,5.8,4.9,4.7,3.8,4.8,4.7,4.0,3.8,3.0,3.4,3.5,2.73601,3.1,2.7
Male,8.3,8.0,8.3,6.9,7.9,5.2,7.6,6.1,5.1,4.1,4.8,7.53145,3.2,4.9
Female,9.0,8.5,7.2,8.6,4.4,6.8,3.8,5.4,3.8,4.9,5.7,6.19054,4.3,3.6
Male,10.1,16.9,9.3,7.6,10.9,6.9,7.1,7.6,6.2,7.7,11.5,5.5983,6.3,5.5
Female,11.6,6.9,9.8,7.7,12.5,7.3,6.5,8.7,4.4,5.4,4.6,3.87429,6.6,5.6
Male,13.5,15.7,14.7,15.4,14.3,13.9,13.5,15.3,13.7,13.3,13.7,13.2,12.4,11.7
Female,14.2,13.2,12.3,12.8,13.0,11.8,10.9,11.4,10.6,9.8,10.0,9.4,9.2,8.3
Male,27.8,26.0,18.8,18.6,14.2,16.3,17.4,16.9,16.9,16.7,17.9,14.8,11.2,10.0
Female,26.9,21.5,16.6,14.5,14.6,15.7,13.5,11.0,12.5,12.0,12.7,11.2,14.7,10.3
Male,32.6,42.6,35.8,40.3,34.2,36.4,36.8,37.1,33.8,31.7,33.5,32.1,31.0,29.2
Female,36.8,38.1,27.0,35.0,35.4,31.1,27.3,25.5,25.6,24.7,21.7,21.8,21.0,21.1
