Major institution ranked by total 2007 federal research and development obligations,Obligations (millions) 2004.0,2005.0,2006.0,2007.0,Rank 2004.0,2005.0,2006.0,2007.0,Obligation (thousands) 2004.0,2005.0,2006.0,2007.0
"51 institutions, percent of total",61.7,61.2,61.8,63.0,(X),(X),(X),(X),(X),(X),(X),(X)
Johns Hopkins University,1034.915,1045.44,1251.535,1186.768,1.0,1.0,1.0,1.0,1034915.0,1045440.0,1251535.0,1186768.0
University of Washington,589.616,601.133,615.605,612.498,2.0,2.0,2.0,2.0,589616.0,601133.0,615605.0,612498.0
University of Michigan,477.284,473.644,516.435,501.837,4.0,5.0,3.0,3.0,477284.0,473644.0,516434.99999999994,501837.0
University of Pennsylvania,494.194,519.62,497.69,498.549,3.0,3.0,4.0,4.0,494194.0,519620.0,497690.0,498549.0
University of California--Los Angeles,470.319,499.419,478.746,480.679,6.0,4.0,5.0,5.0,470319.0,499419.0,478746.0,480679.0
Duke University,392.611,431.972,472.674,470.842,9.0,8.0,6.0,6.0,392611.0,431972.0,472674.0,470842.0
University of California--San Diego,420.251,401.669,401.782,433.801,7.0,13.0,14.0,7.0,420251.0,401669.0,401782.0,433801.0
University of California--San Francisco,395.509,447.246,441.929,433.388,8.0,7.0,9.0,8.0,395509.0,447246.0,441929.0,433388.0
Harvard University,379.065,405.546,420.812,429.693,11.0,10.0,11.0,9.0,379065.0,405546.0,420812.0,429693.0
University of Pittsburgh,371.919,405.357,426.862,426.764,12.0,11.0,10.0,10.0,371919.0,405357.0,426862.0,426764.0
Columbia University--City of New York,369.532,419.94,467.815,426.399,13.0,9.0,7.0,11.0,369532.0,419940.0,467815.0,426399.0
Stanford University,472.297,460.854,458.258,425.931,5.0,6.0,8.0,12.0,472297.0,460854.0,458258.0,425931.0
Washington University,386.432,403.249,410.695,407.809,10.0,12.0,12.0,13.0,386432.0,403249.0,410695.0,407809.0
Yale University,342.976,356.341,361.942,387.298,15.0,15.0,16.0,14.0,342976.0,356341.0,361942.0,387298.0
Massachusetts Institute of Technology,340.213,342.758,406.549,381.753,16.0,16.0,13.0,15.0,340213.0,342758.0,406549.0,381753.0
University of Minnesota,328.702,329.331,331.568,371.293,18.0,18.0,19.0,16.0,328702.0,329331.0,331568.0,371293.0
University of Wisconsin--Madison,364.033,374.705,373.832,369.31,14.0,14.0,15.0,17.0,364033.0,374705.0,373832.0,369310.0
Pennsylvania State University,316.203,270.219,302.622,355.3,20.0,24.0,21.0,18.0,316203.0,270219.0,302622.0,355300.0
University of North Carolina at Chapel Hill,305.663,323.032,343.442,353.478,21.0,20.0,17.0,19.0,305663.0,323032.0,343442.0,353478.0
Vanderbilt University,259.476,279.238,306.418,331.244,23.0,23.0,20.0,20.0,259476.0,279238.0,306418.0,331244.0
University of Colorado,336.709,336.154,340.292,330.323,17.0,17.0,18.0,21.0,336709.0,336154.0,340292.0,330323.0
Cornell University,328.58,323.254,299.268,326.385,19.0,19.0,22.0,22.0,328580.0,323254.0,299268.0,326385.0
Case Western Reserve University,241.479,287.651,277.867,278.897,26.0,22.0,23.0,23.0,241479.0,287651.0,277867.0,278897.0
University Southern California,288.312,314.804,266.528,262.18,22.0,21.0,24.0,24.0,288312.0,314804.0,266528.0,262180.0
University of Rochester,236.305,248.538,252.314,255.201,27.0,26.0,25.0,25.0,236305.0,248538.0,252314.0,255201.0
Northwestern University,208.5,215.524,222.607,254.969,33.0,34.0,31.0,26.0,208500.0,215524.0,222607.0,254969.0
University of Chicago,209.502,227.089,219.814,248.571,31.0,30.0,32.0,27.0,209502.0,227089.0,219814.0,248571.0
Emory University,213.998,223.515,228.142,247.941,29.0,31.0,30.0,28.0,213998.0,223515.0,228142.0,247941.0
University of California--Davis,205.134,217.305,236.366,243.149,35.0,33.0,27.0,29.0,205134.0,217305.0,236366.0,243149.0
University of Alabama--Birmingham,211.64,232.904,235.393,235.077,30.0,29.0,28.0,30.0,211640.0,232904.0,235393.0,235077.0
Baylor College of Medicine,252.565,250.913,236.522,227.876,24.0,25.0,26.0,31.0,252565.0,250913.0,236522.0,227876.0
University of California--Irvine,157.623,165.015,161.304,219.585,48.0,47.0,50.0,32.0,157623.0,165015.0,161304.0,219585.0
Ohio State University,202.935,219.072,206.743,217.57,36.0,32.0,34.0,33.0,202935.0,219072.0,206743.0,217570.0
University of California--Berkeley,246.944,245.465,228.797,214.549,25.0,27.0,29.0,34.0,246944.0,245465.0,228797.0,214549.0
University of Arizona,206.926,201.403,201.51,212.504,34.0,35.0,36.0,35.0,206926.0,201403.0,201510.0,212504.0
University of Illinois--Urbana Champaign,198.224,188.275,185.62,210.499,37.0,38.0,39.0,36.0,198224.0,188275.0,185620.0,210499.0
Boston University,208.705,200.411,204.715,208.68,32.0,36.0,35.0,37.0,208705.0,200411.0,204715.0,208680.0
University of Iowa,178.127,182.228,193.046,208.394,40.0,41.0,38.0,38.0,178127.0,182228.0,193046.0,208394.0
The Scripps Research Institute,229.115,241.195,217.452,199.031,28.0,28.0,33.0,39.0,229115.0,241195.0,217452.0,199031.0
University of Virginia,188.803,185.599,176.397,198.978,38.0,39.0,42.0,40.0,188803.0,185599.0,176397.0,198978.0
University of Texas Southwestern Medical Center Dallas,167.698,170.879,173.382,191.047,42.0,45.0,43.0,41.0,167698.0,170879.0,173382.0,191047.0
Oregon Health & Science University,166.003,182.302,193.623,189.66,43.0,40.0,37.0,42.0,166003.0,182302.0,193623.0,189660.0
Mt. Sinai School of Medicine,157.678,180.162,177.049,187.319,47.0,43.0,41.0,43.0,157678.0,180162.0,177049.0,187319.0
University of Florida,178.962,196.955,184.558,183.795,39.0,37.0,40.0,44.0,178962.0,196955.0,184558.0,183795.0
New York University,153.124,176.712,169.198,178.245,50.0,44.0,45.0,45.0,153124.0,176712.0,169198.0,178245.0
Georgia Institute of Technology,102.695,137.153,145.856,174.486,67.0,53.0,52.0,46.0,102695.0,137153.0,145856.0,174486.0
University of Illinois--Chicago,148.35,158.342,166.654,172.492,53.0,49.0,48.0,47.0,148350.0,158342.0,166654.0,172492.0
University of Texas M.D. Anderson Cancer Center,157.773,157.317,165.883,168.188,46.0,50.0,49.0,48.0,157773.0,157317.0,165883.0,168188.0
Indiana University,168.017,168.925,166.672,166.98,41.0,46.0,47.0,49.0,168017.0,168925.0,166672.0,166980.0
University of Utah,165.709,154.603,167.725,164.684,44.0,51.0,46.0,50.0,165709.0,154603.0,167725.0,164684.0
George Washington University,65.402,129.252,94.701,161.051,96.0,58.0,76.0,51.0,65402.0,129252.00000000001,94701.0,161051.0
California Institute of Technology,154.311,163.925,154.81,155.763,49.0,48.0,51.0,52.0,154311.0,163925.0,154810.0,155763.0
University of Maryland at Baltimore,149.776,181.504,171.916,154.34,51.0,42.0,44.0,53.0,149776.0,181504.0,171916.0,154340.0
University of Texas at Austin,149.199,133.504,131.787,153.631,52.0,54.0,55.0,54.0,149199.0,133504.0,131787.0,153631.0
University of Miami,140.269,129.345,121.012,141.255,54.0,57.0,57.0,55.0,140269.0,129345.0,121012.0,141255.0
University of Maryland-- College Park,111.129,124.945,131.21,137.42,60.0,60.0,56.0,56.0,111129.0,124945.0,131210.0,137420.0
Yeshiva University,162.43,147.929,138.873,128.547,45.0,52.0,53.0,59.0,162430.0,147929.0,138873.0,128547.0
Carnegie Mellon University,114.116,105.387,94.911,114.737,57.0,71.0,75.0,64.0,114116.0,105387.0,94911.0,114737.0
