Type of fund and program,1990.0,1995.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Funds available \1,170.8,152.1,85.2,94.0,100.5,101.0,105.5,108.8,112.8,111.7
Program appropriation \2,152.3,109.0,79.6,86.7,95.8,95.2,99.3,99.5,100.7,100.3
Grants awarded (number) \3,4252.0,3685.0,1906.0,2093.0,2147.0,1885.0,2150.0,2161.0,2293.0,2158.0
"Funds obligated \4, \5",157.6,147.9,83.5,92.5,98.6,99.3,102.6,104.4,107.0,106.5
Funds available \1,140.6,152.3,102.6,106.8,110.1,111.6,127.1,119.8,121.5,122.3
Program appropriation,114.2,125.7,82.7,86.4,89.9,89.3,98.7,99.9,102.2,102.2
Matching funds \6,26.3,25.7,15.1,15.6,16.1,16.0,15.9,15.9,15.2,15.2
Grants awarded (number),2195.0,1871.0,1230.0,1290.0,1252.0,963.0,1246.0,1174.0,1282.0,1091.0
Funds obligated \4,141.0,151.8,100.0,105.7,106.1,100.1,125.117,117.8,120.3,121.1
Education programs,16.3,19.2,13.0,12.1,12.1,11.3,17.4,14.6,14.4,16.6
State partnership,29.6,32.0,30.6,32.1,32.8,33.0,36.3,36.9,38.7,38.8
Research grants,22.5,22.2,6.9,7.0,7.0,7.9,8.4,7.1,8.7,9.0
Fellowships,15.3,16.5,6.1,7.0,7.7,6.9,8.1,8.9,7.2,6.8
Challenge \7,14.6,13.8,10.8,11.9,13.4,8.3,12.6,12.7,10.5,10.3
Public programs,25.4,25.8,11.8,16.3,13.2,12.7,18.3,14.4,15.5,13.8
Preservation and access,17.5,22.2,20.7,19.2,19.8,20.7,23.7,22.4,24.5,23.9
