Dates,E.CINERGY.INTO - PKWeightedAvg
,"Cinergy into, East, Megawatt Daily Price Survey"
2000-03-20 00:00:00,23.52
2000-03-21 00:00:00,23.47
2000-03-22 00:00:00,26.74
2000-03-23 00:00:00,24.05
2000-03-24 00:00:00,26.46
2000-03-27 00:00:00,26
2000-03-28 00:00:00,28.46
2000-03-29 00:00:00,29.42
2000-03-30 00:00:00,27.35
2000-03-31 00:00:00,23.65
2000-04-03 00:00:00,26.26
2000-04-04 00:00:00,27.04
2000-04-05 00:00:00,27.33
2000-04-06 00:00:00,28.45
2000-04-07 00:00:00,23.63
2000-04-08 00:00:00,25
2000-04-09 00:00:00,22
2000-04-10 00:00:00,27.53
2000-04-11 00:00:00,29.95
2000-04-12 00:00:00,29.26
2000-04-13 00:00:00,27.89
2000-04-14 00:00:00,28.2
2000-04-15 00:00:00,21.75
2000-04-16 00:00:00,21.75
2000-04-17 00:00:00,29.12
2000-04-18 00:00:00,30.08
2000-04-19 00:00:00,39.45
2000-04-20 00:00:00,35.91
2000-04-21 00:00:00,25.8
2000-04-23 00:00:00,18.5
2000-04-24 00:00:00,34.82
2000-04-25 00:00:00,25
2000-04-26 00:00:00,24.1
2000-04-27 00:00:00,23.71
2000-04-28 00:00:00,23.99
2000-05-01 00:00:00,24.19
2000-05-02 00:00:00,24.49
2000-05-03 00:00:00,26.24
2000-05-04 00:00:00,31.9
2000-05-05 00:00:00,52.1
2000-05-08 00:00:00,57.93
2000-05-09 00:00:00,129.62
2000-05-10 00:00:00,74.42
2000-05-11 00:00:00,45.68
2000-05-12 00:00:00,72.03
2000-05-15 00:00:00,30.72
2000-05-16 00:00:00,24.34
2000-05-17 00:00:00,26.51
2000-05-18 00:00:00,44.44
2000-05-19 00:00:00,34.05
2000-05-20 00:00:00,23
2000-05-21 00:00:00,23
2000-05-22 00:00:00,40.99
2000-05-23 00:00:00,34.76
2000-05-24 00:00:00,51.12
2000-05-25 00:00:00,35.83
2000-05-26 00:00:00,33.44
2000-05-27 00:00:00,24.28
2000-05-28 00:00:00,22.5
2000-05-30 00:00:00,25.05
2000-05-31 00:00:00,37.28
2000-06-01 00:00:00,74.19
2000-06-02 00:00:00,58.54
2000-06-05 00:00:00,22.79
2000-06-06 00:00:00,16.63
2000-06-07 00:00:00,16.66
2000-06-08 00:00:00,27.5
2000-06-09 00:00:00,52.8
2000-06-10 00:00:00,43.16
2000-06-11 00:00:00,37.5
2000-06-12 00:00:00,69.27
2000-06-13 00:00:00,40.59
2000-06-14 00:00:00,40.47
2000-06-15 00:00:00,39.27
2000-06-16 00:00:00,41.61
2000-06-19 00:00:00,36.94
2000-06-20 00:00:00,33.48
2000-06-21 00:00:00,25.11
2000-06-22 00:00:00,36.34
2000-06-23 00:00:00,43.57
2000-06-24 00:00:00,39.78
2000-06-25 00:00:00,32
2000-06-26 00:00:00,45.25
2000-06-27 00:00:00,39.96
2000-06-28 00:00:00,26.58
2000-06-29 00:00:00,19.08
2000-06-30 00:00:00,19.81
2000-07-03 00:00:00,50.41
2000-07-05 00:00:00,51.17
2000-07-06 00:00:00,35.35
2000-07-07 00:00:00,36.64
2000-07-08 00:00:00,34.5
2000-07-09 00:00:00,34.5
2000-07-10 00:00:00,102.5
2000-07-11 00:00:00,45.01
2000-07-12 00:00:00,37.88
2000-07-13 00:00:00,35.35
2000-07-14 00:00:00,33.47
2000-07-15 00:00:00,24.85
2000-07-16 00:00:00,24.85
2000-07-17 00:00:00,58.47
2000-07-18 00:00:00,40
2000-07-19 00:00:00,29.74
2000-07-20 00:00:00,28.96
2000-07-21 00:00:00,25.19
2000-07-24 00:00:00,23.43
2000-07-25 00:00:00,20.54
2000-07-26 00:00:00,20.44
2000-07-27 00:00:00,26.27
2000-07-28 00:00:00,35.76
2000-07-31 00:00:00,43.47
2000-08-01 00:00:00,41.66
2000-08-02 00:00:00,43.27
2000-08-03 00:00:00,44.06
2000-08-04 00:00:00,36.81
2000-08-05 00:00:00,23.5
2000-08-06 00:00:00,23.5
2000-08-07 00:00:00,57.19
2000-08-08 00:00:00,86.07
2000-08-09 00:00:00,107.32
2000-08-10 00:00:00,49.93
2000-08-11 00:00:00,36.07
2000-08-12 00:00:00,26
2000-08-13 00:00:00,26
2000-08-14 00:00:00,57.67
2000-08-15 00:00:00,53.67
2000-08-16 00:00:00,34.16
2000-08-17 00:00:00,26.62
2000-08-18 00:00:00,25.31
2000-08-21 00:00:00,25.36
2000-08-22 00:00:00,23.73
2000-08-23 00:00:00,24.55
2000-08-24 00:00:00,30.21
2000-08-25 00:00:00,37.06
2000-08-28 00:00:00,49.92
2000-08-29 00:00:00,65.77
2000-08-30 00:00:00,52.38
2000-08-31 00:00:00,62.73
2000-09-01 00:00:00,63.04
2000-09-02 00:00:00,33
2000-09-05 00:00:00,31.87
2000-09-06 00:00:00,18.59
2000-09-07 00:00:00,16.66
2000-09-08 00:00:00,17.58
2000-09-11 00:00:00,31.08
2000-09-12 00:00:00,30.75
2000-09-13 00:00:00,25.22
2000-09-14 00:00:00,24.21
2000-09-15 00:00:00,18.57
2000-09-18 00:00:00,18.42
2000-09-19 00:00:00,25.34
2000-09-20 00:00:00,29.6
2000-09-21 00:00:00,18.14
2000-09-22 00:00:00,17.98
2000-09-23 00:00:00,14
2000-09-24 00:00:00,14
2000-09-25 00:00:00,17.59
2000-09-26 00:00:00,16.42
2000-09-27 00:00:00,14.71
2000-09-28 00:00:00,16.38
2000-09-29 00:00:00,18.17
2000-10-02 00:00:00,26.18
2000-10-03 00:00:00,38.99
2000-10-04 00:00:00,33.72
2000-10-05 00:00:00,29.66
2000-10-06 00:00:00,32.11
2000-10-07 00:00:00,24.5
2000-10-08 00:00:00,24.5
2000-10-09 00:00:00,36.76
2000-10-10 00:00:00,26.79
2000-10-11 00:00:00,24.55
2000-10-12 00:00:00,22.44
2000-10-13 00:00:00,24.11
2000-10-16 00:00:00,25.37
2000-10-17 00:00:00,33.71
2000-10-18 00:00:00,36.75
2000-10-19 00:00:00,35.63
2000-10-20 00:00:00,32.95
2000-10-21 00:00:00,21
2000-10-22 00:00:00,21
2000-10-23 00:00:00,35.76
2000-10-24 00:00:00,38.44
2000-10-25 00:00:00,45.12
2000-10-26 00:00:00,45.26
2000-10-27 00:00:00,33.2
2000-10-28 00:00:00,20.5
2000-10-29 00:00:00,20.5
2000-10-30 00:00:00,34.06
2000-10-31 00:00:00,35.24
2000-11-01 00:00:00,38.11
2000-11-02 00:00:00,42.01
2000-11-03 00:00:00,37.28
2000-11-06 00:00:00,36.69
2000-11-07 00:00:00,29.6
2000-11-08 00:00:00,34.66
2000-11-09 00:00:00,38.03
2000-11-10 00:00:00,37.69
2000-11-11 00:00:00,23.25
2000-11-12 00:00:00,23.25
2000-11-13 00:00:00,43.31
2000-11-14 00:00:00,41.64
2000-11-15 00:00:00,36.22
2000-11-16 00:00:00,48.18
2000-11-17 00:00:00,43.77
2000-11-18 00:00:00,30
2000-11-19 00:00:00,30
2000-11-20 00:00:00,47.13
2000-11-21 00:00:00,64.67
2000-11-22 00:00:00,64.43
2000-11-24 00:00:00,23.45
2000-11-27 00:00:00,34.08
2000-11-28 00:00:00,34.47
2000-11-29 00:00:00,49.06
2000-11-30 00:00:00,48.31
2000-12-01 00:00:00,45.31
2000-12-02 00:00:00,27.33
2000-12-03 00:00:00,27.33
2000-12-04 00:00:00,50.05
2000-12-05 00:00:00,71.6
2000-12-06 00:00:00,81.38
2000-12-07 00:00:00,76.75
2000-12-08 00:00:00,60.08
2000-12-09 00:00:00,23
2000-12-10 00:00:00,23
2000-12-11 00:00:00,48.47
2000-12-12 00:00:00,83.02
2000-12-13 00:00:00,91.74
2000-12-14 00:00:00,67.7
2000-12-15 00:00:00,40.81
2000-12-16 00:00:00,28
2000-12-17 00:00:00,28
2000-12-18 00:00:00,48.3
2000-12-19 00:00:00,98.89
2000-12-20 00:00:00,92.47
2000-12-21 00:00:00,101.43
2000-12-22 00:00:00,107.33
2000-12-23 00:00:00,71.75
2000-12-24 00:00:00,71.75
2000-12-25 00:00:00,71.75
2000-12-26 00:00:00,104.03
2000-12-27 00:00:00,66.42
2000-12-28 00:00:00,49.65
2000-12-29 00:00:00,50.32
2000-12-30 00:00:00,50.5
2000-12-31 00:00:00,50.5
2001-01-01 00:00:00,50
2001-01-02 00:00:00,93.83
2001-01-03 00:00:00,67.66
2001-01-04 00:00:00,67.93
2001-01-05 00:00:00,58.56
2001-01-06 00:00:00,35.29
2001-01-07 00:00:00,35.29
2001-01-08 00:00:00,69.11
2001-01-09 00:00:00,54.8
2001-01-10 00:00:00,50.98
2001-01-11 00:00:00,49.31
2001-01-12 00:00:00,45.71
2001-01-15 00:00:00,37.78
2001-01-16 00:00:00,37.38
2001-01-17 00:00:00,39.83
2001-01-18 00:00:00,40.36
2001-01-19 00:00:00,43.55
2001-01-20 00:00:00,30.56
2001-01-21 00:00:00,30.56
2001-01-22 00:00:00,52.36
2001-01-23 00:00:00,49.08
2001-01-24 00:00:00,47.36
2001-01-25 00:00:00,52.26
2001-01-26 00:00:00,50.85
2001-01-27 00:00:00,29
2001-01-28 00:00:00,29
2001-01-29 00:00:00,35.83
2001-01-30 00:00:00,26.89
2001-01-31 00:00:00,27.1
2001-02-01 00:00:00,31.05
2001-02-02 00:00:00,42.73
2001-02-05 00:00:00,47.72
2001-02-06 00:00:00,34.31
2001-02-07 00:00:00,30.94
2001-02-08 00:00:00,29.85
2001-02-09 00:00:00,26.73
2001-02-12 00:00:00,35.25
2001-02-13 00:00:00,33.06
2001-02-14 00:00:00,24.51
2001-02-15 00:00:00,25.65
2001-02-16 00:00:00,28.08
2001-02-17 00:00:00,32.5
2001-02-18 00:00:00,32.5
2001-02-19 00:00:00,37.95
2001-02-20 00:00:00,34.89
2001-02-21 00:00:00,42.5
2001-02-22 00:00:00,40.15
2001-02-23 00:00:00,36.96
2001-02-26 00:00:00,40.76
2001-02-27 00:00:00,41.21
2001-02-28 00:00:00,45.42
2001-03-01 00:00:00,42.58
2001-03-02 00:00:00,37.56
2001-03-03 00:00:00,28.5
2001-03-04 00:00:00,28.5
2001-03-05 00:00:00,39.13
2001-03-06 00:00:00,50.24
2001-03-07 00:00:00,57
2001-03-08 00:00:00,45.41
2001-03-09 00:00:00,43.48
2001-03-10 00:00:00,26.58
2001-03-11 00:00:00,26.58
2001-03-12 00:00:00,26.58
2001-03-13 00:00:00,31.03
2001-03-14 00:00:00,30.31
2001-03-15 00:00:00,27.7
2001-03-16 00:00:00,27.62
2001-03-17 00:00:00,25.93
2001-03-18 00:00:00,25.93
2001-03-19 00:00:00,35.51
2001-03-20 00:00:00,41.71
Sum,12122.59
Average,38.3626
Average (+),38.3626
Average (-),NaN
Percent (+),100
Percent (-),0
Maximum,129.62
Minimum,14
Std Deviation,18.1653
Zstat,2.1119
Variance,329.9768
Last,41.71
